id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2819814205,1,34,16,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-05-28T22:01:52.527Z,2025-05-28T23:05:37Z,,,,,5755226739,59,"23, 33, 4, 5, 30, 41, 27, 14, 22, 99, 8, 98, 2, 3, 6, 9, 18, 19",5755226745,194,9tispdm7tc3te31awsfcmd905,5755226737,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5755226741,130,2,5755226743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5755226747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755267429,197,2754,5755226735,30,"cv7nd9tnk6j2ixvnlibiip2vp, 1x95h6xtnycmvpqu7vgu4vh79, 2pka62t1zg04jwkcx6zbc4wlw, e93nozniig2wriw9doit6a4tl, arxprecroj7kqwx1tmkhhfsdm, 54yx5xkqrktd2hp0sxjx6hm8l, 1lk61nwcvayf0ep21p31xcfzd, 9tispdm7tc3te31awsfcmd905, 5fhb206czgy2ul5j0tsqeo7ah, d50x000h9o6i8kd8aihie4lx, 2co6fedrz8anjzy9ise76dplh, d38osra1p83cgtmrwqt6w60yy, n6ubi9lw3fjau0xzvd09myqy, 97d0drjb3zqkh5ozfufg17nys, blts89a19itip4gjeagcwc1xx, a2bwi8risp0a9q88cno5wlihh, 1nl79aq9il743hgoaijmupmmt, 8delieh6jv1cgaukmgcwfjsic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819815353,1,34,16,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-05-28T22:09:10.975Z,2025-05-29T02:47:36Z,,,,,5755267785,197,29726,5755233125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",5755233119,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",5755233123,130,18,5755233127,194,38ghqgck8fwnxap6em08avzs9,5755233129,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755233121,59,"77, 2, 7, 4, 15, 22, 94, 6, 10, 9, 71, 8, 17, 28, 29, 44",5755233117,30,"crhe42indjb3mb7di7yh1zndg, 8qqehla9xvhut6uua4a0zcju2, b7pzjfl5fuvivmc2x9defzfmx, 38ghqgck8fwnxap6em08avzs9, dqvxmefhimxvxstvlz5yd7ysp, c7q476j0dkl7e4fhqqlsp5rai, 6pqwh2z47uwgr9u9y8n79ppzp, 9blzzcpytqe7o9rdte1s6mw6i, 7i9qesz7fugndupldntvshwd0, 9izknjlz6zunwjpo4u94q855g, 5r88subg9jy8zg4y97tzwzxm1, 16si0dgkuqvahp0x1bjr37xuc, 3ei1s8oyub83owfxxbsygmsmi, cjn2oln0v5o7x7unmsk305250, 9ie6oja1bojocjl4fg4wingno, 8ecb1shzu9migh6lv1bnku8es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821437,2,32,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-05-28T23:06:27.489Z,2025-05-28T23:06:27Z,,,,,5755268191,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821441,2,32,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-05-28T23:06:27.489Z,2025-05-28T23:06:30Z,,,,,5755268197,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821459,3,1,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,50.1,50.1,2025-05-28T23:06:27.490Z,2025-05-28T23:06:31Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5755268251,141,54.8,5755268247,56,Back,5755268255,213,2.98,5755268249,140,31.9,5755268257,279,S,5755268253,212,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821463,4,1,1,0,2,2n3wgr89m7jl8tmioemit2pgq,0,31.9,54.8,2025-05-28T23:06:30.144Z,2025-05-28T23:07:11Z,7i9qesz7fugndupldntvshwd0,S. Careaga,,,5755268277,141,71.8,5755268283,213,0.23,5755268285,1,,5755269205,157,,5755268267,56,Center,5755268281,212,51.2,5755268271,140,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821477,3,1,1,0,8,8cpjplodpphtkbt0hq8sr8mqs,0,8.7,6.1,2025-05-28T23:06:35.496Z,2025-05-28T23:06:36Z,1x95h6xtnycmvpqu7vgu4vh79,H. White,,,5755268359,157,,5755268361,56,Back,5755268365,141,17.0,5755268369,213,0.19,5755268371,1,,5755268363,140,45.3,5755268367,212,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821483,5,61,1,0,10,2n3wgr89m7jl8tmioemit2pgq,1,54.3,82.7,2025-05-28T23:06:38.256Z,2025-05-28T23:06:38Z,9blzzcpytqe7o9rdte1s6mw6i,B. Makangila,,,5755268435,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821499,6,1,1,0,12,2n3wgr89m7jl8tmioemit2pgq,0,47.5,86.6,2025-05-28T23:06:40.185Z,2025-05-28T23:06:40Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5755268505,212,29.9,5755268499,56,Left,5755268507,213,6.20,5755268503,141,82.9,5755268501,140,75.9,5755268509,1,,5755268497,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821543,4,5,1,0,14,8cpjplodpphtkbt0hq8sr8mqs,1,25.7,-1.0,2025-05-28T23:06:41.761Z,2025-05-29T00:08:22Z,1x95h6xtnycmvpqu7vgu4vh79,H. White,,,5755270487,233,7,5755268735,347,,5755268733,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821561,7,5,1,0,14,2n3wgr89m7jl8tmioemit2pgq,0,74.3,101.0,2025-05-28T23:06:41.761Z,2025-05-29T00:08:22Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5755268803,347,,5755270491,233,4,5755268799,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821555,5,1,1,0,24,8cpjplodpphtkbt0hq8sr8mqs,0,28.4,0.0,2025-05-28T23:06:51.617Z,2025-05-28T23:06:54Z,1x95h6xtnycmvpqu7vgu4vh79,H. White,,,5755268779,1,,5755268771,140,63.0,5755268767,107,,5755268769,56,Right,5755268775,212,37.4,5755268773,141,11.6,5755268777,213,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821573,8,1,1,0,27,2n3wgr89m7jl8tmioemit2pgq,1,36.0,73.3,2025-05-28T23:06:55.002Z,2025-05-28T23:06:58Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5755268879,213,5.95,5755268873,140,60.7,5755268877,212,27.5,5755268871,56,Center,5755268869,3,,5755268875,141,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821575,9,1,1,0,30,2n3wgr89m7jl8tmioemit2pgq,0,61.4,66.0,2025-05-28T23:06:58.041Z,2025-05-28T23:06:58Z,7i9qesz7fugndupldntvshwd0,S. Careaga,,,5755268887,56,Center,5755268883,3,,5755268895,213,5.89,5755268891,141,58.2,5755268889,140,73.6,5755268893,212,13.9,5755268885,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
