id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2821502789,1,34,16,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-06-06T22:33:49.336Z,2025-06-07T00:41:55Z,,,,,5764758731,130,17,5764846069,197,28571,5764758727,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5764758729,59,"1, 14, 11, 5, 27, 66, 17, 15, 26, 8, 13, 4, 16, 20, 24, 30, 44, 55, 71",5764758733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5764772057,194,9tknltys66s9j8ljchwu5efv9,5764758725,30,"ac5zpx8c09rtmidm654e67xsl, 411grh3cytippnnanb767qvsa, blkq1t8y0wnos6jxb0uwowwk5, 9tknltys66s9j8ljchwu5efv9, 6jdsh8ubirqphhurw5rr7kz8q, vg3ha8h2d35wgexer2i6ao0k, f21web74a70mly9i28jpa1yvp, 1tsiml56f2xxym8h4tfjmho2c, 3cj2fww973bv21rfjlnu15yc4, 7ejohb009byubwiqv36vag5jo, 69wq859yz6wzirpbvpnt3n8bt, 4t3akio43zpg7pyr3dtmoipnu, ecipfh5r0gqsf0skgvgpu8cbu, bjdoqj8tsm1wlxiqaavduwo9h, 18g5ilv70mq7igiooy5yb8sno, 48ldh0wlmcc1hot8z40swxb10, 8e6kj3506n4gum041dok8v1ex, 6a6bagymcckyt43w6b31irsvd, 25yiwywy8abvc42fz2h9p81ec",5764758735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2821503131,1,34,16,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-06-06T22:37:40.945Z,2025-06-07T00:42:19Z,,,,,5764760695,194,7i9qesz7fugndupldntvshwd0,5764760685,30,"crhe42indjb3mb7di7yh1zndg, 8qqehla9xvhut6uua4a0zcju2, 6tesoh4ckbbkisphokig9yqz8, 38ghqgck8fwnxap6em08avzs9, dqvxmefhimxvxstvlz5yd7ysp, c7q476j0dkl7e4fhqqlsp5rai, 9blzzcpytqe7o9rdte1s6mw6i, 6pqwh2z47uwgr9u9y8n79ppzp, 7i9qesz7fugndupldntvshwd0, 9izknjlz6zunwjpo4u94q855g, lu2g4n0jcfxk41i8ro05ad5g, 8ecb1shzu9migh6lv1bnku8es, b7pzjfl5fuvivmc2x9defzfmx, 16si0dgkuqvahp0x1bjr37xuc, dkk3twgai2ldi75eh0xr37hbe, 3ei1s8oyub83owfxxbsygmsmi, cjn2oln0v5o7x7unmsk305250, 984jr9d6sbi5l5vt9ct1b6cph",5764760693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5764760689,59,"77, 2, 19, 4, 15, 22, 6, 94, 10, 9, 81, 44, 7, 8, 11, 17, 28, 30",5764760687,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5764760697,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5764843137,197,29725,5764760691,130,18,,,,,,,,,,,,,,,,,,,,,,,,
2821519055,3,32,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-06-07T00:39:04.462Z,2025-06-07T03:36:13Z,,,,,5764847709,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821519053,4,32,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-06-07T00:39:04.462Z,2025-06-07T00:39:04Z,,,,,5764847707,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821519077,5,1,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,49.9,50.0,2025-06-07T00:39:04.463Z,2025-06-07T00:39:08Z,f21web74a70mly9i28jpa1yvp,C. Martin,,,5764847827,140,28.3,5764847831,212,25.2,5764847829,141,66.3,5764847833,213,2.69,5764847835,279,S,5764847825,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821519087,6,1,1,0,3,6597wqy6gmpv3zjx7rp8cdj46,0,28.3,66.3,2025-06-07T00:39:07.478Z,2025-06-07T00:39:10Z,9tknltys66s9j8ljchwu5efv9,P. Craig,,,5764847887,1,,5764847875,157,,5764847881,141,30.3,5764847879,140,75.3,5764847883,212,55.1,5764847877,56,Center,5764847885,213,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821520039,50,44,1,0,4,2n3wgr89m7jl8tmioemit2pgq,1,23.3,82.4,2025-06-07T00:39:09.461Z,2025-06-07T02:45:07Z,lu2g4n0jcfxk41i8ro05ad5g,A. Obalola,,,5764901461,233,334,5764853575,56,Back,5764853577,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821528601,334,44,1,0,5,6597wqy6gmpv3zjx7rp8cdj46,0,76.7,17.6,2025-06-07T00:39:09.462Z,2025-06-07T02:45:07Z,7ejohb009byubwiqv36vag5jo,Pedro Dolabella,,,5764901459,286,,5764901465,233,50,5764901457,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821519099,4,1,1,0,5,2n3wgr89m7jl8tmioemit2pgq,0,28.7,67.2,2025-06-07T00:39:09.801Z,2025-06-07T01:45:41Z,lu2g4n0jcfxk41i8ro05ad5g,A. Obalola,,,5764847955,213,1.31,5764847949,140,30.9,5764847947,56,Back,5764847953,212,8.9,5764847945,3,,5764847951,141,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821519105,5,83,1,0,9,2n3wgr89m7jl8tmioemit2pgq,0,30.6,79.9,2025-06-07T00:39:13.839Z,2025-06-07T00:41:02Z,lu2g4n0jcfxk41i8ro05ad5g,A. Obalola,,,5764848133,399,411grh3cytippnnanb767qvsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
