id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2801059401,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-04-13T20:37:22.759Z,2025-04-13T21:50:29Z,,,,,5651545729,30,"8y556fvv7asmfouaica4nbai1, 1jhs3g95t0ah1hx3fwlo14kmi, 6fgxgq77v66va16tcuqvyn6x, 2mxaagzu9rb92z9880yjllbzd, 9hqo1ykdlw9iv4tlo8d3vu9ec, dowfebdy2qnsz8hkj0ilrux62, 7ctc1xui7wk89o5v00z8ijqw9, 7ajceczjsu9ci4nqv9gg2860a, cqmvrx028gh19yh8qh7w01y0a, 3lndo247f4br8t6xxdvlij4a2, 2mgcta30puk8kuwb5mo4zvcnp, cuw4kvdf0bazq87mh3dwv71ii, 9lucpehmfe4z2vdlica1kc9d6, 7vs1eqm82fwwuhwfqodb3dyw9, 28cixms5w9uu1e38kcc8o2j9w, 7ll9dqayz9698v71x2pvgrspg, cywd7q1m77lwe5q2dof7rvf9w, c4g35kho1qirnu4q420knnl9m",5651545733,59,"23, 24, 16, 3, 7, 21, 6, 8, 14, 13, 10, 1, 11, 12, 15, 18, 20, 30",5651545735,130,13,5651545739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5651545737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5651545731,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5651784487,194,7ctc1xui7wk89o5v00z8ijqw9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801059797,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-04-13T20:37:49.288Z,2025-04-14T16:30:01Z,,,,,5651585931,197,23258,5651547867,194,e6uww9a9ssp0n20ksoolesa8l,5651547869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5651547861,59,"1, 2, 11, 6, 13, 4, 15, 8, 9, 19, 7, 10, 21, 22, 25, 33, 43, 47, 57, 5",5651547863,130,7,5651547865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5651547857,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, beq6yluq1raxsrvxo77qlrf56, dlhfyk6fgvqt3zrr5qfj7c6w9, b708ir5u7r34j9oemje8f8z1m, 5uv1a9rj5wot3wcgefjoxhkdm, ece6sffb02drwz4brwndn0rh0, dhi7890xe8zsmzhw2cad7sul1, 272w5ezobn1o53b3yxnbgjckq, 2rsduabh7r8i29f9i6znwbfu1, e6uww9a9ssp0n20ksoolesa8l, 7drelguz6c1htw10sq7zyxh0q, dglf4uhg5wnc68cg8ijovfmy1, 7xe0ov84ztwduks4x3utn05ck, 18wgo4h0t9f3tbt8iq0tmkl7u, 8t6b8q53ovws370a1b27s85jo, bxlh35ww96wgrsgfc8blou50p, 357vd87hv0jvljqtt2qf4vmz8, 86fbk8r7wsy14weicjdxj76z8, 2ig362xub2syd45v3usgymbkk, 8lk5ve59333boqzpcmd0yidck",5651547859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801080797,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-04-13T21:07:39.396Z,2025-04-14T17:15:21Z,,,,,5651668777,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801080869,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-04-13T21:07:39.396Z,2025-04-13T21:07:45Z,,,,,5651669191,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801080823,3,1,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,49.9,50.6,2025-04-13T21:07:39.397Z,2025-04-13T21:55:22Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5651668949,140,48.4,5651668947,56,Back,5651668951,141,48.8,5651668957,279,S,5651668955,213,3.80,5651668953,212,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801080877,4,1,1,0,2,c9xffml4i7ihblp1qhus9w3fu,1,48.4,48.8,2025-04-13T21:07:41.523Z,2025-04-13T21:07:46Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5651669243,213,4.22,5651669235,56,Back,5651669237,140,36.4,5651669241,212,26.7,5651669239,141,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801080883,5,1,1,0,6,c9xffml4i7ihblp1qhus9w3fu,1,36.4,14.1,2025-04-13T21:07:45.835Z,2025-04-13T21:12:29Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5651669281,141,7.4,5651669277,56,Back,5651669279,140,45.3,5651669285,213,5.83,5651669283,212,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801080895,6,1,1,0,7,c9xffml4i7ihblp1qhus9w3fu,1,45.3,7.4,2025-04-13T21:07:46.827Z,2025-04-13T21:07:49Z,dhi7890xe8zsmzhw2cad7sul1,T. Pasher,,,5651669377,213,2.92,5651669373,141,13.1,5651669371,140,29.0,5651669369,56,Back,5651669375,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801080929,7,1,1,0,9,c9xffml4i7ihblp1qhus9w3fu,1,19.5,17.7,2025-04-13T21:07:48.916Z,2025-04-13T21:12:44Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5651669585,140,9.2,5651669589,212,22.3,5651669583,56,Back,5651669591,213,2.08,5651669587,141,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801080953,8,1,1,0,12,c9xffml4i7ihblp1qhus9w3fu,1,9.2,46.4,2025-04-13T21:07:51.859Z,2025-04-13T21:07:55Z,dlcxvrsqhiz8ce0nqnh6h6dw5,M. Van Oekel,,,5651669731,140,15.2,5651669735,212,24.2,5651669733,141,80.8,5651669737,213,1.31,5651669729,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
