id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value
2796616123,1,34,16,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-04-05T19:40:07.984Z,2025-04-05T23:34:08Z,,,,,5627162115,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5627162101,30,"crhe42indjb3mb7di7yh1zndg, 8qqehla9xvhut6uua4a0zcju2, 6tesoh4ckbbkisphokig9yqz8, 38ghqgck8fwnxap6em08avzs9, dqvxmefhimxvxstvlz5yd7ysp, 984jr9d6sbi5l5vt9ct1b6cph, dkk3twgai2ldi75eh0xr37hbe, 6pqwh2z47uwgr9u9y8n79ppzp, 9izknjlz6zunwjpo4u94q855g, 9blzzcpytqe7o9rdte1s6mw6i, 16si0dgkuqvahp0x1bjr37xuc, b7pzjfl5fuvivmc2x9defzfmx, 7i9qesz7fugndupldntvshwd0, 3ei1s8oyub83owfxxbsygmsmi, c7q476j0dkl7e4fhqqlsp5rai, 8ecb1shzu9migh6lv1bnku8es, 5r88subg9jy8zg4y97tzwzxm1, lu2g4n0jcfxk41i8ro05ad5g",5627977861,197,23583,5627162105,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5627162113,130,11,5627162119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5627162117,194,38ghqgck8fwnxap6em08avzs9,5627162109,59,"77, 2, 19, 4, 15, 30, 11, 94, 9, 6, 8, 7, 10, 17, 22, 44, 71, 81",,,,,,,,,,,,,,,,,,,,,,,,,,
2796627027,1,34,16,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-04-05T19:50:12.515Z,2025-04-05T23:34:12Z,,,,,5627225677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5627225685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5627225681,130,2,5627225679,59,"23, 3, 6, 4, 12, 24, 20, 17, 10, 14, 11, 7, 13, 15, 19, 30, 35, 88, 55",5627225689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5627456567,194,87n7hmq7f1q1avazbmwmcg222,5627456569,197,25774,5627225675,30,"7lmf6beyvhncglhw9avm40qju, 59kky4fyi0w9bdz4ow3gs95yi, 7ehcrcdv82ib5fkpo3498gpgp, db1h2huu8z1quj816wol1wgkp, 87n7hmq7f1q1avazbmwmcg222, b6t0f1g03ixymivs4fbaiewic, 3y5650rx37d3hnh3sxzhaz7xl, 8bp3sbo230kdhnw76stsw2u39, 21vmi7qtrujzez3ziux0wa4et, ekzwxb68vg0w7o14zcq8n4vs9, agl19e1fx5123lk28avksxb3e, 6j5qn2b7t0165vl1t26v001zo, 2cu5uohq2rwhe2hy3y72zhc2y, 8xte0mzawblk2ufasxalijk2y, 3iygln7x6y336sb1qa3lfpa3u, f0wprovraucxrx9wwd5au2pzo, 1l1r86a2u6fheng6y1j169q1g, e01adcq62lg6avlh5730enx90, 7xmkuf6t0h8n9dirv85jx25n8",,,,,,,,,,,,,,,,,,,,,,,,,,
2796670505,2,32,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-04-05T20:37:06.030Z,2025-04-05T20:37:06Z,,,,,5627460945,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796670561,2,32,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-04-05T20:37:06.030Z,2025-04-05T20:37:08Z,,,,,5627461203,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796670591,3,1,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,49.9,50.1,2025-04-05T20:37:06.031Z,2025-04-05T20:37:10Z,ekzwxb68vg0w7o14zcq8n4vs9,Z. Ryan,,,5627461327,212,23.7,5627461329,213,2.77,5627461323,140,28.9,5627461331,279,S,5627461321,56,Back,5627461325,141,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796670655,4,1,1,0,4,5x54jbfk11lrsmipgsx7cdbai,1,28.6,63.1,2025-04-05T20:37:10.102Z,2025-04-05T20:37:14Z,b6t0f1g03ixymivs4fbaiewic,J. Erlandson,,,5627461711,1,,5627461705,141,28.3,5627461699,56,Center,5627461695,157,,5627461709,213,5.77,5627461703,140,68.8,5627461707,212,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796670669,5,1,1,0,8,5x54jbfk11lrsmipgsx7cdbai,0,68.8,28.5,2025-04-05T20:37:14.622Z,2025-04-05T21:28:26Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5627461773,140,73.9,5627461781,213,1.28,5627461779,212,18.5,5627461777,141,54.6,5627461769,56,Center,5627461765,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796670763,3,12,1,0,9,2n3wgr89m7jl8tmioemit2pgq,1,29.2,50.0,2025-04-05T20:37:15.581Z,2025-04-05T20:37:21Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5627462285,141,59.6,5627462283,140,47.0,5627462289,213,0.34,5627462287,212,19.8,5627462281,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796670733,6,1,1,0,12,5x54jbfk11lrsmipgsx7cdbai,0,53.7,54.2,2025-04-05T20:37:18.887Z,2025-04-05T20:37:19Z,8bp3sbo230kdhnw76stsw2u39,Pedro Santos,,,5627462145,141,68.2,5627462139,3,,5627462141,56,Center,5627462143,140,63.8,5627462149,213,0.73,5627462147,212,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796670775,7,1,1,0,15,5x54jbfk11lrsmipgsx7cdbai,0,67.1,64.5,2025-04-05T20:37:21.126Z,2025-04-05T20:37:22Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5627462355,3,,5627462365,213,1.99,5627462361,141,79.6,5627462359,140,62.7,5627462363,212,11.3,5627462357,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
