id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2785826199,1,34,16,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-03-09T01:26:32.188Z,2025-03-09T23:43:49Z,,,,,5567962307,194,bgxiot2ugkc6t5jchxewen4k5,5567962299,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5567962305,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567962301,59,"1, 2, 22, 19, 6, 4, 20, 96, 11, 24, 3, 7, 9, 10, 14, 17, 23, 43, 55, 99",5567962309,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567962303,130,2,5567962297,30,"9l35nvd07jhy457u1yehm3gx6, ea8jgqvyafx5wvgd5d70mgx9m, 7y9k549gjh2183ylplvwg2q5l, 579n2n7oiogy83epzcfrxtd5h, b7hyxpaqt3ymfbuah1yop5rai, bgxiot2ugkc6t5jchxewen4k5, 8qjls72u1tvwuxas420p8ed5g, 2054x8z63k74or3inr9sl0bu1, 9lqozbr0ghw2fhep938p8snah, 2p1887g4xd36ac2trpyf42wru, cc7jk41tn9qi5px4pb9l4bn8q, 1ntf3x9ay255qut54al2mt0q, 23vdzclmewq139wius9oy3m51, do8svqsgqomasmzdwwsgg7qlm, 5g8dr2qbefady0fa5wuwxvt3o, t8bq7sttljbcrrspxz5tnm5l, dwyatw1wz3nrh1fcwu27ie8ve, 9r38gjqqpwb3jue2rna0nwdsl, 6e7vgxyzx00c79hw1wg4d01sk, 113mck575esofosg0reheh7je",5568279147,197,23592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785830791,1,34,16,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-03-09T01:38:08.549Z,2025-03-09T05:52:20Z,,,,,5567990441,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567990431,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5567990439,194,cvdn34vl3zje5uq54nvg77sut,5567990433,59,"1, 16, 3, 19, 12, 22, 27, 8, 17, 11, 10, 4, 6, 7, 9, 13, 24, 25",5567990435,130,4,5567990429,30,"zczt4alpawz5522hff8x39p1, 2o86bp6u8hbr8q43mea7srco9, 9za3fwnri7qk1dutb4iwmh6g9, caxfn5xu1taewgtxil6ah2rjd, 9imj5ig0i01uljnd3gd2cz1m, cvdn34vl3zje5uq54nvg77sut, akgtib8zyv5lrvh9mxunj2rdg, ew8oodr9hiuqve7xlz24xznfu, dxd6p1c8k96armsbg5isjbu95, bhzsz7pbe6pbwojtc1mi8m28l, 3nvijn3ctkplajtt1dd23wycp, c5xcmwzyq3g1tvtyj8i5ud65m, 4fbaxgikw7z9sfhuz6vvnfmxh, bosdsb16w79aihfktvp4cjvje, 7b346y8ad54mkc0h1343ybs2x, 18iz45ww0nara0xdaleg72ort, 52rcg38mijjjusfwqxa2l7hex, g31cspu8sa8eohwakxm28ne2",5568278615,197,23585,5567990437,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885581,2,32,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-03-09T03:12:49.992Z,2025-03-09T03:12:50Z,,,,,5568295063,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885585,2,32,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-03-09T03:12:49.992Z,2025-03-09T03:12:54Z,,,,,5568295093,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885615,3,1,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,49.9,50.1,2025-03-09T03:12:49.993Z,2025-03-09T05:28:33Z,2p1887g4xd36ac2trpyf42wru,L. Jamieson,,,5568295265,140,26.1,5568295277,279,S,5568295267,141,43.4,5568483157,189,,5568295273,213,3.32,5568295269,212,25.4,5568295263,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885691,4,1,1,0,4,7neuneh44n9rtsfsh6r0sb9no,0,26.0,42.7,2025-03-09T03:12:54.389Z,2025-03-09T04:35:01Z,9l35nvd07jhy457u1yehm3gx6,D. Vitiello,,,5568295627,56,Center,5568295625,157,,5568295631,141,27.0,5568295639,1,,5568295635,212,46.3,5568295629,140,68.9,5568295637,213,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885695,5,43,1,0,8,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-03-09T03:12:58.256Z,2025-03-09T04:34:55Z,2054x8z63k74or3inr9sl0bu1,L. Fernandes,,,5568295651,56,Right,5568295659,213,6.16,5568295653,140,74.1,5568295647,3,0,5568483633,144,1,5568295657,212,7.2,5568295649,168,0,5568295655,141,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785885681,3,1,1,0,9,bk3zg8yaj5uoqhxzwons3bo8a,0,29.0,62.4,2025-03-09T03:12:59.595Z,2025-03-09T03:13:00Z,akgtib8zyv5lrvh9mxunj2rdg,T. Pondeca,,,5568295595,212,10.3,5568295583,56,Back,5568295591,141,76.4,5568295587,140,32.7,5568295599,213,1.18,5568295581,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785903817,275,1,1,0,10,7neuneh44n9rtsfsh6r0sb9no,1,62.1,10.1,2025-03-09T03:13:00.050Z,2025-03-09T03:48:53Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,,5568394635,213,0.68,5568394629,140,69.7,5568394627,56,Right,5568394625,3,,5568394631,141,19.5,5568394633,212,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785903815,274,1,1,0,10,7neuneh44n9rtsfsh6r0sb9no,0,68.7,25.8,2025-03-09T03:13:00.899Z,2025-03-09T03:49:19Z,2p1887g4xd36ac2trpyf42wru,L. Jamieson,,,5568395773,213,0.79,5568395771,212,8.6,5568395765,56,Center,5568395767,140,74.5,5568395769,141,34.8,5568395763,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
