id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/17/value,qualifier/15/value,qualifier/16/value
2816098081,1,34,16,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-05-17T22:11:33.509Z,2025-05-17T22:11:33Z,,,,,5734614787,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5734614797,197,29725,5734614791,130,10,5734614793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5734614795,194,38ghqgck8fwnxap6em08avzs9,5734614789,59,"77, 2, 19, 4, 15, 22, 10, 94, 9, 81, 6, 7, 8, 17, 28, 29, 44, 71",5734614799,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5734614785,30,"crhe42indjb3mb7di7yh1zndg, 8qqehla9xvhut6uua4a0zcju2, 6tesoh4ckbbkisphokig9yqz8, 38ghqgck8fwnxap6em08avzs9, dqvxmefhimxvxstvlz5yd7ysp, c7q476j0dkl7e4fhqqlsp5rai, 7i9qesz7fugndupldntvshwd0, 6pqwh2z47uwgr9u9y8n79ppzp, 9izknjlz6zunwjpo4u94q855g, lu2g4n0jcfxk41i8ro05ad5g, 9blzzcpytqe7o9rdte1s6mw6i, b7pzjfl5fuvivmc2x9defzfmx, 16si0dgkuqvahp0x1bjr37xuc, 3ei1s8oyub83owfxxbsygmsmi, cjn2oln0v5o7x7unmsk305250, 9ie6oja1bojocjl4fg4wingno, 8ecb1shzu9migh6lv1bnku8es, 5r88subg9jy8zg4y97tzwzxm1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816101779,1,34,16,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-05-17T22:17:24.390Z,2025-05-17T23:23:01Z,,,,,5734635267,30,"a3k4grlhkn63p3xfb2rzslkdm, aomjkj5s52jkzgk3ljsz0osiy, 7f1q3d59u9n16v9xrskfxqsq1, 42hi96pvzz8f69ixlcncn0549, e2rv433ve4ytatjl94dcz1hm2, 9gvsswyf0gzxekrjdkpuqrh0p, d2ny0huv78m4m6p65y8eou7oq, 15jb2rb0mvhaz492ii7yqrk6h, 35bpd9cmuep6cqczngaqpc19m, achy1l1rfq2d4ftn6l1esht9m, bteydgv4om5ylyoznx9vesogl, cla0i94uyddjw7jzqoyfsplre, cxscznjyygtsgbajv08q04sq2, 1xb2wmuzlhgo6vt7f9yl2rnkk, hglsr5ybsi6bsl178ge0c31m, 5rdtu4wmswu65eqjjw38uao0k, 3hb6yji6u8ftefif91lfrbtre, 486r7pszrdk085ot7cy2008dm",5734755059,197,29735,5734635277,130,17,5734635271,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5734635281,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5734635273,59,"1, 15, 13, 32, 5, 4, 17, 31, 9, 16, 11, 2, 7, 8, 12, 24, 25, 27",5734635279,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124433,2,32,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-05-17T23:06:42.553Z,2025-05-17T23:06:42Z,,,,,5734760501,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124435,2,32,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-05-17T23:06:42.553Z,2025-05-17T23:06:45Z,,,,,5734760521,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124465,3,1,1,0,0,2n3wgr89m7jl8tmioemit2pgq,0,49.9,49.9,2025-05-17T23:06:42.554Z,2025-05-18T01:58:11Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5734760717,213,3.67,5734763591,189,,5734760709,56,Back,5734760719,279,S,5734760715,212,21.9,5734760711,140,31.9,5734760713,141,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124803,7,1,1,0,1,2n3wgr89m7jl8tmioemit2pgq,0,37.3,48.1,2025-05-17T23:06:43.947Z,2025-05-17T23:10:15Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5734768095,212,3.3,5734768119,286,,5734768093,141,46.2,5734768097,213,5.88,5734768087,157,,5734768113,236,,5734768099,1,,5734768115,233,3,5734768089,56,Back,5734768091,140,40.2,,,,,,,,,,,,,,,,,,,,,,,,
2816124457,3,74,1,0,1,83cpn99fh7ulkwe8nezy8a3mx,1,46.4,61.5,2025-05-17T23:06:43.948Z,2025-05-18T01:28:01Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5734760647,285,,5734760645,56,Back,5734768133,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124807,8,1,1,0,5,2n3wgr89m7jl8tmioemit2pgq,1,21.4,21.3,2025-05-17T23:06:48.123Z,2025-05-17T23:12:58Z,c7q476j0dkl7e4fhqqlsp5rai,T. Presthus,,,5734780093,212,15.7,5734780091,141,33.1,5734780087,56,Back,5734780089,140,8.5,5734780095,213,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124487,4,1,1,0,7,2n3wgr89m7jl8tmioemit2pgq,0,8.2,32.5,2025-05-17T23:06:49.714Z,2025-05-17T23:06:50Z,crhe42indjb3mb7di7yh1zndg,A. Siaha,,,5734760845,140,48.0,5734760841,157,,5734760843,56,Back,5734760849,212,42.4,5734760851,213,6.11,5734760853,1,,5734760847,141,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816124553,4,1,1,0,8,83cpn99fh7ulkwe8nezy8a3mx,1,50.8,73.0,2025-05-17T23:06:51.523Z,2025-05-17T23:06:59Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5734761277,212,5.5,5734761275,141,77.2,5734761269,3,,5734761271,56,Center,5734761273,140,55.3,5734761279,213,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
