id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2816203129,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-05-18T01:22:07.723Z,2025-05-18T04:34:09Z,,,,,5735202353,59,"1, 22, 28, 6, 2, 5, 7, 14, 20, 13, 31, 3, 9, 10, 12, 15, 18, 11",5735202363,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735202359,194,1j010cibh247p8kjchww6ny3u,5735202361,197,29741,5735202351,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5735202357,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5735202349,30,"isauuse3yqdwymvfne6ci385, f2nxaemhqi8kbtbejnqekgd4a, 1vnfc466lc01fdfhyvzt8fhii, 9x7teazvqgbnj3pnam6rf2xgp, 1j010cibh247p8kjchww6ny3u, b32tamno8dpk5te2oq7d9a6t, ewibb8s7p2l6f5sekvkqu4a5m, b0zo05bu61v32nw35mriue0yy, 6d45ccicyo6dregi9cm4ad4kq, 6hdas9nshfgbjhj91y3ob8b11, djz5cm1g7ouen2y4o7w35jbl6, bnpu23zlwzn5gtr4t8j8qtnh0, 7d326gljgym4qtmxvx5t5poq2, 9glti6ay2zxkigdtjcxtkj7it, bnhjfu5p8tysruk7aep5dr1ex, 9ij293r1mbtygl6v3u2s43i3u, 8bwjj53jwbsi0emx370uka5g4, 2m28wyud6xi78nt8e92p9keay",5735202355,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816208135,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-05-18T01:30:50.394Z,2025-05-18T05:59:07Z,,,,,5735230507,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735231229,194,74rnjizxzn5a0oag6sue0ja7e,5735230499,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5735230505,130,8,5735230495,30,"7y56spdjsagw833hgo5ranvf9, 9xjixcn3jhf7m75dl49u0qe7e, 3csngjh4kjgpkfayppiwfbw2c, 39jhew6iao7uriko5shx2tnje, e23yyl43xtcve09dx234uuj8, 74rnjizxzn5a0oag6sue0ja7e, 2lpjr3oys0s0u2pnhut8epqwa, 6ahu72g0u39bxbjiz7ggefai1, c0of0cn2tec0yn2vtwdqgxxpl, 74bhj4xi5zgq6evsr4c766p04, 6naqq6f6acfec3zh2msuxrmqd, 6dpxvfpnaua6y4gevop02qc8a, cxm5xmc7zajd0j1zirav6q2qy, 6m158yzashjy4y3dcbresua22, d74g09o22jua08rgr8e71x4kq, 70zee6haaisqkez4xxnaa7klw, dt8nthxqalx3bhz723zdty39w, a5h691d1wvz871qz9t1cmi68k, 9j5kxdshj31du1psnt8cp6has, bb524gi3hf6soharvgp7bumtw",5735230503,59,"1, 2, 34, 17, 51, 6, 19, 8, 9, 10, 29, 7, 15, 22, 23, 35, 38, 44, 83, 88",5735309031,197,29753,5735230509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222519,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-05-18T02:07:58.794Z,2025-05-18T02:08:00Z,,,,,5735311903,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222511,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-05-18T02:07:58.794Z,2025-05-18T02:07:59Z,,,,,5735311875,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222533,3,1,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,50.2,49.9,2025-05-18T02:07:58.795Z,2025-05-18T02:08:02Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5735311965,141,59.9,5735311961,56,Back,5735311967,212,21.1,5735311971,279,S,5735311963,140,31.2,5735311969,213,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222549,4,1,1,0,3,2iwybwokic7nmr1t33abdbjoq,0,32.6,57.3,2025-05-18T02:08:02.241Z,2025-05-18T02:08:04Z,74rnjizxzn5a0oag6sue0ja7e,C. Sainté,,,5735312059,1,,5735312053,141,30.4,5735312047,155,,5735312055,212,43.5,5735312049,56,Center,5735312051,140,70.2,5735312057,213,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222569,3,1,1,0,4,kfq8fhwnmycbtad1u0fyefx0,1,24.0,76.6,2025-05-18T02:08:03.719Z,2025-05-18T02:08:06Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5735312135,56,Back,5735312141,212,17.6,5735312137,140,34.6,5735312143,213,5.40,5735312133,3,,5735312139,141,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222593,5,1,1,0,7,kfq8fhwnmycbtad1u0fyefx0,1,34.6,56.7,2025-05-18T02:08:06.342Z,2025-05-18T03:35:40Z,b0zo05bu61v32nw35mriue0yy,P. Gallaway,,,5735312225,56,Back,5735312227,140,30.2,5735312231,212,18.4,5735312233,213,1.82,5735312229,141,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222639,6,1,1,0,9,kfq8fhwnmycbtad1u0fyefx0,1,29.7,80.6,2025-05-18T02:08:08.418Z,2025-05-18T02:08:16Z,1vnfc466lc01fdfhyvzt8fhii,S. Guediri,,,5735312419,140,56.8,5735312423,212,29.2,5735312425,213,0.23,5735312417,56,Left,5735312421,141,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222627,5,83,1,0,15,2iwybwokic7nmr1t33abdbjoq,0,41.6,8.6,2025-05-18T02:08:14.560Z,2025-05-18T03:37:58Z,2lpjr3oys0s0u2pnhut8epqwa,D. Rivera,,,5735312493,399,djz5cm1g7ouen2y4o7w35jbl6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
