id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/value
2813125097,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-05-11T00:20:31.574Z,2025-05-11T00:58:49Z,,,,,5718218103,30,"7y56spdjsagw833hgo5ranvf9, 9xjixcn3jhf7m75dl49u0qe7e, 3csngjh4kjgpkfayppiwfbw2c, 39jhew6iao7uriko5shx2tnje, e23yyl43xtcve09dx234uuj8, 74rnjizxzn5a0oag6sue0ja7e, 6ahu72g0u39bxbjiz7ggefai1, a5h691d1wvz871qz9t1cmi68k, 4x3md4d2zvyvxlhtqp0ocvmqx, 74bhj4xi5zgq6evsr4c766p04, 2lpjr3oys0s0u2pnhut8epqwa, 6dpxvfpnaua6y4gevop02qc8a, c0of0cn2tec0yn2vtwdqgxxpl, cdaayu6d9xzn4gyn5jg5p6vl6, 7lzda1yh1eixs7rqn46y1ulpm, cxm5xmc7zajd0j1zirav6q2qy, 6m158yzashjy4y3dcbresua22, d74g09o22jua08rgr8e71x4kq, 6naqq6f6acfec3zh2msuxrmqd",5718371451,197,23588,5718218105,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5718218113,194,74rnjizxzn5a0oag6sue0ja7e,5718218107,59,"1, 2, 34, 17, 51, 6, 8, 44, 91, 10, 19, 7, 9, 13, 14, 15, 22, 23, 29",5718218109,130,4,5718218115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5718218111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2813126643,1,34,16,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-05-11T00:22:37.737Z,2025-05-11T04:42:36Z,,,,,5718377153,197,18628,5718227283,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5718227279,59,"1, 3, 24, 19, 12, 22, 11, 15, 23, 8, 9, 6, 10, 13, 16, 25, 27, 42, 47, 54",5718227277,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5718227281,130,7,5718227285,194,cvdn34vl3zje5uq54nvg77sut,5718227275,30,"zczt4alpawz5522hff8x39p1, 9za3fwnri7qk1dutb4iwmh6g9, 52rcg38mijjjusfwqxa2l7hex, caxfn5xu1taewgtxil6ah2rjd, 9imj5ig0i01uljnd3gd2cz1m, cvdn34vl3zje5uq54nvg77sut, bhzsz7pbe6pbwojtc1mi8m28l, djau5chcmoyiyq28jt9ypzh4a, 1iyhipdn84for8bbxb07kw4x5, ew8oodr9hiuqve7xlz24xznfu, 7b346y8ad54mkc0h1343ybs2x, 4fbaxgikw7z9sfhuz6vvnfmxh, 3nvijn3ctkplajtt1dd23wycp, 18iz45ww0nara0xdaleg72ort, 2o86bp6u8hbr8q43mea7srco9, g31cspu8sa8eohwakxm28ne2, akgtib8zyv5lrvh9mxunj2rdg, 85k1701p1ihv5ty1q457tjaqc, 92e2s4yfk06ym5ksu9p8lgc2c, 2yabsbl3yiatag3ufybc35mvo",5718227287,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2813157801,2,32,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-05-11T01:06:58.303Z,2025-05-11T01:07:01Z,,,,,5718406445,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813157787,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-05-11T01:06:58.303Z,2025-05-11T01:06:58Z,,,,,5718406361,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813157849,3,1,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,50.4,50.1,2025-05-11T01:06:58.304Z,2025-05-11T01:07:02Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5718406753,141,63.3,5718406755,212,22.0,5718406751,140,31.3,5718406759,279,S,5718406757,213,2.72,5718406749,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813157871,4,1,1,0,3,2iwybwokic7nmr1t33abdbjoq,0,31.6,63.5,2025-05-11T01:07:01.624Z,2025-05-11T02:07:33Z,74rnjizxzn5a0oag6sue0ja7e,C. Sainté,,,5718406919,1,,5718406917,213,5.71,5718406915,212,55.3,5718406909,56,Right,5718406911,140,75.8,5718626541,157,,5718406913,141,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813157913,3,1,1,0,6,bk3zg8yaj5uoqhxzwons3bo8a,1,40.7,70.3,2025-05-11T01:07:04.836Z,2025-05-11T01:07:06Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5718407143,141,62.6,5718407145,212,10.9,5718407141,140,49.8,5718407147,213,5.78,5718407137,3,,5718407139,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813157931,4,1,1,0,8,bk3zg8yaj5uoqhxzwons3bo8a,0,49.2,63.4,2025-05-11T01:07:07.138Z,2025-05-11T01:07:09Z,7b346y8ad54mkc0h1343ybs2x,Luiz Fernando,,,5718407243,3,,5718407253,213,0.42,5718407251,212,5.3,5718407247,140,53.8,5718407245,56,Center,5718407249,141,66.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813157935,5,43,1,0,10,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-05-11T01:07:08.759Z,2025-05-11T02:07:56Z,39jhew6iao7uriko5shx2tnje,J. Scearce,,,5718407287,141,38.2,5718627407,144,1,5718407275,3,0,5718407291,212,0,5718407295,213,0.00,5718407281,56,Center,5718407285,140,55.5,5718407277,168,0,,,,,,,,,,,,,,,,,,,,,,,,
2813157945,6,44,1,0,10,2iwybwokic7nmr1t33abdbjoq,1,48.7,34.6,2025-05-11T01:07:08.768Z,2025-05-11T01:07:10Z,39jhew6iao7uriko5shx2tnje,J. Scearce,,,5718407375,56,Back,5718407425,233,5,5718407475,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
