id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2813149165,1,34,16,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-05-11T00:54:57.993Z,2025-05-11T06:01:05Z,,,,,5718622215,197,2754,5718355285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5718355287,194,9tispdm7tc3te31awsfcmd905,5718355291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5718355277,59,"98, 2, 16, 41, 3, 30, 5, 14, 8, 22, 99, 4, 6, 9, 17, 18, 19, 23",5718355269,30,"d38osra1p83cgtmrwqt6w60yy, n6ubi9lw3fjau0xzvd09myqy, 637c2iedo7modc3ekt36c2m7d, 54yx5xkqrktd2hp0sxjx6hm8l, 97d0drjb3zqkh5ozfufg17nys, arxprecroj7kqwx1tmkhhfsdm, e93nozniig2wriw9doit6a4tl, 9tispdm7tc3te31awsfcmd905, 2co6fedrz8anjzy9ise76dplh, 5fhb206czgy2ul5j0tsqeo7ah, d50x000h9o6i8kd8aihie4lx, 2pka62t1zg04jwkcx6zbc4wlw, blts89a19itip4gjeagcwc1xx, a2bwi8risp0a9q88cno5wlihh, 33t1aoog229o5f7okwwg5d6ac, 1nl79aq9il743hgoaijmupmmt, 8delieh6jv1cgaukmgcwfjsic, cv7nd9tnk6j2ixvnlibiip2vp",5718355273,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5718355281,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813153661,1,34,16,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-05-11T01:00:54.090Z,2025-05-11T06:00:04Z,,,,,5718380693,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5718380687,130,17,5718380685,59,"1, 2, 22, 4, 6, 5, 8, 96, 9, 10, 17, 3, 7, 19, 20, 21, 23, 24, 55, 99",5718380683,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5718380689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5718380681,30,"9l35nvd07jhy457u1yehm3gx6, ea8jgqvyafx5wvgd5d70mgx9m, 7y9k549gjh2183ylplvwg2q5l, bgxiot2ugkc6t5jchxewen4k5, b7hyxpaqt3ymfbuah1yop5rai, 5u1uufcs8jlvvkzodpi5ykovd, 271x0k4dhjqn4h7ecmt44pzo5, 2054x8z63k74or3inr9sl0bu1, 23vdzclmewq139wius9oy3m51, do8svqsgqomasmzdwwsgg7qlm, t8bq7sttljbcrrspxz5tnm5l, cc7jk41tn9qi5px4pb9l4bn8q, 1ntf3x9ay255qut54al2mt0q, 579n2n7oiogy83epzcfrxtd5h, 8qjls72u1tvwuxas420p8ed5g, c7xfrcywzfkh6ysuhv3bk8fvu, dwyatw1wz3nrh1fcwu27ie8ve, 2p1887g4xd36ac2trpyf42wru, 6e7vgxyzx00c79hw1wg4d01sk, 113mck575esofosg0reheh7je",5718380691,194,271x0k4dhjqn4h7ecmt44pzo5,5718747849,197,23592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202431,2,32,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-05-11T02:10:20.433Z,2025-05-11T02:10:20Z,,,,,5718633419,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202439,2,32,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-05-11T02:10:20.433Z,2025-05-11T02:10:23Z,,,,,5718633449,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202457,3,1,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,49.9,49.9,2025-05-11T02:10:20.434Z,2025-05-11T02:11:41Z,5fhb206czgy2ul5j0tsqeo7ah,E. Amoh,,,5718636605,189,,5718633561,140,32.5,5718633559,56,Back,5718633569,279,S,5718633565,212,18.8,5718633563,141,56.4,5718633567,213,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202479,4,1,1,0,1,8cpjplodpphtkbt0hq8sr8mqs,0,32.4,56.4,2025-05-11T02:10:21.994Z,2025-05-11T02:10:26Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5718633661,1,,5718633659,213,5.74,5718633651,56,Right,5718633653,140,73.3,5718633655,141,18.3,5718633649,155,,5718633657,212,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202477,3,44,1,0,4,7neuneh44n9rtsfsh6r0sb9no,1,28.2,80.0,2025-05-11T02:10:24.477Z,2025-05-11T03:11:32Z,bgxiot2ugkc6t5jchxewen4k5,L. Desmond,,,5718633645,56,Back,5718633647,285,,5718633719,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202485,5,44,1,0,4,8cpjplodpphtkbt0hq8sr8mqs,0,71.8,20.0,2025-05-11T02:10:24.478Z,2025-05-11T03:11:33Z,5fhb206czgy2ul5j0tsqeo7ah,E. Amoh,,,5718633729,233,3,5718633697,286,,5718633695,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202483,4,12,1,0,4,7neuneh44n9rtsfsh6r0sb9no,1,31.1,77.2,2025-05-11T02:10:25.388Z,2025-05-11T02:10:31Z,bgxiot2ugkc6t5jchxewen4k5,L. Desmond,,,5718633691,212,9.7,5718633705,15,,5718633689,141,72.4,5718633683,56,Back,5718633693,213,5.94,5718633687,140,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202491,6,3,1,0,7,8cpjplodpphtkbt0hq8sr8mqs,0,58.4,31.6,2025-05-11T02:10:28.074Z,2025-05-11T02:50:48Z,d50x000h9o6i8kd8aihie4lx,M. Foster,,,5718697485,286,,5718716977,233,29,5718633737,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813203615,29,7,1,0,7,7neuneh44n9rtsfsh6r0sb9no,0,41.6,68.4,2025-05-11T02:10:28.075Z,2025-05-11T02:51:15Z,2054x8z63k74or3inr9sl0bu1,L. Fernandes,,,5718716951,233,6,5718639137,285,,5718639135,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202507,7,1,1,0,9,8cpjplodpphtkbt0hq8sr8mqs,1,56.6,38.5,2025-05-11T02:10:30.346Z,2025-05-11T03:06:52Z,9tispdm7tc3te31awsfcmd905,A. Quinn,,,5718633835,213,5.09,5718633833,212,13.3,5718633827,56,Right,5718633829,140,61.3,5718633831,141,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202515,8,1,1,0,10,8cpjplodpphtkbt0hq8sr8mqs,0,61.3,20.4,2025-05-11T02:10:31.058Z,2025-05-11T03:06:51Z,2co6fedrz8anjzy9ise76dplh,J. Blake,,,5718633867,212,8.6,5718633869,213,0.41,5718633861,56,Center,5718633865,141,25.5,5718633863,140,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202511,5,43,1,0,10,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-05-11T02:10:31.145Z,2025-05-11T02:50:44Z,271x0k4dhjqn4h7ecmt44pzo5,R. López,,,5718716875,144,61,5718633843,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813217607,301,61,1,0,14,7neuneh44n9rtsfsh6r0sb9no,1,39.1,71.1,2025-05-11T02:10:35.089Z,2025-05-11T02:51:43Z,7y9k549gjh2183ylplvwg2q5l,M. Benítez,,,5718718213,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202545,6,1,1,0,14,7neuneh44n9rtsfsh6r0sb9no,0,32.0,69.1,2025-05-11T02:10:35.196Z,2025-05-11T02:51:30Z,t8bq7sttljbcrrspxz5tnm5l,D. Wanner,,,5718634005,213,5.29,5718633995,155,,5718634003,212,2.5,5718633999,140,33.3,5718634001,141,66.0,5718633997,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813202581,7,1,1,0,15,7neuneh44n9rtsfsh6r0sb9no,1,39.3,32.1,2025-05-11T02:10:35.981Z,2025-05-11T02:52:52Z,2054x8z63k74or3inr9sl0bu1,L. Fernandes,,,5718634243,56,Back,5718634245,140,36.4,5718634251,213,3.76,5718634247,141,28.9,5718634249,212,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
