id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2788861137,1,34,16,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-03-15T23:54:40.515Z,2025-03-16T00:35:48Z,,,,,5584598209,130,4,5584598211,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584598203,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5584598213,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584739051,194,ks7omik17xov44i4hhjrldyh,5584739053,197,25243,5584598207,59,"1, 23, 94, 10, 21, 3, 8, 18, 17, 70, 9, 5, 6, 7, 11, 13, 14, 34, 50, 51",5584598199,30,"h4nbagq5dsdltn9x62oi0t05, 5ynru0652guk8hl45ltxo0dwq, 61rlxmejof8zjv8uw3sk1l045, zd582wgzhdcz8n6oipywt3vt, 4o1ryjpzoxzpi3ex53cmayui1, ks7omik17xov44i4hhjrldyh, bfdes5ft117ggu7ue5tnu5hm2, bzu3rjr0r2qmxluguyseq5sdl, 4695nvcz8lcrklltxvalcizmd, 8pg5wiwxujx3hnir5wie9xgfe, 2ug51dfg4oerpnbudnkw497je, 371fgwtxyfnnu6m4pmq7s55ud, 9izvs4qd03gfmqukkk5csxxxw, 4ceaxb019rb6flsigsqo80rca, 4g4zufvyime7qp4ks4badls0k, 57h9hd13z846qsj0bqpdoegb8, 8gxutqok71ycyk3ojmudrqtck, 9623rc4ywvt5nvq15qknn9l3o, 6gv5m8fgz670rbqxbjo9sigwk, 86fj5xdkol68mz5bf7hrk4c2c",,,,,,,,,,,,,,,,,,,,,,,,,,,
2788861319,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-03-15T23:55:01.093Z,2025-03-16T04:40:59Z,,,,,5584599207,59,"1, 28, 13, 42, 16, 5, 20, 2, 9, 14, 8, 4, 6, 17, 18, 31, 67, 70",5584599215,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5584599199,30,"a9lytq2ddavywxo7ib8uzbj6x, c8nk2hg1xy4h4646ajpq65dnu, 69pe2d0b9ughzcn3iqarracr8, 6jsu34146kbtoeco3ue1a7ok4, 1445ppxg007udzcj6t20ceyju, 3g0rdzkjns986gn34vg3umiqy, 2d1vmwon9o35lzpkdwxgv12lm, c4va4gt5g10zm05qtucgyt889, 9jfh2t3w4aqc4o4rvjfk7xey1, e8rbnbqkrxia3lgt7agaid4kq, cxrjwzo1fmvgcw8i820hwn07p, 5h4ldsd3uwkk4wxr9iqi5kqy2, 6emdaopgvgmxzmuj4bu1tz7my, 364a445zm6p8fzqxia2myj7dg, d3b8yjlx6aitma59vlpen39m2, 9tbzso59dbmu47ovroulv9rf8, efek04gkkjjwr6vo2mi008dm, 2bhgif1020mgkwuzkjebaf6s4",5584599211,130,7,5584599223,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584599203,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5584599219,194,c4va4gt5g10zm05qtucgyt889,5585116701,197,24408,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788886793,2,32,1,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-03-16T00:36:43.307Z,2025-03-16T00:36:48Z,,,,,5584742257,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788886775,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-03-16T00:36:43.307Z,2025-03-16T00:36:43Z,,,,,5584742185,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788886807,3,1,1,0,0,87c66ubwpzykovmkaf1t46bis,1,50.1,49.3,2025-03-16T00:36:44.107Z,2025-03-16T00:36:47Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5584742305,213,3.33,5584742307,279,S,5584742299,140,13.1,5584742301,141,38.3,5584742303,212,39.6,5584742347,1,,5584742297,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788886847,4,1,1,0,2,87c66ubwpzykovmkaf1t46bis,0,13.1,38.3,2025-03-16T00:36:46.049Z,2025-03-16T03:24:12Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5584742485,141,60.2,5584742487,212,52.6,5584742477,157,,5584742481,56,Center,5584742493,1,,5584742483,140,61.1,5584742489,213,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788886851,3,1,1,0,4,224tl8u2smnbyliroayk69nt0,0,39.9,43.0,2025-03-16T00:36:47.930Z,2025-03-16T00:36:50Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5584742517,212,26.1,5584742515,141,24.9,5584742519,213,5.79,5584742513,140,61.8,5584742511,56,Center,5584742509,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788886871,5,1,1,0,7,87c66ubwpzykovmkaf1t46bis,1,51.0,76.1,2025-03-16T00:36:50.609Z,2025-03-16T00:46:13Z,bfdes5ft117ggu7ue5tnu5hm2,N. Hernandez,,,5584742631,56,Left,5584742639,213,0.93,5584742633,140,58.1,5584742629,3,,5584742635,141,90.9,5584742637,212,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788886921,6,1,1,0,10,87c66ubwpzykovmkaf1t46bis,1,58.1,90.9,2025-03-16T00:36:54.124Z,2025-03-16T00:36:55Z,2ug51dfg4oerpnbudnkw497je,J. LaCava,,,5584742909,56,Back,5584742911,140,36.1,5584742913,141,90.9,5584742915,212,23.1,5584742917,213,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788886955,7,1,1,0,12,87c66ubwpzykovmkaf1t46bis,1,36.1,90.9,2025-03-16T00:36:55.601Z,2025-03-16T00:36:58Z,61rlxmejof8zjv8uw3sk1l045,J. Medranda,,,5584743105,212,15.4,5584743107,213,3.31,5584743101,140,21.6,5584743099,56,Back,5584743103,141,87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
