id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/18/value
2797519365,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-04-06T19:21:38.377Z,2025-04-07T01:52:10Z,,,,,5632063915,130,2,5632063913,59,"13, 3, 14, 17, 2, 34, 7, 8, 91, 9, 19, 1, 5, 10, 21, 22, 29, 38, 44, 88",5632250879,197,23588,5632063919,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5632063911,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5632063909,30,"cdaayu6d9xzn4gyn5jg5p6vl6, e076q290ab1o6qz9vthl2c0a2, 7lzda1yh1eixs7rqn46y1ulpm, 39jhew6iao7uriko5shx2tnje, 9xjixcn3jhf7m75dl49u0qe7e, 3csngjh4kjgpkfayppiwfbw2c, 6dpxvfpnaua6y4gevop02qc8a, 6ahu72g0u39bxbjiz7ggefai1, 4x3md4d2zvyvxlhtqp0ocvmqx, c0of0cn2tec0yn2vtwdqgxxpl, 2lpjr3oys0s0u2pnhut8epqwa, 7y56spdjsagw833hgo5ranvf9, 2p7o7pd4vfw3mvp5o8euss6xg, 74bhj4xi5zgq6evsr4c766p04, anklhk2phdsmbt84kumwvgvyt, 6m158yzashjy4y3dcbresua22, 6naqq6f6acfec3zh2msuxrmqd, dt8nthxqalx3bhz723zdty39w, a5h691d1wvz871qz9t1cmi68k, bb524gi3hf6soharvgp7bumtw",5632250877,194,6dpxvfpnaua6y4gevop02qc8a,5632063917,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797520779,1,34,16,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-04-06T19:23:11.093Z,2025-04-06T20:11:50Z,,,,,5632071951,59,"1, 34, 94, 14, 21, 5, 9, 18, 17, 10, 7, 4, 8, 11, 13, 23, 32, 51, 70",5632071953,130,8,5632071955,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5632252065,197,15171,5632071957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5632071945,30,"h4nbagq5dsdltn9x62oi0t05, 9623rc4ywvt5nvq15qknn9l3o, 61rlxmejof8zjv8uw3sk1l045, 8gxutqok71ycyk3ojmudrqtck, 4o1ryjpzoxzpi3ex53cmayui1, 371fgwtxyfnnu6m4pmq7s55ud, 2ug51dfg4oerpnbudnkw497je, bzu3rjr0r2qmxluguyseq5sdl, 4695nvcz8lcrklltxvalcizmd, zd582wgzhdcz8n6oipywt3vt, 4ceaxb019rb6flsigsqo80rca, c481wk3de3opu190d8z99w8yy, bfdes5ft117ggu7ue5tnu5hm2, 4g4zufvyime7qp4ks4badls0k, 57h9hd13z846qsj0bqpdoegb8, 5ynru0652guk8hl45ltxo0dwq, euesmrqkdyvekqtpk81ln7uqy, 86fj5xdkol68mz5bf7hrk4c2c, 8pg5wiwxujx3hnir5wie9xgfe",5632071949,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5632268047,194,4o1ryjpzoxzpi3ex53cmayui1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797556141,2,32,1,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-04-06T20:08:09.024Z,2025-04-06T20:08:09Z,,,,,5632269243,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797556147,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-04-06T20:08:09.024Z,2025-04-06T20:08:12Z,,,,,5632269273,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797556199,3,1,1,0,0,87c66ubwpzykovmkaf1t46bis,1,49.9,50.4,2025-04-06T20:08:09.025Z,2025-04-06T20:08:13Z,4695nvcz8lcrklltxvalcizmd,J. Agudelo,,,5632269527,213,3.01,5632269519,56,Back,5632269521,140,28.3,5632269529,279,S,5632269523,141,54.8,5632269525,212,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797556257,4,1,1,0,3,87c66ubwpzykovmkaf1t46bis,1,21.3,54.3,2025-04-06T20:08:12.873Z,2025-04-06T20:08:16Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5632269795,212,18.5,5632269793,141,28.9,5632269791,140,27.6,5632269789,56,Back,5632269797,213,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797556273,5,1,1,0,7,87c66ubwpzykovmkaf1t46bis,1,28.8,27.9,2025-04-06T20:08:16.352Z,2025-04-06T20:08:18Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5632269885,56,Back,5632269893,213,2.34,5632269889,141,38.6,5632269887,140,22.1,5632269891,212,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797556343,6,1,1,0,9,87c66ubwpzykovmkaf1t46bis,1,11.4,45.4,2025-04-06T20:08:18.241Z,2025-04-06T20:08:23Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5632270291,141,74.4,5632270287,56,Back,5632270293,212,23.7,5632270295,213,0.98,5632270289,140,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797556371,7,1,1,0,14,87c66ubwpzykovmkaf1t46bis,1,24.7,75.7,2025-04-06T20:08:23.321Z,2025-04-06T20:08:25Z,371fgwtxyfnnu6m4pmq7s55ud,A. Souahy,,,5632270469,56,Back,5632270477,213,3.90,5632270475,212,20.6,5632270473,141,54.8,5632270471,140,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797556447,8,1,1,0,15,87c66ubwpzykovmkaf1t46bis,1,10.4,54.2,2025-04-06T20:08:24.873Z,2025-04-06T20:08:29Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5632270871,141,35.2,5632270875,213,5.34,5632270873,212,15.9,5632270867,56,Back,5632270869,140,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797556579,9,1,1,0,20,87c66ubwpzykovmkaf1t46bis,1,21.7,35.4,2025-04-06T20:08:29.696Z,2025-04-06T20:08:38Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5632271557,56,Back,5632271561,141,58.4,5632271559,140,18.8,5632271563,212,15.9,5632271565,213,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797556635,10,1,1,0,29,87c66ubwpzykovmkaf1t46bis,1,21.3,64.5,2025-04-06T20:08:38.160Z,2025-04-06T20:15:43Z,371fgwtxyfnnu6m4pmq7s55ud,A. Souahy,,,5632271869,213,3.84,5632271867,212,11.4,5632271861,56,Back,5632271865,141,53.7,5632271863,140,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797556751,11,1,1,0,36,87c66ubwpzykovmkaf1t46bis,1,24.2,47.0,2025-04-06T20:08:45.257Z,2025-04-06T20:08:48Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5632272415,213,5.07,5632272413,212,16.5,5632272407,56,Back,5632272411,141,24.3,5632272409,140,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797556815,12,1,1,0,39,87c66ubwpzykovmkaf1t46bis,1,28.1,26.1,2025-04-06T20:08:48.448Z,2025-04-06T20:08:52Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5632272655,155,,5632272663,140,41.5,5632272665,141,78.7,5632272669,213,1.20,5632272659,56,Back,5632272671,1,,5632272667,212,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
