id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2823703399,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-06-21T22:12:26.943Z,2025-06-22T02:58:53Z,,,,,5777084277,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5777130531,194,e8rbnbqkrxia3lgt7agaid4kq,5777084281,130,17,5777084285,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777084279,59,"1, 3, 13, 23, 5, 16, 42, 12, 9, 10, 14, 2, 6, 8, 15, 18, 20, 31, 70",5777084275,30,"a9lytq2ddavywxo7ib8uzbj6x, 8pli7fk5kjmt0f9pl6sjsltuy, 69pe2d0b9ughzcn3iqarracr8, 6omt3lirajdcqxcbhzk9sobmx, 3g0rdzkjns986gn34vg3umiqy, 1445ppxg007udzcj6t20ceyju, 6jsu34146kbtoeco3ue1a7ok4, b8lkxvf7fa96tvblx4ilcg2ui, 9jfh2t3w4aqc4o4rvjfk7xey1, aqqbh1ugeh2f8jjiq8fu2qwru, e8rbnbqkrxia3lgt7agaid4kq, c4va4gt5g10zm05qtucgyt889, 6emdaopgvgmxzmuj4bu1tz7my, cxrjwzo1fmvgcw8i820hwn07p, 1l26kd7tulii6x999b3fdxi0a, d3b8yjlx6aitma59vlpen39m2, 2d1vmwon9o35lzpkdwxgv12lm, 9tbzso59dbmu47ovroulv9rf8, 2bhgif1020mgkwuzkjebaf6s4",5777084283,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5777123201,197,29756,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823703483,1,34,16,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-06-21T22:12:42.671Z,2025-06-22T03:15:57Z,,,,,5777084793,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777084783,30,"3gzatxlefe9axcrqyllbtrzmc, dbjysa6qhf203jmpjedz8pgph, 8vcytrkvxzki08gxqpulol3hl, bpkzxcqtmvei7lqkqzuvzelsl, 2wufroeor0e7k6hvatj1ltwfe, du5dg5x7as3ub1iemjuwdd6uh, c08hvq1hplcct8kxrxucfpqp6, 7ao58e6608lb8eu3dmk17jisp, 1m1s5p5j607baa6lany39txxw, 6mrzod8fbjpv5s30eyypfyv2t, 56txiyhvsvhudyr1b21rznmjt, dp8j7znd4eavuoy3faqpamoa2, 87rpg135z1k0ir74kdczwo2y1, 5s5sc7zxuw8cr7vyzeofb8hnu, cbbip5xc4xfipnk6aal6cfywa, te1unnk7afru8djvu92vs00k, 374euncv00zs2oy6ux1u519be, lp6scacgnnb3d9uxypl2cn4k",5777127973,197,2772,5777084789,130,10,5777084787,59,"41, 14, 11, 33, 27, 2, 28, 8, 47, 9, 4, 1, 3, 17, 20, 21, 26, 36",5777084791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5777127971,194,bpkzxcqtmvei7lqkqzuvzelsl,5777084785,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711889,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-06-21T23:07:29.906Z,2025-06-21T23:07:31Z,,,,,5777131705,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711881,2,32,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-06-21T23:07:29.906Z,2025-06-21T23:07:30Z,,,,,5777131663,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711899,3,1,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,50.2,50.7,2025-06-21T23:07:29.907Z,2025-06-21T23:07:33Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5777131751,140,30.9,5777131749,56,Back,5777131755,212,20.8,5777131757,213,2.92,5777131759,279,S,5777131753,141,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711913,4,1,1,0,3,5qfq6cwtrgzd2szijivns7rjl,0,29.4,57.3,2025-06-21T23:07:33.524Z,2025-06-22T01:55:51Z,56txiyhvsvhudyr1b21rznmjt,L. Hilton,,,5777131837,1,,5777131825,157,,5777131833,212,45.7,5777131835,213,0.01,5777131831,141,58.2,5777131827,56,Center,5777131829,140,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711929,3,1,1,0,6,224tl8u2smnbyliroayk69nt0,0,27.2,29.5,2025-06-21T23:07:36.172Z,2025-06-21T23:20:58Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5777131935,213,0.24,5777131931,141,35.7,5777131925,3,,5777131927,56,Back,5777131929,140,43.5,5777131933,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711941,5,1,1,0,9,5qfq6cwtrgzd2szijivns7rjl,0,47.8,78.1,2025-06-21T23:07:38.971Z,2025-06-21T23:07:39Z,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,,,5777131989,213,5.39,5777131983,140,54.3,5777131981,56,Center,5777131985,141,65.5,5777131987,212,11.0,5777131979,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711943,4,1,1,0,9,224tl8u2smnbyliroayk69nt0,0,29.3,34.6,2025-06-21T23:07:39.756Z,2025-06-21T23:07:40Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5777131999,212,7.5,5777131993,56,Back,5777131995,140,33.9,5777131997,141,26.1,5777132001,213,5.41,5777131991,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711963,6,1,1,0,11,5qfq6cwtrgzd2szijivns7rjl,1,53.4,70.6,2025-06-21T23:07:41.555Z,2025-06-21T23:07:44Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5777132101,3,,5777132107,141,73.3,5777132105,140,50.6,5777132111,213,2.58,5777132109,212,3.5,5777132103,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711967,7,50,1,0,14,5qfq6cwtrgzd2szijivns7rjl,1,54.6,71.8,2025-06-21T23:07:44.162Z,2025-06-22T01:57:08Z,1m1s5p5j607baa6lany39txxw,L. Álvarez,,,5777132415,233,5,5777132131,56,Center,5777132133,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823712011,5,7,1,0,14,224tl8u2smnbyliroayk69nt0,1,45.4,28.2,2025-06-21T23:07:44.163Z,2025-06-22T01:57:07Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5777132323,285,,5777132395,233,7,5777132321,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
