id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/11/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/18/value
2809757829,1,34,16,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-05-03T20:02:18.096Z,2025-05-04T02:23:11Z,,,,,5699600125,130,11,5699600133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5699600129,194,38ghqgck8fwnxap6em08avzs9,5699600121,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5699600123,59,"77, 2, 19, 4, 15, 30, 16, 10, 9, 6, 11, 7, 8, 17, 22, 44, 71, 81",5699600127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5699600119,30,"crhe42indjb3mb7di7yh1zndg, 8qqehla9xvhut6uua4a0zcju2, 6tesoh4ckbbkisphokig9yqz8, 38ghqgck8fwnxap6em08avzs9, dqvxmefhimxvxstvlz5yd7ysp, 984jr9d6sbi5l5vt9ct1b6cph, 4iepghv4p490fxo5s429qeicq, 7i9qesz7fugndupldntvshwd0, 9izknjlz6zunwjpo4u94q855g, 9blzzcpytqe7o9rdte1s6mw6i, dkk3twgai2ldi75eh0xr37hbe, b7pzjfl5fuvivmc2x9defzfmx, 16si0dgkuqvahp0x1bjr37xuc, 3ei1s8oyub83owfxxbsygmsmi, c7q476j0dkl7e4fhqqlsp5rai, 8ecb1shzu9migh6lv1bnku8es, 5r88subg9jy8zg4y97tzwzxm1, lu2g4n0jcfxk41i8ro05ad5g",5699611157,197,23583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809761209,1,34,16,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-05-03T20:06:37.195Z,2025-05-03T21:11:14Z,,,,,5699618867,59,"1, 7, 91, 4, 22, 6, 80, 8, 26, 9, 10, 2, 11, 14, 17, 19, 23, 42, 62, 99",5699618863,30,"5htuxrszecd448kld1yguwpas, 6692w96w6qmvgcpo02dehq4iy, 94zkjopy373mgso15ljxmhd04, 14oq6mvlh5e51d9y20nbpok4p, 3s1a50dskuehneuuy9b1nxg4, 5tyrfuxsp7s9thsmhfqevuoyx, dmbqkvvaray373vy9eiq4l1ck, ecjt2cd0xn1qyeyboapqwxbvu, caoq1dpq6lz1btrd75s9xuz56, 21y2ogvprtdai47j36w9m22cq, 1h85rt7bnqep3qovatft86pgq, d8uer29a3oya05ks99q696221, ax8t5jhq9kz6ff2sji3p90kr8, bmuds0h4a4sbhg47zmamnld5h, 22p6n3oird085u2kbkiqp4pg, 5jigl7kp5d2i5ws1602jm7n1m, eur2vbdzfmcxyfathakjghyqc, f1gj1qng7x6nxfi8lbxa7tvpx, aur71sievd8d2fnrumu3xf6c, 8ogjrgklyvze158g90q7fv85w",5699882895,194,5tyrfuxsp7s9thsmhfqevuoyx,5699618869,130,8,5699618865,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5699618871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5699618873,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5699620915,197,27037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809808313,2,32,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-05-03T21:09:24.828Z,2025-05-03T21:09:25Z,,,,,5699876251,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809808319,2,32,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-05-03T21:09:24.828Z,2025-05-03T21:09:28Z,,,,,5699876271,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809808355,3,1,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,49.9,49.9,2025-05-03T21:09:24.829Z,2025-05-03T21:09:29Z,4iepghv4p490fxo5s429qeicq,J. Panayotou,,,5699876483,213,3.29,5699876481,212,22.7,5699876485,279,S,5699876479,141,44.9,5699876473,56,Back,5699876477,140,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809808357,4,1,1,0,2,2n3wgr89m7jl8tmioemit2pgq,0,28.5,44.9,2025-05-03T21:09:27.127Z,2025-05-03T21:09:29Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5699876495,141,78.1,5699876501,1,,5699876499,213,0.53,5699876491,56,Center,5699876493,140,65.5,5699876497,212,44.9,5699876489,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809814879,70,1,1,0,5,2n3wgr89m7jl8tmioemit2pgq,1,77.9,89.5,2025-05-03T21:09:29.925Z,2025-05-03T21:21:55Z,dkk3twgai2ldi75eh0xr37hbe,M. Ngalina,,,5699920643,141,75.4,5699920645,212,9.8,5699920649,213,4.52,5699920639,140,76.1,5699920637,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809808439,5,1,1,0,5,2n3wgr89m7jl8tmioemit2pgq,1,63.7,71.8,2025-05-03T21:09:30.012Z,2025-05-03T21:18:48Z,9izknjlz6zunwjpo4u94q855g,M. Dieng,,,5699876913,212,12.6,5699876911,141,81.5,5699876907,56,Left,5699876909,140,73.9,5699876915,213,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809808441,6,1,1,0,6,2n3wgr89m7jl8tmioemit2pgq,0,80.8,91.4,2025-05-03T21:09:31.672Z,2025-05-03T21:23:54Z,dkk3twgai2ldi75eh0xr37hbe,M. Ngalina,,,5699920915,141,61.3,5699920919,213,5.34,5699920911,56,Center,5699920917,212,25.3,5699920913,140,94.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809808457,4,1,1,0,12,e3k8yw2rbmphyfu5htn4yi5jk,1,9.0,50.6,2025-05-03T21:09:37.420Z,2025-05-03T21:09:39Z,5htuxrszecd448kld1yguwpas,C. Garner,,,5699877021,123,,5699877055,287,,5699877027,141,79.4,5699877023,56,Back,5699877025,140,23.6,5699877029,212,24.9,5699877031,213,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
