id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/9/value,qualifier/14/value,qualifier/10/value
2823708961,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-06-21T22:50:57.707Z,2025-06-22T02:04:05Z,,,,,5777202147,197,29753,5777115817,194,7y56spdjsagw833hgo5ranvf9,5777115807,30,"7y56spdjsagw833hgo5ranvf9, 9xjixcn3jhf7m75dl49u0qe7e, d74g09o22jua08rgr8e71x4kq, 39jhew6iao7uriko5shx2tnje, e23yyl43xtcve09dx234uuj8, 3csngjh4kjgpkfayppiwfbw2c, c0of0cn2tec0yn2vtwdqgxxpl, 6ahu72g0u39bxbjiz7ggefai1, 6naqq6f6acfec3zh2msuxrmqd, 74bhj4xi5zgq6evsr4c766p04, 6m158yzashjy4y3dcbresua22, dv155f8jlvq8frvhjcokboiy1, cdaayu6d9xzn4gyn5jg5p6vl6, 7lzda1yh1eixs7rqn46y1ulpm, dt8nthxqalx3bhz723zdty39w, a5h691d1wvz871qz9t1cmi68k, 281ieftii7id7an6dm505owrt, bb524gi3hf6soharvgp7bumtw",5777115819,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777115809,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5777115815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5777115811,59,"1, 2, 23, 17, 51, 34, 9, 8, 29, 10, 22, 12, 13, 14, 38, 44, 80, 88",5777115813,130,8,,,,,,,,,,,,,,,,,,,,,,,,
2823709551,1,34,16,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-06-21T22:55:22.197Z,2025-06-22T02:01:38Z,,,,,5777119159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777119157,130,8,5777119163,197,29700,5777119153,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5777119161,194,ecjt2cd0xn1qyeyboapqwxbvu,5777119155,59,"56, 7, 62, 91, 16, 22, 80, 4, 9, 8, 10, 1, 2, 5, 6, 11, 12, 19, 26, 36",5777119165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777119151,30,"ect3pxkbjycux4simxmzp9jze, 6692w96w6qmvgcpo02dehq4iy, aur71sievd8d2fnrumu3xf6c, 94zkjopy373mgso15ljxmhd04, 98l6i78kwuwnt2sbcucssgjfu, 3s1a50dskuehneuuy9b1nxg4, dmbqkvvaray373vy9eiq4l1ck, 14oq6mvlh5e51d9y20nbpok4p, 21y2ogvprtdai47j36w9m22cq, ecjt2cd0xn1qyeyboapqwxbvu, 1h85rt7bnqep3qovatft86pgq, 5htuxrszecd448kld1yguwpas, d8uer29a3oya05ks99q696221, ani26vxlo22iw1u9oexptml05, 5tyrfuxsp7s9thsmhfqevuoyx, ax8t5jhq9kz6ff2sji3p90kr8, 2otorwje8a8xv14x9o898db84, 5jigl7kp5d2i5ws1602jm7n1m, caoq1dpq6lz1btrd75s9xuz56, 5t1wvh34lm993otbc3469uzxm",,,,,,,,,,,,,,,,,,,,,,,,
2823725487,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-06-21T23:37:39.502Z,2025-06-21T23:37:39Z,,,,,5777207523,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823725489,2,32,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-06-21T23:37:39.502Z,2025-06-22T02:31:19Z,,,,,5777207525,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823725507,3,1,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,50.2,50.0,2025-06-21T23:37:39.503Z,2025-06-21T23:37:43Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5777207609,141,67.5,5777207613,213,2.68,5777207615,279,S,5777207607,140,27.6,5777207611,212,26.5,5777207605,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823725545,4,1,1,0,3,2iwybwokic7nmr1t33abdbjoq,0,27.7,67.5,2025-06-21T23:37:43.044Z,2025-06-21T23:37:47Z,d74g09o22jua08rgr8e71x4kq,R. Flood,,,5777207739,155,,5777207747,212,43.3,5777207745,141,26.5,5777207741,56,Center,5777207749,213,5.58,5777207743,140,59.3,5777207751,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823725557,5,44,1,0,5,2iwybwokic7nmr1t33abdbjoq,1,61.6,20.1,2025-06-21T23:37:45.124Z,2025-06-22T02:31:41Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,,5777207783,286,,5777207847,233,3,5777207781,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823725541,3,44,1,0,5,e3k8yw2rbmphyfu5htn4yi5jk,0,38.4,79.9,2025-06-21T23:37:45.125Z,2025-06-22T02:31:43Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5777207733,285,,5777207831,233,5,5777207731,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823725565,6,1,1,0,5,2iwybwokic7nmr1t33abdbjoq,0,63.2,13.1,2025-06-21T23:37:45.445Z,2025-06-22T02:31:46Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,,5777225589,213,5.97,5777225583,140,65.2,5777207829,56,Right,5777225587,212,2.2,5777225585,141,12.1,5777225581,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823725561,4,61,1,0,6,e3k8yw2rbmphyfu5htn4yi5jk,1,36.1,86.3,2025-06-21T23:37:46.390Z,2025-06-21T23:38:33Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5777207815,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
