id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2813187591,1,34,16,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-11T01:45:16.670Z,2025-05-11T06:10:31Z,,,,5718562833,130,2,5718562831,59,"56, 23, 33, 6, 5, 24, 7, 17, 27, 14, 10, 3, 9, 13, 18, 28, 96",5718669047,194,e6gr1t1rp2x7waywgzlrj8yqx,5718693113,197,28375,5718562829,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",5718562837,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5718562835,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5718562827,30,"470xuwiwevwy86l2ararrkyga, 4nwnrf33mdxscx5rdaw1529cl, 20z2nx7xh9mgty7qp6xur14yy, 9elhnfsovx9efu5f92mkkls7o, 8i5k1tx7x5hx4kk3qzyvrfj84, 3u22kckqpecmgcw7ee3xrdppm, 613kkjtvfyf7mbvrqt9pcizmd, 40qi53orb0eur2jevowkvrcb8, e6gr1t1rp2x7waywgzlrj8yqx, f3ftrudyp33naykboqmua0jro, 65jctzcct9irz3wre08c2v2wa, 8p3y7tm4lzwp39tojonnohaay, 8hamv2lpjznz8mettx8dc5tsk, e7vsajjh4e7t51ciycjg0skd0, a1v4h4gcsepnaknru3jjnwl5g, 2jxho5va9q638vkklji2n8cx6, 4wr32d93f1q1v8qjq2ywmnbze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813192977,1,34,16,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-05-11T01:53:06.402Z,2025-05-11T06:14:14Z,,,,5718587169,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5718587165,59,"1, 5, 6, 10, 23, 14, 17, 18, 27, 21, 20, 3, 7, 11, 22, 32, 33, 77",5718780515,197,23578,5718587167,130,8,5718587171,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5718780513,194,7i29w1zl3m6xdnurdll08jsvd,5718587163,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5718587161,30,"duuhalibp64gdz6nub5ub0ovd, 7i29w1zl3m6xdnurdll08jsvd, 6oj55tf7cdnnnft350f9fyhnt, drbcpa8qvrgin42q3it10nieh, dqekbs06e79n3vapj437pwyc, b9lt0sfts2zxf2ali8vpf0pn9, rtca480n5ehey5ffvt8nudck, 3djjepgynp4qnhgvvqh9oa1ka, 3ljxfq84ubqzlooixppmpfdd6, cnqxbvy77blk2ulx06t65it49, cfx7vo0kbjvcly2nf1b7papsk, 2h53fzt0ubszmkuwfnez8n622, ody1ty0csq2lnatvjwdrrv11, dio84sg1k4gsedcpordxs69lg, 6eqvj5hboqw5c21ofhsgo4p9l, ew3qxbn1ev1qv7wi0iwoc642c, 39t59x9q2xumbn2hphk7urp7u, 4ccmn07kk0thmg6apfxgivmc5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813213459,2,32,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-05-11T02:37:13.237Z,2025-05-11T02:37:16Z,,,,5718693833,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813213455,2,32,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-11T02:37:13.237Z,2025-05-11T02:37:13Z,,,,5718693813,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813213467,3,1,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,50.0,50.0,2025-05-11T02:37:13.238Z,2025-05-11T05:20:58Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,5718693843,140,28.7,5718693841,56,Back,5718693851,279,S,5718693847,212,22.4,5718693849,213,3.10,5718693845,141,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813213493,4,1,1,0,2,ak0rmms5xl49w57i2rvid1tk9,0,28.7,51.5,2025-05-11T02:37:15.971Z,2025-05-11T02:37:21Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,5718693979,155,,5718693981,56,Left,5718693983,140,60.4,5718693989,213,0.53,5718693985,141,80.3,5718693987,212,38.6,5718693991,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813213495,5,44,1,0,6,ak0rmms5xl49w57i2rvid1tk9,1,64.6,79.5,2025-05-11T02:37:19.301Z,2025-05-11T04:37:17Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,5718693995,56,Left,5718693997,286,,5718695971,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813213487,3,44,1,0,6,7c9knuwazz9k9449u5rnuuy5m,0,35.4,20.5,2025-05-11T02:37:19.302Z,2025-05-11T04:37:17Z,8i5k1tx7x5hx4kk3qzyvrfj84,E. Gärtig,,5718695943,233,5,5718693961,56,Back,5718693963,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813228619,412,1,1,0,7,ak0rmms5xl49w57i2rvid1tk9,0,62.6,76.1,2025-05-11T02:37:20.237Z,2025-05-11T03:31:19Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,5718779207,3,,5718779215,141,82.4,5718779219,213,0.35,5718779209,168,,5718779217,212,12.5,5718779211,56,Left,5718779213,140,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813213503,4,1,1,0,8,7c9knuwazz9k9449u5rnuuy5m,0,21.5,10.6,2025-05-11T02:37:21.757Z,2025-05-11T03:32:33Z,4nwnrf33mdxscx5rdaw1529cl,Y. Boudadi,,5718694031,157,,5718694033,56,Center,5718694043,1,,5718694041,213,0.68,5718694037,141,51.2,5718694035,140,54.3,5718694039,212,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
