id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value
2810721993,1,34,16,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-05-04T22:09:44.276Z,2025-05-05T01:25:42Z,,,,5704846173,130,13,5704846177,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5705318827,194,271x0k4dhjqn4h7ecmt44pzo5,5704846167,30,"9l35nvd07jhy457u1yehm3gx6, ea8jgqvyafx5wvgd5d70mgx9m, 7y9k549gjh2183ylplvwg2q5l, bgxiot2ugkc6t5jchxewen4k5, b7hyxpaqt3ymfbuah1yop5rai, 5u1uufcs8jlvvkzodpi5ykovd, 271x0k4dhjqn4h7ecmt44pzo5, 2054x8z63k74or3inr9sl0bu1, 23vdzclmewq139wius9oy3m51, do8svqsgqomasmzdwwsgg7qlm, 9lqozbr0ghw2fhep938p8snah, cc7jk41tn9qi5px4pb9l4bn8q, 5g8dr2qbefady0fa5wuwxvt3o, t8bq7sttljbcrrspxz5tnm5l, 579n2n7oiogy83epzcfrxtd5h, 8qjls72u1tvwuxas420p8ed5g, c7xfrcywzfkh6ysuhv3bk8fvu, dwyatw1wz3nrh1fcwu27ie8ve, 2p1887g4xd36ac2trpyf42wru, 113mck575esofosg0reheh7je",5704846171,59,"1, 2, 22, 4, 6, 5, 8, 96, 9, 10, 11, 3, 14, 17, 19, 20, 21, 23, 24, 99",5704846169,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5704846175,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5705041471,197,23592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810724063,1,34,16,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-05-04T22:13:36.948Z,2025-05-04T23:23:09Z,,,,5705041463,197,23854,5704857173,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5704857171,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5704857169,130,18,5704857167,59,"1, 2, 5, 3, 15, 33, 12, 18, 11, 9, 7, 4, 6, 10, 14, 22, 26, 35, 45, 48",5704857163,30,"6j38lv6xa3gnzzsn5x2i35rdh, 69j92vzo1swgodk0g9g2ksqqy, 777irocsl9y6fja05sevniy95, 3xd2kq7cxmvdbqsfzgi644c4q, 2w7w1l7lwhu2u6nhvqg1bnd2h, 4e47ixpbc8x9qzn7l3aeej0tl, 4jq1xl8ott88bxfdo4bjm47hl, ov91zkisppven9tp72gfbjf8, doseo9fbdr1a1srm0jhdqmr55, cclpvd1z3yyruciida1q3x4o9, 6g7v93m80xq6x38o9u3t8y3je, ei30dsbb51ri88sr7aku2t13p, bogxgfao7j28diagxffy0z9ey, cxnq0rc4u1efzt82nw3xgk355, cqhpjp9q1pl5gy4nfrpd7m3h0, 2j9i9ersvndkywcgqx9pzc9ka, 3apux7dih2628a7b7q0dt6bu2, 629pbkngxk7ucy0qt9mngvkd1, e0879u9ckqe6xv1h2j8bqto9g, 97rzxcaw3u0qqov2uci1m4ges",5704857165,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750437,2,32,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-05-04T23:07:35.810Z,2025-05-04T23:07:39Z,,,,5704993685,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750431,2,32,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-05-04T23:07:35.810Z,2025-05-04T23:07:36Z,,,,5704993663,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750449,3,1,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,50.4,49.6,2025-05-04T23:07:35.811Z,2025-05-05T00:01:32Z,do8svqsgqomasmzdwwsgg7qlm,C. Parano,,5704993743,212,15.8,5704993747,279,S,5704993739,140,35.4,5704993737,56,Back,5704993741,141,51.0,5704993745,213,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750459,4,1,1,0,2,7neuneh44n9rtsfsh6r0sb9no,0,35.4,51.0,2025-05-04T23:07:38.624Z,2025-05-05T00:01:40Z,271x0k4dhjqn4h7ecmt44pzo5,R. López,,5704993789,140,80.3,5704993787,56,Center,5704993793,212,50.8,5704993797,1,,5704993795,213,5.90,5704993791,141,23.3,5704993785,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750487,3,1,1,0,5,b5l2e3csycjb8twvq9ek0j5gq,1,26.8,58.8,2025-05-04T23:07:41.662Z,2025-05-04T23:07:43Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,5704993965,141,50.7,5704993961,56,Back,5704993959,3,,5704993967,212,14.5,5704993969,213,5.89,5704993963,140,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750495,4,44,1,0,7,b5l2e3csycjb8twvq9ek0j5gq,1,34.8,55.4,2025-05-04T23:07:43.468Z,2025-05-05T01:20:47Z,doseo9fbdr1a1srm0jhdqmr55,J. Sinisterra,,5704994103,233,5,5704993997,285,,5704993995,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750513,5,44,1,0,7,7neuneh44n9rtsfsh6r0sb9no,0,65.2,44.6,2025-05-04T23:07:43.469Z,2025-05-05T01:20:47Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,5704994093,56,Center,5704994095,286,,5704994113,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750509,5,1,1,0,7,b5l2e3csycjb8twvq9ek0j5gq,0,39.6,50.7,2025-05-04T23:07:43.700Z,2025-05-05T01:14:45Z,doseo9fbdr1a1srm0jhdqmr55,J. Sinisterra,,5704994069,213,6.11,5704994067,212,2.3,5704994063,140,41.8,5704994059,168,,5704994065,141,50.1,5704994061,56,Back,5704994057,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
