id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2809868233,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-05-03T22:35:20.244Z,2025-05-03T23:57:42Z,,,,,5700195473,130,7,5700195471,59,"1, 13, 11, 8, 3, 4, 21, 15, 9, 19, 7, 2, 6, 10, 25, 33, 43, 57",5700195479,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700195467,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, 5uv1a9rj5wot3wcgefjoxhkdm, dlhfyk6fgvqt3zrr5qfj7c6w9, 272w5ezobn1o53b3yxnbgjckq, 3yd4f60qwxrbs2rch6uobxqsp, ece6sffb02drwz4brwndn0rh0, 7xe0ov84ztwduks4x3utn05ck, dhi7890xe8zsmzhw2cad7sul1, 2rsduabh7r8i29f9i6znwbfu1, e6uww9a9ssp0n20ksoolesa8l, 7drelguz6c1htw10sq7zyxh0q, beq6yluq1raxsrvxo77qlrf56, b708ir5u7r34j9oemje8f8z1m, dglf4uhg5wnc68cg8ijovfmy1, 8t6b8q53ovws370a1b27s85jo, bxlh35ww96wgrsgfc8blou50p, 357vd87hv0jvljqtt2qf4vmz8, 2ig362xub2syd45v3usgymbkk",5700195475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5700392491,197,5891,5700195469,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5700195477,194,e6uww9a9ssp0n20ksoolesa8l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809868589,1,34,16,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-05-03T22:36:10.415Z,2025-05-04T02:28:11Z,,,,,5700197571,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700197567,130,2,5700896197,194,bpkzxcqtmvei7lqkqzuvzelsl,5700197561,30,"dp8j7znd4eavuoy3faqpamoa2, ch01b74i78nggnffi81875ld6, bpkzxcqtmvei7lqkqzuvzelsl, 5s5sc7zxuw8cr7vyzeofb8hnu, du5dg5x7as3ub1iemjuwdd6uh, 87rpg135z1k0ir74kdczwo2y1, 7ao58e6608lb8eu3dmk17jisp, dbjysa6qhf203jmpjedz8pgph, c08hvq1hplcct8kxrxucfpqp6, 6mrzod8fbjpv5s30eyypfyv2t, 4ua2bfowedufy5hilbxb3cul1, 56txiyhvsvhudyr1b21rznmjt, 8vcytrkvxzki08gxqpulol3hl, e13oeez12fwnzyf2qkizwflec, cbbip5xc4xfipnk6aal6cfywa, te1unnk7afru8djvu92vs00k, 5eptcbetmcxxwzhed6i5rl0r8, lp6scacgnnb3d9uxypl2cn4k, 3gzatxlefe9axcrqyllbtrzmc, 2wufroeor0e7k6hvatj1ltwfe",5700197563,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5700896199,197,22486,5700197565,59,"1, 7, 33, 17, 2, 3, 8, 14, 28, 9, 10, 4, 11, 18, 20, 21, 34, 36, 41, 27",5700197569,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2809897883,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-05-03T23:36:32.468Z,2025-05-03T23:51:34Z,,,,,5700357895,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809897893,2,32,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-05-03T23:36:32.468Z,2025-05-04T02:29:07Z,,,,,5700357923,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809897917,3,79,1,0,1,c9xffml4i7ihblp1qhus9w3fu,0,0.0,0.0,2025-05-03T23:36:34.038Z,2025-05-04T03:34:14Z,,,,,5700358043,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809903083,3,79,1,15,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-05-03T23:51:32.729Z,2025-05-04T02:18:57Z,,,,,5700387789,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809903285,4,4,1,15,0,5qfq6cwtrgzd2szijivns7rjl,1,44.2,77.5,2025-05-03T23:51:32.909Z,2025-05-04T02:13:47Z,4ua2bfowedufy5hilbxb3cul1,Leo Fernandes,,,5700540697,286,,5700540689,13,,5700895533,233,39,5700540695,265,,5700540691,56,Back,5700540693,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809905071,39,4,1,15,0,c9xffml4i7ihblp1qhus9w3fu,0,55.8,22.5,2025-05-03T23:51:32.910Z,2025-05-04T02:13:48Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5700398731,265,,5700398733,285,,5700398727,56,Center,5700398725,13,,5700895503,233,4,5700398729,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809930791,239,1,1,15,22,5qfq6cwtrgzd2szijivns7rjl,1,41.2,76.9,2025-05-03T23:51:54.468Z,2025-05-04T00:36:41Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5700542885,5,,5700542889,56,Back,5700542897,213,1.41,5700542887,152,,5700542895,212,7.0,5700542891,140,42.3,5700542893,141,87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809931091,240,1,1,15,23,5qfq6cwtrgzd2szijivns7rjl,1,41.8,81.2,2025-05-03T23:51:55.468Z,2025-05-04T00:36:41Z,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,,,5700544543,140,42.3,5700544541,56,Back,5700544545,141,69.9,5700544549,213,4.78,5700544547,212,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
