id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId
2823499191,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-06-20T22:10:12.162Z,2025-06-20T23:11:35Z,,,,,5775950555,130,8,5775952517,197,23268,5775950561,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5775950551,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5775950559,194,csx9pmpibyblftludnkd6j36x,5775950557,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5775950549,30,"1rknkp6cfxg6powoea2tttoiy, bezle40rjwnkdskjbf9yg4sq2, 2wj1w4opn7f0jyz1ps6ebvc6i, 1b9b97pxox77ia41cilqqm4iy, 6pqyqf9v6g60ci7jjggalqsq1, 16ndalf4kfr7e6rd9mwj7gfmc, cf36p7zpnrtxhebod6rtsmr1m, khvgxqohya7mawca1qx5q590, 5m3bxdstyhzoplpzam8c94t90, csx9pmpibyblftludnkd6j36x, 1xpjec3sk3ykvgcg67jkxtzo, rtercnq9nn7y0814ghe7wo2x, 7ryen5rxs6y6uk93saq7vyd7u, 97rumgrdtahzassy8weq13dyi, cc7auv8d89ohifqg7qwz62mwa, 2l6v8ab245wzmb1litvkir1ii, 2yflerah2shma2hzhm99msez9, 7oxivwr2b7bq70t35dgsjloiy",5775950553,59,"31, 12, 24, 8, 6, 5, 23, 3, 33, 11, 71, 14, 15, 16, 22, 27, 80, 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823499905,1,34,16,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-06-20T22:15:41.052Z,2025-06-21T02:11:53Z,,,,,5775954667,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5775965543,194,7i29w1zl3m6xdnurdll08jsvd,5775954675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5775954669,59,"1, 3, 33, 10, 4, 5, 11, 27, 21, 18, 20, 6, 7, 9, 13, 19, 32, 34",5775981471,197,23578,5775954673,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5775954671,130,7,5775954665,30,"duuhalibp64gdz6nub5ub0ovd, 2h53fzt0ubszmkuwfnez8n622, 39t59x9q2xumbn2hphk7urp7u, drbcpa8qvrgin42q3it10nieh, dv0qqd4mx117y4al165nsdic4, 7i29w1zl3m6xdnurdll08jsvd, dio84sg1k4gsedcpordxs69lg, 3ljxfq84ubqzlooixppmpfdd6, cnqxbvy77blk2ulx06t65it49, 3djjepgynp4qnhgvvqh9oa1ka, cfx7vo0kbjvcly2nf1b7papsk, 6oj55tf7cdnnnft350f9fyhnt, ody1ty0csq2lnatvjwdrrv11, b74yslq3huyhvwrhrebz0o3ys, bjm0d2f9er34ymm41sulmkout, bym89mq8vrfb8756rddemyzh0, ew3qxbn1ev1qv7wi0iwoc642c, 6lehq7bt5okf4y9lbxan577x1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823505145,2,32,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-06-20T23:08:26.119Z,2025-06-20T23:08:27Z,,,,,5775984251,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823505141,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-06-20T23:08:26.119Z,2025-06-20T23:08:26Z,,,,,5775984249,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823505151,3,1,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,50.0,50.0,2025-06-20T23:08:26.226Z,2025-06-21T00:10:03Z,3djjepgynp4qnhgvvqh9oa1ka,A. Rocha,,,5775984271,56,Back,5775984279,213,2.96,5775984277,212,19.6,5775984273,140,31.6,5775984275,141,55.1,5775984281,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823505167,4,1,1,0,2,ak0rmms5xl49w57i2rvid1tk9,0,33.4,52.2,2025-06-20T23:08:28.672Z,2025-06-20T23:08:31Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5775984383,213,5.73,5775984379,141,9.5,5775984375,56,Right,5775984377,140,78.2,5775984373,155,,5775984381,212,55.3,5775984385,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823505171,3,8,1,0,5,ck22dnk93ng8ax7wonlff7yms,1,25.5,88.0,2025-06-20T23:08:31.675Z,2025-06-20T23:08:37Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5775984387,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823505179,5,1,1,0,6,ak0rmms5xl49w57i2rvid1tk9,1,71.4,18.8,2025-06-20T23:08:33.022Z,2025-06-20T23:08:34Z,cnqxbvy77blk2ulx06t65it49,A. Fontana,,,5775984445,140,63.5,5775984447,141,10.9,5775984443,56,Right,5775984451,213,3.72,5775984449,212,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823505193,6,1,1,0,8,ak0rmms5xl49w57i2rvid1tk9,1,61.9,10.7,2025-06-20T23:08:34.559Z,2025-06-20T23:08:37Z,2h53fzt0ubszmkuwfnez8n622,A. Ward,,,5775984517,56,Back,5775984523,212,18.4,5775984525,213,2.94,5775984521,141,16.2,5775984519,140,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823505207,7,1,1,0,10,ak0rmms5xl49w57i2rvid1tk9,1,46.2,20.1,2025-06-20T23:08:36.983Z,2025-06-20T23:08:41Z,dv0qqd4mx117y4al165nsdic4,T. Clegg,,,5775984601,213,1.95,5775984595,140,36.4,5775984599,212,28.1,5775984593,56,Back,5775984597,141,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
