id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2793194895,1,34,16,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-03-29T22:18:04.328Z,2025-03-30T02:45:47Z,,,,,5608476563,197,23257,5608351955,194,ani26vxlo22iw1u9oexptml05,5608351945,30,"ect3pxkbjycux4simxmzp9jze, 94zkjopy373mgso15ljxmhd04, aur71sievd8d2fnrumu3xf6c, 14oq6mvlh5e51d9y20nbpok4p, ani26vxlo22iw1u9oexptml05, 98l6i78kwuwnt2sbcucssgjfu, dmbqkvvaray373vy9eiq4l1ck, 5tyrfuxsp7s9thsmhfqevuoyx, caoq1dpq6lz1btrd75s9xuz56, 1h85rt7bnqep3qovatft86pgq, f1gj1qng7x6nxfi8lbxa7tvpx, 5htuxrszecd448kld1yguwpas, 3s1a50dskuehneuuy9b1nxg4, eur2vbdzfmcxyfathakjghyqc, ecjt2cd0xn1qyeyboapqwxbvu, 5jigl7kp5d2i5ws1602jm7n1m, 21y2ogvprtdai47j36w9m22cq, 5t1wvh34lm993otbc3469uzxm, ax8t5jhq9kz6ff2sji3p90kr8, 22p6n3oird085u2kbkiqp4pg",5608351947,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5608351957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5608351949,59,"56, 91, 62, 4, 5, 16, 80, 6, 26, 10, 42, 1, 22, 23, 8, 19, 9, 36, 11, 17",5608351951,130,8,5608351953,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793199949,1,34,16,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-03-29T22:27:57.948Z,2025-03-30T02:24:10Z,,,,,5608380055,30,"ac5zpx8c09rtmidm654e67xsl, 411grh3cytippnnanb767qvsa, 5jo2bkbs00nbvcoik2i3nvuuh, 9tknltys66s9j8ljchwu5efv9, bjdoqj8tsm1wlxiqaavduwo9h, 6jdsh8ubirqphhurw5rr7kz8q, 7ejohb009byubwiqv36vag5jo, 1tsiml56f2xxym8h4tfjmho2c, 6u93ok0drr4byri2lu5g6rq0a, 8e6kj3506n4gum041dok8v1ex, 68lho3sxw1cm1acgk4phg9wtm, 4l0iztasx0cae3j4f15d8gd4a, 69wq859yz6wzirpbvpnt3n8bt, ecipfh5r0gqsf0skgvgpu8cbu, f21web74a70mly9i28jpa1yvp, 18g5ilv70mq7igiooy5yb8sno, 3cj2fww973bv21rfjlnu15yc4, 6a6bagymcckyt43w6b31irsvd, vg3ha8h2d35wgexer2i6ao0k, 25yiwywy8abvc42fz2h9p81ec",5608387399,197,18636,5608387397,194,9tknltys66s9j8ljchwu5efv9,5608380065,130,11,5608380059,59,"1, 14, 42, 5, 20, 27, 8, 15, 7, 44, 19, 10, 13, 16, 17, 24, 26, 55, 66, 71",5608380067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5608380057,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5608380071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220983,2,32,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-03-29T23:07:34.926Z,2025-03-29T23:07:38Z,,,,,5608496153,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220977,2,32,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-03-29T23:07:34.926Z,2025-03-29T23:07:35Z,,,,,5608496097,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221019,3,1,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,50.1,49.7,2025-03-29T23:07:34.927Z,2025-03-29T23:07:38Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5608496365,140,22.3,5608496367,141,59.0,5608496373,279,S,5608496371,213,2.93,5608496369,212,29.9,5608496363,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221065,4,1,1,0,2,e3k8yw2rbmphyfu5htn4yi5jk,1,22.3,59.0,2025-03-29T23:07:37.517Z,2025-03-29T23:07:41Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5608496567,141,84.8,5608496569,212,18.2,5608496571,213,1.30,5608496563,56,Back,5608496565,140,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221133,5,1,1,0,6,e3k8yw2rbmphyfu5htn4yi5jk,0,34.6,86.2,2025-03-29T23:07:41.109Z,2025-03-29T23:07:45Z,aur71sievd8d2fnrumu3xf6c,N. Dossantos,,,5608496935,140,92.2,5608496943,1,,5608496941,213,6.11,5608496937,141,70.8,5608496933,56,Center,5608496931,155,,5608496939,212,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221303,4,1,1,0,17,6597wqy6gmpv3zjx7rp8cdj46,1,10.3,60.0,2025-03-29T23:07:52.509Z,2025-03-29T23:07:57Z,ac5zpx8c09rtmidm654e67xsl,J. McGuire,,,5608497887,213,1.41,5608497879,56,Back,5608497885,212,7.9,5608497883,141,71.4,5608497877,123,,5608497881,140,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221347,5,1,1,0,22,6597wqy6gmpv3zjx7rp8cdj46,1,20.6,76.3,2025-03-29T23:07:57.564Z,2025-03-29T23:07:59Z,9tknltys66s9j8ljchwu5efv9,P. Craig,,,5608498093,56,Back,5608498099,212,21.9,5608498097,141,50.4,5608498095,140,8.2,5608498101,213,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221417,6,1,1,0,24,6597wqy6gmpv3zjx7rp8cdj46,1,8.2,54.2,2025-03-29T23:07:59.653Z,2025-03-29T23:08:03Z,ac5zpx8c09rtmidm654e67xsl,J. McGuire,,,5608498487,56,Back,5608498495,212,10.9,5608498497,213,4.90,5608498493,141,38.5,5608498491,140,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
