id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2818670623,1,34,16,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-05-25T01:16:18.213Z,2025-05-25T05:09:33Z,,,,,5748880797,130,13,5748880795,59,"1, 15, 13, 32, 5, 4, 17, 31, 25, 16, 7, 2, 8, 11, 24, 27, 70, 12",5748880801,194,42hi96pvzz8f69ixlcncn0549,5748880791,30,"a3k4grlhkn63p3xfb2rzslkdm, aomjkj5s52jkzgk3ljsz0osiy, 7f1q3d59u9n16v9xrskfxqsq1, 42hi96pvzz8f69ixlcncn0549, e2rv433ve4ytatjl94dcz1hm2, 9gvsswyf0gzxekrjdkpuqrh0p, d2ny0huv78m4m6p65y8eou7oq, 15jb2rb0mvhaz492ii7yqrk6h, 3hb6yji6u8ftefif91lfrbtre, achy1l1rfq2d4ftn6l1esht9m, cxscznjyygtsgbajv08q04sq2, cla0i94uyddjw7jzqoyfsplre, 1xb2wmuzlhgo6vt7f9yl2rnkk, bteydgv4om5ylyoznx9vesogl, 5rdtu4wmswu65eqjjw38uao0k, 486r7pszrdk085ot7cy2008dm, 56dgwb24qfzj4coisw4lj4duc, hglsr5ybsi6bsl178ge0c31m",5748989395,197,29734,5748880803,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5748880793,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5748880799,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818675025,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-05-25T01:23:04.783Z,2025-05-25T15:42:14Z,,,,,5748906691,59,"1, 22, 28, 5, 2, 4, 13, 7, 11, 20, 6, 8, 9, 12, 14, 15, 18, 31",5748906687,30,"isauuse3yqdwymvfne6ci385, f2nxaemhqi8kbtbejnqekgd4a, 1vnfc466lc01fdfhyvzt8fhii, b32tamno8dpk5te2oq7d9a6t, 1j010cibh247p8kjchww6ny3u, 2ozy3ijlcknjqk0omzwd58x2i, 6hdas9nshfgbjhj91y3ob8b11, ewibb8s7p2l6f5sekvkqu4a5m, 2m28wyud6xi78nt8e92p9keay, 6d45ccicyo6dregi9cm4ad4kq, 9x7teazvqgbnj3pnam6rf2xgp, a8ngovgs2qfu5udzb97kelg16, 7d326gljgym4qtmxvx5t5poq2, bnhjfu5p8tysruk7aep5dr1ex, b0zo05bu61v32nw35mriue0yy, 9ij293r1mbtygl6v3u2s43i3u, 8bwjj53jwbsi0emx370uka5g4, djz5cm1g7ouen2y4o7w35jbl6",5748906697,194,1j010cibh247p8kjchww6ny3u,5748906695,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5748906693,130,10,5748906699,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5748906689,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5748981203,197,29741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693103,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-05-25T02:07:44.077Z,2025-05-25T02:07:47Z,,,,,5748993119,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693099,2,32,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-05-25T02:07:44.077Z,2025-05-25T02:07:44Z,,,,,5748993109,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693111,3,1,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,50.0,50.0,2025-05-25T02:07:44.078Z,2025-05-25T02:07:48Z,achy1l1rfq2d4ftn6l1esht9m,A. Pérez,,,5748993161,212,14.4,5748993159,141,52.8,5748993165,279,S,5748993155,56,Back,5748993163,213,3.01,5748993157,140,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693147,4,1,1,0,3,83cpn99fh7ulkwe8nezy8a3mx,0,35.1,49.9,2025-05-25T02:07:47.166Z,2025-05-25T02:07:53Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5748993333,141,8.5,5748993339,1,,5748993329,56,Right,5748993337,213,5.55,5748993327,157,,5748993335,212,42.2,5748993331,140,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693125,3,44,1,0,4,kfq8fhwnmycbtad1u0fyefx0,1,33.0,86.5,2025-05-25T02:07:49.041Z,2025-05-25T04:15:16Z,1vnfc466lc01fdfhyvzt8fhii,S. Guediri,,,5748993237,285,,5748993235,56,Back,5748993403,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693151,5,44,1,0,4,83cpn99fh7ulkwe8nezy8a3mx,0,67.0,13.5,2025-05-25T02:07:49.042Z,2025-05-25T04:15:17Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5748993439,233,3,5748993355,286,,5748993349,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693139,4,1,1,0,5,kfq8fhwnmycbtad1u0fyefx0,0,30.0,80.0,2025-05-25T02:07:49.174Z,2025-05-25T02:10:11Z,1vnfc466lc01fdfhyvzt8fhii,S. Guediri,,,5748993291,3,,5748993293,56,Back,5748993301,213,0.78,5748993299,212,21.2,5748993297,141,100.0,5748993295,140,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693143,5,5,1,0,7,kfq8fhwnmycbtad1u0fyefx0,0,42.3,102.0,2025-05-25T02:07:51.565Z,2025-05-25T03:06:16Z,2ozy3ijlcknjqk0omzwd58x2i,A. Lara,,,5748994017,233,6,5748993309,56,Back,5748993311,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
