id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2790967319,1,34,16,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-03-22T22:09:19.873Z,2025-03-22T23:07:08Z,,,,,5596172971,30,"d38osra1p83cgtmrwqt6w60yy, 1x95h6xtnycmvpqu7vgu4vh79, 637c2iedo7modc3ekt36c2m7d, 9tispdm7tc3te31awsfcmd905, 97d0drjb3zqkh5ozfufg17nys, 54yx5xkqrktd2hp0sxjx6hm8l, 1lk61nwcvayf0ep21p31xcfzd, e93nozniig2wriw9doit6a4tl, 8delieh6jv1cgaukmgcwfjsic, 2co6fedrz8anjzy9ise76dplh, d50x000h9o6i8kd8aihie4lx, cv7nd9tnk6j2ixvnlibiip2vp, n6ubi9lw3fjau0xzvd09myqy, 2pka62t1zg04jwkcx6zbc4wlw, blts89a19itip4gjeagcwc1xx, 7ad4uvgwiwtjy23nt3yjsmctm, 5fhb206czgy2ul5j0tsqeo7ah, arxprecroj7kqwx1tmkhhfsdm",5596172981,194,9tispdm7tc3te31awsfcmd905,5596172983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596236251,197,22472,5596172973,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5596172977,130,8,5596172975,59,"98, 33, 16, 14, 3, 41, 27, 5, 19, 8, 99, 23, 2, 4, 6, 21, 22, 30",5596172979,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790968215,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-03-22T22:14:43.718Z,2025-03-23T00:02:58Z,,,,,5596177635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596177633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5596235571,197,23268,5596177627,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5596345885,194,2yflerah2shma2hzhm99msez9,5596177631,130,8,5596177629,59,"1, 6, 24, 3, 5, 14, 11, 80, 99, 28, 8, 13, 16, 22, 27, 31, 37, 72",5596177625,30,"4o2odluv4usimcdtryht04zjd, 6pqyqf9v6g60ci7jjggalqsq1, 2wj1w4opn7f0jyz1ps6ebvc6i, khvgxqohya7mawca1qx5q590, 16ndalf4kfr7e6rd9mwj7gfmc, rtercnq9nn7y0814ghe7wo2x, csx9pmpibyblftludnkd6j36x, 2yflerah2shma2hzhm99msez9, bvmqiuxeyjf68mz3jbm6i295h, abhcwxqh35hbgze01m4ihopyi, 1b9b97pxox77ia41cilqqm4iy, 5u1bw6y3l6w8co1ftvvxtly3t, 97rumgrdtahzassy8weq13dyi, cc7auv8d89ohifqg7qwz62mwa, 2l6v8ab245wzmb1litvkir1ii, 1rknkp6cfxg6powoea2tttoiy, 441plehxckmdj5gb2mr6y8ne2, chiwsyjdyk4sn4vxqu9mdr0x6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978705,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-03-22T23:06:20.455Z,2025-03-25T13:02:36Z,,,,,5596235895,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978711,2,32,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-03-22T23:06:20.455Z,2025-03-22T23:06:22Z,,,,,5596235909,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978713,3,1,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,50.0,50.0,2025-03-22T23:06:20.456Z,2025-03-22T23:08:10Z,abhcwxqh35hbgze01m4ihopyi,J. Beer,,,5596235915,140,26.4,5596235919,212,25.3,5596235913,56,Back,5596235917,141,42.5,5596235921,213,3.34,5596235923,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978717,4,1,1,0,3,ck22dnk93ng8ax7wonlff7yms,0,26.5,42.4,2025-03-22T23:06:24.119Z,2025-03-22T23:08:18Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5596235961,212,49.6,5596235957,140,71.9,5596235965,1,,5596235953,157,,5596235959,141,62.7,5596235963,213,0.28,5596235955,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978719,3,44,1,0,7,8cpjplodpphtkbt0hq8sr8mqs,1,29.7,37.5,2025-03-22T23:06:28.421Z,2025-03-23T01:05:51Z,97d0drjb3zqkh5ozfufg17nys,P. Hogan,,,5596235971,285,,5596235969,56,Back,5596237445,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978723,5,44,1,0,7,ck22dnk93ng8ax7wonlff7yms,0,70.3,62.5,2025-03-22T23:06:28.422Z,2025-03-23T01:05:51Z,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,,,5596235987,286,,5596235985,56,Center,5596237457,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978721,4,1,1,0,8,8cpjplodpphtkbt0hq8sr8mqs,0,32.2,38.0,2025-03-22T23:06:29.406Z,2025-03-22T23:11:21Z,97d0drjb3zqkh5ozfufg17nys,P. Hogan,,,5596235975,56,Back,5596235981,212,3.2,5596235979,141,38.9,5596235983,213,0.19,5596235973,3,,5596235977,140,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978727,6,1,1,0,9,ck22dnk93ng8ax7wonlff7yms,1,71.9,62.7,2025-03-22T23:06:29.969Z,2025-03-22T23:06:31Z,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,,,5596236005,141,53.0,5596236009,213,3.59,5596236001,56,Center,5596236003,140,58.7,5596236007,212,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
