id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/13/value
2791025077,1,34,16,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-03-23T01:01:38.066Z,2025-03-23T06:24:51Z,,,,,5596495115,130,8,5596495121,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596495117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596495113,59,"1, 5, 14, 12, 33, 15, 88, 6, 9, 10, 7, 2, 4, 11, 22, 25, 26, 45, 50, 60",5596826311,197,23259,5596495109,30,"6j38lv6xa3gnzzsn5x2i35rdh, 777irocsl9y6fja05sevniy95, cqhpjp9q1pl5gy4nfrpd7m3h0, 4jq1xl8ott88bxfdo4bjm47hl, 4e47ixpbc8x9qzn7l3aeej0tl, 2w7w1l7lwhu2u6nhvqg1bnd2h, 24r8fdf8ypk7ejch9t86zjwgk, bogxgfao7j28diagxffy0z9ey, cclpvd1z3yyruciida1q3x4o9, cxnq0rc4u1efzt82nw3xgk355, 6g7v93m80xq6x38o9u3t8y3je, 69j92vzo1swgodk0g9g2ksqqy, ei30dsbb51ri88sr7aku2t13p, doseo9fbdr1a1srm0jhdqmr55, 2j9i9ersvndkywcgqx9pzc9ka, evk0esdocrzt5zxqmv4ostdcl, 3apux7dih2628a7b7q0dt6bu2, e0879u9ckqe6xv1h2j8bqto9g, dcirx0bnhlf1ua9c3lltqpe96, aa8wxd6orgx3wa187n63htjpw",5596495111,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5596495119,194,cxnq0rc4u1efzt82nw3xgk355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791031135,1,34,16,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-03-23T01:16:26.663Z,2025-03-23T06:09:25Z,,,,,5596528787,130,8,5596528783,59,"1, 34, 94, 18, 21, 3, 9, 8, 11, 10, 7, 5, 13, 14, 17, 23, 55, 70",5596528793,194,ks7omik17xov44i4hhjrldyh,5596607385,197,25243,5596528795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596528777,30,"h4nbagq5dsdltn9x62oi0t05, 9623rc4ywvt5nvq15qknn9l3o, 61rlxmejof8zjv8uw3sk1l045, bzu3rjr0r2qmxluguyseq5sdl, 4o1ryjpzoxzpi3ex53cmayui1, ks7omik17xov44i4hhjrldyh, 2ug51dfg4oerpnbudnkw497je, bfdes5ft117ggu7ue5tnu5hm2, 4g4zufvyime7qp4ks4badls0k, zd582wgzhdcz8n6oipywt3vt, 4ceaxb019rb6flsigsqo80rca, 371fgwtxyfnnu6m4pmq7s55ud, 57h9hd13z846qsj0bqpdoegb8, 8gxutqok71ycyk3ojmudrqtck, 4695nvcz8lcrklltxvalcizmd, 5ynru0652guk8hl45ltxo0dwq, 1le9ot9v8ql9q57huwmu4vu38, 8pg5wiwxujx3hnir5wie9xgfe",5596528781,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5596528791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791044783,2,32,1,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-03-23T02:06:49.809Z,2025-03-23T02:06:53Z,,,,,5596606181,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791044781,2,32,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-03-23T02:06:49.809Z,2025-03-23T12:24:11Z,,,,,5596606173,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791044797,3,1,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,50.0,50.0,2025-03-23T02:06:49.810Z,2025-03-23T02:06:53Z,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,,,5596606283,212,22.5,5596606287,279,S,5596606281,141,52.6,5596606277,56,Back,5596606279,140,28.6,5596606285,213,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791044803,4,1,1,0,2,b5l2e3csycjb8twvq9ek0j5gq,0,27.8,56.5,2025-03-23T02:06:52.242Z,2025-03-23T02:06:55Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,,5596606309,141,80.5,5596606311,212,46.2,5596606315,1,,5596606307,140,69.0,5596606303,157,,5596606305,56,Left,5596606313,213,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791044805,3,1,1,0,6,87c66ubwpzykovmkaf1t46bis,0,21.3,6.8,2025-03-23T02:06:56.784Z,2025-03-23T03:11:39Z,9623rc4ywvt5nvq15qknn9l3o,J. Osorio,,,5596606319,3,,5596606325,141,4.1,5596606323,140,30.5,5596606329,213,6.10,5596606327,212,9.8,5596606321,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791044807,5,1,1,0,7,b5l2e3csycjb8twvq9ek0j5gq,0,63.4,86.9,2025-03-23T02:06:57.178Z,2025-03-23T12:24:41Z,cqhpjp9q1pl5gy4nfrpd7m3h0,J. Rasmussen,,,5596606345,213,5.42,5596606337,56,Center,5596606335,157,,5596606347,1,,5596606343,212,14.1,5596606339,140,72.1,5596606341,141,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791044821,4,1,1,0,9,87c66ubwpzykovmkaf1t46bis,1,26.8,25.8,2025-03-23T02:06:59.173Z,2025-03-23T12:24:44Z,bzu3rjr0r2qmxluguyseq5sdl,A. Soto,,,5596606409,141,24.6,5596606411,212,5.0,5596606407,140,31.5,5596606403,3,,5596606405,56,Back,5596606413,213,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791044823,5,1,1,0,12,87c66ubwpzykovmkaf1t46bis,0,35.0,24.8,2025-03-23T02:07:01.830Z,2025-03-23T12:25:11Z,bfdes5ft117ggu7ue5tnu5hm2,N. Hernandez,,,5596606429,1,,5596606423,141,44.8,5596606421,140,48.1,5596606427,213,0.78,5596606417,157,,5596606425,212,19.3,5596606419,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
