id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value
2809714295,1,34,16,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-05-03T19:14:28.259Z,2025-05-03T21:03:15Z,,,,5699357009,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5699357001,30,"h4nbagq5dsdltn9x62oi0t05, euesmrqkdyvekqtpk81ln7uqy, c481wk3de3opu190d8z99w8yy, ks7omik17xov44i4hhjrldyh, 9izvs4qd03gfmqukkk5csxxxw, 4o1ryjpzoxzpi3ex53cmayui1, 61rlxmejof8zjv8uw3sk1l045, bzu3rjr0r2qmxluguyseq5sdl, 4g4zufvyime7qp4ks4badls0k, bfdes5ft117ggu7ue5tnu5hm2, zd582wgzhdcz8n6oipywt3vt, 4ceaxb019rb6flsigsqo80rca, 2ug51dfg4oerpnbudnkw497je, 57h9hd13z846qsj0bqpdoegb8, 8gxutqok71ycyk3ojmudrqtck, 4695nvcz8lcrklltxvalcizmd, aigpzkjyja6ksrcl8dteylqs5, 8pg5wiwxujx3hnir5wie9xgfe",5699357003,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5699746925,194,ks7omik17xov44i4hhjrldyh,5699357011,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5699357007,130,11,5699357005,59,"1, 32, 4, 3, 6, 21, 94, 18, 11, 8, 10, 7, 9, 13, 14, 17, 22, 70",5699733051,197,15171,,,,,,,,,,,,,,,,,,,,,,,
2809736739,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-05-03T19:39:22.348Z,2025-05-03T22:54:58Z,,,,5699486209,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",5699486217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5699613311,197,23321,5699486215,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5699486211,59,"1, 14, 3, 77, 20, 5, 17, 12, 11, 21, 18, 8, 10, 13, 16, 19, 22",5699486207,30,"arrnspfznjcs9fmng4finp87p, bug5x187ehj0apzl11lrl3ip6, eg5pbxm7emj77mdcub4xp6m3u, 1diaoqi51gzx23j4d5f8xc8b8, 9txqixk3uycvort3ntzkva1g5, couplbg5c1wzrb14ycd8f7h0p, dltmx3e4llkcszs22cbfz92xg, 8pqvmz8g1yhe7hqqc1d68c4mi, 9ch7zgxlcjiio0xbo2hhl2yvo, 711t32tk6qwl567dngcldfw15, 4vdbw63j0s7npezknabq6p7xm, 2gsbai5bpg1fbullzvngv2l1w, 449e2muutlpvx9lhv1t2tcsmh, 3o4uxnvpnf3cwjs3srwegxp90, f0rcvbvmbh2gcjxw6jfy5fe5m, 9nkrr0mwqni0mehkgw6nk5gfe, a3l8f3a6rr93qyyaxhdfqq1yi",5699486213,130,8,5699517649,194,arrnspfznjcs9fmng4finp87p,,,,,,,,,,,,,,,,,,,,,,,
2809783925,2,32,1,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-05-03T20:30:50.410Z,2025-05-03T20:30:50Z,,,,5699739045,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809783937,3,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-05-03T20:30:50.410Z,2025-05-03T20:30:53Z,,,,5699739099,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809783947,4,1,1,0,0,daicfonrbj124lu2la2rctxck,1,50.0,50.0,2025-05-03T20:30:50.652Z,2025-05-03T20:30:54Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,5699739131,141,50.3,5699739127,56,Back,5699739133,212,25.1,5699739129,140,26.1,5699739137,279,S,5699739135,213,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809784007,5,1,1,0,3,daicfonrbj124lu2la2rctxck,0,26.1,50.3,2025-05-03T20:30:53.432Z,2025-05-03T20:30:57Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,5699739447,141,37.9,5699739445,140,77.5,5699739443,56,Center,5699739453,1,,5699739449,212,54.6,5699739441,157,,5699739451,213,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,
2809784111,3,1,1,0,7,87c66ubwpzykovmkaf1t46bis,0,29.2,53.5,2025-05-03T20:30:58.294Z,2025-05-03T20:31:04Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,5699740023,157,,5699740029,141,58.8,5699740035,1,,5699740033,213,0.08,5699740031,212,47.2,5699740025,56,Center,5699740027,140,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2809784173,6,1,1,0,14,daicfonrbj124lu2la2rctxck,1,38.1,26.3,2025-05-03T20:31:05.184Z,2025-05-03T20:31:08Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5699740367,140,12.2,5699740365,56,Back,5699740363,3,,5699740371,212,29.3,5699740369,141,42.4,5699740373,213,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809784459,9,1,1,0,31,daicfonrbj124lu2la2rctxck,1,27.3,42.2,2025-05-03T20:31:22.351Z,2025-05-03T20:31:27Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,5699741853,212,13.5,5699741849,140,26.7,5699741851,141,22.4,5699741855,213,4.67,5699741847,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809784469,10,1,1,0,36,daicfonrbj124lu2la2rctxck,1,28.3,25.3,2025-05-03T20:31:27.046Z,2025-05-03T20:31:29Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5699741899,140,22.5,5699741905,213,1.97,5699741903,212,15.7,5699741901,141,46.6,5699741897,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809784565,11,1,1,0,38,daicfonrbj124lu2la2rctxck,1,22.5,46.6,2025-05-03T20:31:28.951Z,2025-05-03T20:31:35Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,5699742353,56,Back,5699742361,213,1.22,5699742359,212,19.2,5699742355,140,28.7,5699742357,141,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809784611,12,1,1,0,44,daicfonrbj124lu2la2rctxck,1,28.7,70.4,2025-05-03T20:31:34.910Z,2025-05-03T20:31:38Z,couplbg5c1wzrb14ycd8f7h0p,G. Stoneman,,5699742553,212,22.7,5699742549,140,27.4,5699742551,141,37.1,5699742555,213,4.65,5699742547,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809784637,13,1,1,0,48,daicfonrbj124lu2la2rctxck,1,25.8,30.2,2025-05-03T20:31:38.782Z,2025-05-03T20:31:41Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5699742703,140,31.6,5699742709,213,5.09,5699742701,56,Back,5699742707,212,16.5,5699742705,141,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809784665,14,1,1,0,51,daicfonrbj124lu2la2rctxck,1,31.6,7.6,2025-05-03T20:31:41.710Z,2025-05-03T20:31:45Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,5699742869,212,12.5,5699742871,213,1.65,5699742863,56,Back,5699742867,141,25.9,5699742865,140,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809784717,15,1,1,0,54,daicfonrbj124lu2la2rctxck,1,30.4,28.4,2025-05-03T20:31:44.814Z,2025-05-03T20:31:49Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5699743133,56,Back,5699743141,213,1.54,5699743135,140,31.4,5699743137,141,75.2,5699743139,212,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809784811,16,1,1,0,58,daicfonrbj124lu2la2rctxck,1,31.1,75.6,2025-05-03T20:31:49.134Z,2025-05-03T20:31:55Z,couplbg5c1wzrb14ycd8f7h0p,G. Stoneman,,5699743563,212,8.7,5699743559,140,37.7,5699743561,141,67.8,5699743557,56,Back,5699743565,213,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809784823,17,1,1,1,4,daicfonrbj124lu2la2rctxck,1,38.0,67.8,2025-05-03T20:31:55.271Z,2025-05-03T21:26:28Z,1diaoqi51gzx23j4d5f8xc8b8,A. Shapiro-Thompson,,5699743611,140,25.6,5699743613,141,79.1,5699743609,56,Back,5699743615,212,15.1,5699743617,213,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
