id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/16/value
2800364923,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-04-13T01:22:49.994Z,2025-04-13T04:50:42Z,,,,,5647802915,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5647802925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647802919,130,2,5647802923,194,1j010cibh247p8kjchww6ny3u,5647802921,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5647802913,30,"isauuse3yqdwymvfne6ci385, 9ij293r1mbtygl6v3u2s43i3u, f2nxaemhqi8kbtbejnqekgd4a, a8ngovgs2qfu5udzb97kelg16, 1j010cibh247p8kjchww6ny3u, b32tamno8dpk5te2oq7d9a6t, ewibb8s7p2l6f5sekvkqu4a5m, 9x7teazvqgbnj3pnam6rf2xgp, 6d45ccicyo6dregi9cm4ad4kq, 5gc4aouty93b7kbin9cpgrdre, djz5cm1g7ouen2y4o7w35jbl6, 19addig7dyotjybbwgbjkft2h, 6hdas9nshfgbjhj91y3ob8b11, b0zo05bu61v32nw35mriue0yy, 8bwjj53jwbsi0emx370uka5g4, 2ozy3ijlcknjqk0omzwd58x2i, d2yqubc3u7bjj96yqawjojod0, 2m28wyud6xi78nt8e92p9keay",5647922553,197,28468,5647802917,59,"1, 15, 22, 8, 2, 5, 7, 6, 20, 21, 31, 17, 13, 14, 18, 4, 88, 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800365367,1,34,16,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-04-13T01:23:24.941Z,2025-04-13T04:46:54Z,,,,,5647805515,59,"24, 14, 6, 22, 23, 5, 17, 21, 77, 11, 20, 1, 2, 13, 3, 80, 10, 7",5647922309,197,3377,5647805521,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648166489,194,7i29w1zl3m6xdnurdll08jsvd,5647805513,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5647805511,30,"8m19c2e0raanzp3dzf7aaf6jt, b9lt0sfts2zxf2ali8vpf0pn9, 6oj55tf7cdnnnft350f9fyhnt, 6eqvj5hboqw5c21ofhsgo4p9l, dqekbs06e79n3vapj437pwyc, 7i29w1zl3m6xdnurdll08jsvd, rtca480n5ehey5ffvt8nudck, cnqxbvy77blk2ulx06t65it49, 4ccmn07kk0thmg6apfxgivmc5, dio84sg1k4gsedcpordxs69lg, cfx7vo0kbjvcly2nf1b7papsk, duuhalibp64gdz6nub5ub0ovd, 6o5jqx64vum71hh2olnrb4178, bjm0d2f9er34ymm41sulmkout, 2h53fzt0ubszmkuwfnez8n622, caeg1a6mrwrgknibgyjq66jh0, drbcpa8qvrgin42q3it10nieh, ody1ty0csq2lnatvjwdrrv11",5647805519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5647805517,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386451,2,32,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-04-13T02:06:43.670Z,2025-04-13T02:06:46Z,,,,,5647924533,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386431,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-04-13T02:06:43.670Z,2025-04-13T02:06:44Z,,,,,5647924459,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386477,3,1,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,50.0,50.0,2025-04-13T02:06:43.671Z,2025-04-13T02:08:28Z,cnqxbvy77blk2ulx06t65it49,A. Fontana,,,5647924673,140,32.1,5647924681,279,S,5647924679,213,2.88,5647924671,56,Back,5647924677,212,19.5,5647924675,141,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386497,4,1,1,0,5,ak0rmms5xl49w57i2rvid1tk9,1,32.1,57.5,2025-04-13T02:06:49.484Z,2025-04-13T02:06:52Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5647924795,56,Back,5647924803,213,4.79,5647924799,141,23.0,5647924797,140,33.8,5647924801,212,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386541,5,1,1,0,8,ak0rmms5xl49w57i2rvid1tk9,1,35.2,21.6,2025-04-13T02:06:52.236Z,2025-04-13T02:06:58Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5647925023,140,71.7,5647925027,212,40.4,5647925021,56,Right,5647925031,1,,5647925029,213,5.96,5647925025,141,2.6,5647925019,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386549,6,61,1,0,14,ak0rmms5xl49w57i2rvid1tk9,0,76.4,1.7000000000000002,2025-04-13T02:06:58.156Z,2025-04-13T02:06:58Z,4ccmn07kk0thmg6apfxgivmc5,J. Dhillon,,,5647925073,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386577,3,5,1,0,16,kfq8fhwnmycbtad1u0fyefx0,1,20.9,101.5,2025-04-13T02:07:00.164Z,2025-04-13T05:16:02Z,6d45ccicyo6dregi9cm4ad4kq,I. Paul,,,5647925215,56,Back,5647925243,233,7,5647925217,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386563,7,5,1,0,16,ak0rmms5xl49w57i2rvid1tk9,0,79.1,-1.5,2025-04-13T02:07:00.164Z,2025-04-13T05:16:02Z,4ccmn07kk0thmg6apfxgivmc5,J. Dhillon,,,5647925157,56,Right,5647925159,347,,5647925275,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
