id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/13/value
2815504511,1,34,16,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-05-16T23:49:05.335Z,2025-05-17T04:50:14Z,,,,,5731423797,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5731423809,194,9tispdm7tc3te31awsfcmd905,5731423807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5731527161,197,22472,5731423805,130,10,5731423811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5731423795,30,"d38osra1p83cgtmrwqt6w60yy, n6ubi9lw3fjau0xzvd09myqy, 637c2iedo7modc3ekt36c2m7d, 54yx5xkqrktd2hp0sxjx6hm8l, 97d0drjb3zqkh5ozfufg17nys, arxprecroj7kqwx1tmkhhfsdm, 2co6fedrz8anjzy9ise76dplh, e93nozniig2wriw9doit6a4tl, 5fhb206czgy2ul5j0tsqeo7ah, d50x000h9o6i8kd8aihie4lx, 9tispdm7tc3te31awsfcmd905, blts89a19itip4gjeagcwc1xx, a2bwi8risp0a9q88cno5wlihh, 1nl79aq9il743hgoaijmupmmt, 8delieh6jv1cgaukmgcwfjsic, cv7nd9tnk6j2ixvnlibiip2vp, 1lk61nwcvayf0ep21p31xcfzd, 1x95h6xtnycmvpqu7vgu4vh79",5731423801,59,"98, 2, 16, 41, 3, 30, 8, 5, 22, 99, 14, 6, 9, 18, 19, 23, 27, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,
2815506797,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-16T23:57:31.555Z,2025-05-17T01:11:35Z,,,,,5731434983,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5731528133,194,8gy9wgqywaqi9uy6i31i0q21h,5731434989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5731434987,130,4,5731434985,59,"23, 24, 12, 8, 25, 3, 6, 16, 14, 13, 10, 1, 5, 9, 11, 18, 20, 30, 66",5731434991,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5731528135,197,29712,5731434981,30,"8y556fvv7asmfouaica4nbai1, 1jhs3g95t0ah1hx3fwlo14kmi, 7vs1eqm82fwwuhwfqodb3dyw9, 7ajceczjsu9ci4nqv9gg2860a, 8gy9wgqywaqi9uy6i31i0q21h, 2mxaagzu9rb92z9880yjllbzd, 7ctc1xui7wk89o5v00z8ijqw9, 6fgxgq77v66va16tcuqvyn6x, cqmvrx028gh19yh8qh7w01y0a, 3lndo247f4br8t6xxdvlij4a2, 2mgcta30puk8kuwb5mo4zvcnp, cuw4kvdf0bazq87mh3dwv71ii, 2dbik29e0m9bil2ofn2yhrget, 9qjkqhlworzz3lk1o6nc191ih, 9lucpehmfe4z2vdlica1kc9d6, 7ll9dqayz9698v71x2pvgrspg, cywd7q1m77lwe5q2dof7rvf9w, c4g35kho1qirnu4q420knnl9m, 5a6sqqiyle6aj7zh8ozwikqok",,,,,,,,,,,,,,,,,,,,,,,,,,,
2815525195,2,32,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-05-17T01:06:30.141Z,2025-05-17T01:06:33Z,,,,,5731535435,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815525191,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-17T01:06:30.141Z,2025-05-17T01:06:30Z,,,,,5731535423,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815525207,3,1,1,0,0,5h878vnmkbuy2ummddprusxgq,1,50.0,50.0,2025-05-17T01:06:30.142Z,2025-05-17T01:06:34Z,3lndo247f4br8t6xxdvlij4a2,W. Cabrera,,,5731535515,279,S,5731535505,56,Back,5731535511,212,24.3,5731535513,213,3.14,5731535507,140,26.9,5731535509,141,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815530873,165,43,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-05-17T01:06:30.195Z,2025-05-17T03:39:28Z,5fhb206czgy2ul5j0tsqeo7ah,E. Amoh,,,5731566331,286,0,5731644371,144,44,5731566329,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815525221,4,1,1,0,4,5h878vnmkbuy2ummddprusxgq,0,26.9,49.9,2025-05-17T01:06:34.151Z,2025-05-17T01:06:38Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5731535591,212,60.7,5731535585,56,Left,5731535595,1,,5731535583,155,,5731535589,141,91.2,5731535587,140,78.1,5731535593,213,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815525225,5,43,1,0,7,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-17T01:06:37.257Z,2025-05-17T01:06:48Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5731535899,144,44,5731535603,56,Left,5731535605,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815525237,3,4,1,0,10,8cpjplodpphtkbt0hq8sr8mqs,1,25.9,8.5,2025-05-17T01:06:40.616Z,2025-05-17T03:39:36Z,n6ubi9lw3fjau0xzvd09myqy,J. O'Brien,,,5731535871,233,6,5731535743,56,Back,5731535745,152,,5731535739,13,,5731535747,285,,5731535741,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815525249,6,4,1,0,10,5h878vnmkbuy2ummddprusxgq,0,74.1,91.5,2025-05-17T01:06:40.617Z,2025-05-17T03:39:37Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5731535891,233,3,5731535841,152,,5731535837,294,,5731535839,56,Left,5731535835,13,,5731535843,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
