id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/16/value
2818552361,1,34,16,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-05-24T22:11:54.085Z,2025-05-25T02:15:19Z,,,,,5748236907,130,10,5748236901,30,"3gzatxlefe9axcrqyllbtrzmc, 4ua2bfowedufy5hilbxb3cul1, 8vcytrkvxzki08gxqpulol3hl, bpkzxcqtmvei7lqkqzuvzelsl, 87rpg135z1k0ir74kdczwo2y1, du5dg5x7as3ub1iemjuwdd6uh, dbjysa6qhf203jmpjedz8pgph, 5s5sc7zxuw8cr7vyzeofb8hnu, c08hvq1hplcct8kxrxucfpqp6, 6mrzod8fbjpv5s30eyypfyv2t, 7ao58e6608lb8eu3dmk17jisp, dp8j7znd4eavuoy3faqpamoa2, 56txiyhvsvhudyr1b21rznmjt, e13oeez12fwnzyf2qkizwflec, cbbip5xc4xfipnk6aal6cfywa, te1unnk7afru8djvu92vs00k, 374euncv00zs2oy6ux1u519be, 5eptcbetmcxxwzhed6i5rl0r8, lp6scacgnnb3d9uxypl2cn4k",5748236905,59,"41, 10, 11, 33, 3, 2, 14, 17, 28, 9, 8, 1, 4, 18, 20, 21, 26, 34, 36",5748236909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5748382797,197,22486,5748382795,194,bpkzxcqtmvei7lqkqzuvzelsl,5748236903,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5748236911,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818558979,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-05-24T22:24:10.747Z,2025-05-25T01:48:15Z,,,,,5748277491,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5748277495,130,8,5748966791,194,khvgxqohya7mawca1qx5q590,5748277497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5748277487,30,"4o2odluv4usimcdtryht04zjd, cc7auv8d89ohifqg7qwz62mwa, 2wj1w4opn7f0jyz1ps6ebvc6i, 1b9b97pxox77ia41cilqqm4iy, 6pqyqf9v6g60ci7jjggalqsq1, 16ndalf4kfr7e6rd9mwj7gfmc, cf36p7zpnrtxhebod6rtsmr1m, khvgxqohya7mawca1qx5q590, 5m3bxdstyhzoplpzam8c94t90, csx9pmpibyblftludnkd6j36x, 1xpjec3sk3ykvgcg67jkxtzo, 97rumgrdtahzassy8weq13dyi, 2l6v8ab245wzmb1litvkir1ii, 1rknkp6cfxg6powoea2tttoiy, 441plehxckmdj5gb2mr6y8ne2, 2yflerah2shma2hzhm99msez9, 7oxivwr2b7bq70t35dgsjloiy, bvmqiuxeyjf68mz3jbm6i295h",5748277493,59,"1, 22, 24, 8, 6, 5, 23, 3, 33, 11, 71, 16, 27, 31, 37, 80, 83, 99",5748373663,197,23268,5748277499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579791,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-05-24T23:07:20.380Z,2025-05-24T23:07:21Z,,,,,5748384085,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579801,2,32,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-05-24T23:07:20.380Z,2025-05-24T23:07:24Z,,,,,5748384133,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579811,3,1,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,50.2,50.1,2025-05-24T23:07:21.075Z,2025-05-24T23:07:24Z,5s5sc7zxuw8cr7vyzeofb8hnu,D. Crisostomo,,,5748384179,141,59.7,5748384185,279,S,5748384181,212,23.7,5748384177,140,28.5,5748384183,213,2.86,5748384175,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579863,4,1,1,0,4,5qfq6cwtrgzd2szijivns7rjl,1,28.5,59.9,2025-05-24T23:07:24.407Z,2025-05-24T23:07:27Z,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,,,5748384475,56,Back,5748384483,213,4.52,5748384477,140,24.0,5748384479,141,23.6,5748384481,212,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579869,5,1,1,0,6,5qfq6cwtrgzd2szijivns7rjl,0,23.8,23.9,2025-05-24T23:07:26.935Z,2025-05-24T23:07:27Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5748384535,56,Center,5748384543,213,0.04,5748384537,140,65.6,5748384533,155,,5748384545,1,,5748384539,141,26.2,5748384541,212,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579881,3,1,1,0,8,ck22dnk93ng8ax7wonlff7yms,0,28.9,76.7,2025-05-24T23:07:29.165Z,2025-05-24T23:53:04Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,,5748384615,140,44.6,5748384611,3,,5748384617,141,64.9,5748384613,56,Back,5748384621,213,5.83,5748384619,212,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579923,6,1,1,0,11,5qfq6cwtrgzd2szijivns7rjl,0,10.5,36.9,2025-05-24T23:07:31.800Z,2025-05-24T23:09:13Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5748384847,212,20.5,5748384845,141,48.1,5748384851,1,,5748384841,56,Back,5748384839,157,,5748384849,213,0.38,5748384843,140,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579935,4,44,1,0,12,ck22dnk93ng8ax7wonlff7yms,1,55.6,48.7,2025-05-24T23:07:33.078Z,2025-05-25T02:03:11Z,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,5748384973,233,7,5748384877,56,Center,5748384977,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
