id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2785791469,1,34,16,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-03-09T00:30:27.783Z,2025-03-09T01:46:46Z,,,,,5567773343,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5567773351,194,87n7hmq7f1q1avazbmwmcg222,5567773345,59,"23, 3, 6, 12, 5, 24, 7, 4, 10, 14, 11, 30, 8, 13, 20, 35, 99, 15",5567773335,30,"7lmf6beyvhncglhw9avm40qju, 59kky4fyi0w9bdz4ow3gs95yi, 7ehcrcdv82ib5fkpo3498gpgp, 87n7hmq7f1q1avazbmwmcg222, dek9c2ef9ahynvfrk60d9tm5m, b6t0f1g03ixymivs4fbaiewic, 6j5qn2b7t0165vl1t26v001zo, db1h2huu8z1quj816wol1wgkp, 21vmi7qtrujzez3ziux0wa4et, ekzwxb68vg0w7o14zcq8n4vs9, agl19e1fx5123lk28avksxb3e, f0wprovraucxrx9wwd5au2pzo, e2olfsduxvaqsx6rdbaasa356, 2cu5uohq2rwhe2hy3y72zhc2y, 3y5650rx37d3hnh3sxzhaz7xl, 1l1r86a2u6fheng6y1j169q1g, da2xipmbg3v2jwwe6twcs1fu2, 8xte0mzawblk2ufasxalijk2y",5567773349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5567872161,197,23254,5567773347,130,2,5567773353,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794083,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-09T00:36:21.264Z,2025-03-09T01:06:10Z,,,,,5567787701,194,dlcxvrsqhiz8ce0nqnh6h6dw5,5567787681,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, 5uv1a9rj5wot3wcgefjoxhkdm, bxlh35ww96wgrsgfc8blou50p, 8t6b8q53ovws370a1b27s85jo, 3yd4f60qwxrbs2rch6uobxqsp, ece6sffb02drwz4brwndn0rh0, 272w5ezobn1o53b3yxnbgjckq, dlhfyk6fgvqt3zrr5qfj7c6w9, 2rsduabh7r8i29f9i6znwbfu1, dglf4uhg5wnc68cg8ijovfmy1, 7drelguz6c1htw10sq7zyxh0q, 8sl4nqao4w38gwi1t3qrxu5lh, 2ig362xub2syd45v3usgymbkk, beq6yluq1raxsrvxo77qlrf56, 8lk5ve59333boqzpcmd0yidck, 357vd87hv0jvljqtt2qf4vmz8, 5iuzoq7alcxdn37rp7lvqyexg, 86fbk8r7wsy14weicjdxj76z8, 18wgo4h0t9f3tbt8iq0tmkl7u",5567887721,197,5891,5567787697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5567787693,130,4,5567787685,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5567787689,59,"1, 13, 33, 25, 3, 4, 8, 11, 9, 10, 7, 18, 57, 2, 5, 43, 32, 47, 22",5567787703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814043,2,32,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-03-09T01:08:00.664Z,2025-03-09T01:08:04Z,,,,,5567892865,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814025,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-09T01:08:00.664Z,2025-03-09T01:08:00Z,,,,,5567892785,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814085,3,1,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,49.9,50.3,2025-03-09T01:08:00.665Z,2025-03-09T01:08:05Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5567893067,56,Back,5567893075,213,2.95,5567893071,141,57.6,5567893077,279,S,5567893069,140,25.5,5567893073,212,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814095,4,1,1,0,3,c9xffml4i7ihblp1qhus9w3fu,1,25.5,57.6,2025-03-09T01:08:04.425Z,2025-03-09T01:21:06Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5567893147,212,46.4,5567893141,56,Center,5567893143,140,63.3,5567893139,157,,5567893149,213,5.74,5567893151,1,,5567893145,141,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814113,5,1,1,0,6,c9xffml4i7ihblp1qhus9w3fu,1,63.1,21.3,2025-03-09T01:08:07.128Z,2025-03-09T01:08:08Z,dglf4uhg5wnc68cg8ijovfmy1,T. Preston,,,5567893215,140,47.3,5567893223,213,3.48,5567893219,212,17.6,5567893217,141,12.8,5567893213,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814143,6,1,1,0,7,c9xffml4i7ihblp1qhus9w3fu,1,47.3,12.8,2025-03-09T01:08:08.384Z,2025-03-09T01:08:11Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5567893409,212,8.9,5567893405,140,49.3,5567893403,56,Back,5567893411,213,1.33,5567893407,141,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814199,7,1,1,0,10,c9xffml4i7ihblp1qhus9w3fu,1,41.4,27.1,2025-03-09T01:08:11.064Z,2025-03-09T01:08:18Z,8t6b8q53ovws370a1b27s85jo,Roman Torres,,,5567893691,141,46.1,5567893687,56,Back,5567893689,140,14.9,5567893693,212,30.7,5567893695,213,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814233,8,1,1,0,17,c9xffml4i7ihblp1qhus9w3fu,0,15.0,46.3,2025-03-09T01:08:18.096Z,2025-03-09T01:08:20Z,dlcxvrsqhiz8ce0nqnh6h6dw5,M. Van Oekel,,,5567893829,56,Left,5567893831,140,67.4,5567893835,212,63.1,5567893839,1,,5567893837,213,0.51,5567893827,155,,5567893833,141,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785825237,174,44,1,0,19,5x54jbfk11lrsmipgsx7cdbai,1,35.9,17.2,2025-03-09T01:08:19.813Z,2025-03-09T03:32:45Z,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,5567958923,56,Back,5567959541,233,113,5567958931,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785825337,113,44,1,0,19,c9xffml4i7ihblp1qhus9w3fu,0,64.1,82.8,2025-03-09T01:08:19.814Z,2025-03-09T03:32:46Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5567959563,233,174,5567959495,286,,5567959493,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814245,3,1,1,0,19,5x54jbfk11lrsmipgsx7cdbai,0,30.6,10.9,2025-03-09T01:08:20.558Z,2025-03-09T01:08:21Z,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,5567893897,213,6.06,5567893891,140,48.0,5567893887,3,,5567893889,56,Back,5567893893,141,4.9,5567893895,212,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785826223,128,1,1,0,20,c9xffml4i7ihblp1qhus9w3fu,1,46.6,86.1,2025-03-09T01:08:21.372Z,2025-03-09T01:26:51Z,7drelguz6c1htw10sq7zyxh0q,D. Trejo,,,5567963567,212,13.1,5567963561,56,Left,5567963563,140,58.5,5567963559,3,,5567963569,213,5.99,5567963565,141,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814325,10,44,1,0,22,c9xffml4i7ihblp1qhus9w3fu,1,62.9,86.4,2025-03-09T01:08:23.277Z,2025-03-09T01:23:50Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5567894303,56,Left,5567894385,233,4,5567894305,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814291,4,44,1,0,22,5x54jbfk11lrsmipgsx7cdbai,0,37.1,13.6,2025-03-09T01:08:23.278Z,2025-03-09T01:08:26Z,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,5567894101,56,Back,5567894103,285,,5567894407,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814311,9,1,1,0,22,c9xffml4i7ihblp1qhus9w3fu,1,55.9,93.9,2025-03-09T01:08:23.424Z,2025-03-09T01:08:25Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5567894217,141,86.5,5567894211,3,,5567894221,213,5.68,5567894213,56,Left,5567894219,212,8.9,5567894215,140,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814307,5,43,1,0,23,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-03-09T01:08:24.590Z,2025-03-09T03:28:22Z,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,5567894171,56,Back,5568345273,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785814333,11,1,1,0,24,c9xffml4i7ihblp1qhus9w3fu,1,92.2,95.1,2025-03-09T01:08:25.200Z,2025-03-09T01:28:37Z,7drelguz6c1htw10sq7zyxh0q,D. Trejo,,,5567894345,212,19.8,5567894339,140,73.5,5567894337,56,Left,5567894347,213,3.27,5567894341,141,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
