id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2822652227,1,34,16,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-06-14T22:46:11.718Z,2025-06-15T01:50:38Z,,,,,5771181529,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771181525,59,"28, 2, 3, 5, 13, 21, 18, 8, 9, 11, 22, 4, 7, 16, 17, 26, 30, 31, 34, 77",5771181527,130,8,5771181521,30,"9q3w4j10qfsq94svbmyxa879x, 96qlwmkrab9h7xt93jzgl384p, cvi9u3v3krlkbvwcwjqztzvca, cyignmjprj3whvban361mclm2, eqopj1p3a2ehzpwlj90laswoa, d539xjkdwt1i77f0czbvo8ull, eqge8se9qvv9oqyivp267l016, fm9i7pzwi2diu6i18kycmx1x, am7umg00yxt40mndzo6e0u3o4, 864l8bcr288r74g3tmt1eqfe2, c14ntw6zvozswy685dztldl1x, 1460tac94fhhy43lmohs4fj3e, bolmgcfvbdizfyh6n9oz4xjsa, bbic10tw6eaf7rgpogt37rgtl, aqb7f88ta15ve8izh5zy9paz9, bzs1s1yntau3dvzyvn6t7t785, 1xkff6cxd8zycnd3n3odmvai1, amy6q1u6b1rvlsudoc73mj2ms, 9w4hxsqx1uixdvlo4lp47gums, c7o32tpxgb4n83i6fe93b8ez9",5771652327,194,d539xjkdwt1i77f0czbvo8ull,5771652329,197,29738,5771181531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771181523,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,
2822652497,1,34,16,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-06-14T22:46:56.134Z,2025-06-15T02:56:52Z,,,,,5771183029,30,"3gzatxlefe9axcrqyllbtrzmc, lp6scacgnnb3d9uxypl2cn4k, 8vcytrkvxzki08gxqpulol3hl, bpkzxcqtmvei7lqkqzuvzelsl, 2wufroeor0e7k6hvatj1ltwfe, du5dg5x7as3ub1iemjuwdd6uh, 7ao58e6608lb8eu3dmk17jisp, 56txiyhvsvhudyr1b21rznmjt, c08hvq1hplcct8kxrxucfpqp6, dbjysa6qhf203jmpjedz8pgph, 1m1s5p5j607baa6lany39txxw, dp8j7znd4eavuoy3faqpamoa2, 87rpg135z1k0ir74kdczwo2y1, 6mrzod8fbjpv5s30eyypfyv2t, 5s5sc7zxuw8cr7vyzeofb8hnu, cbbip5xc4xfipnk6aal6cfywa, te1unnk7afru8djvu92vs00k, 374euncv00zs2oy6ux1u519be, 5eptcbetmcxxwzhed6i5rl0r8",5771260165,197,30135,5771183431,194,bpkzxcqtmvei7lqkqzuvzelsl,5771183033,59,"41, 36, 11, 33, 27, 2, 8, 4, 28, 14, 47, 1, 3, 9, 17, 20, 21, 26, 34",5771183039,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771183035,130,11,5771183037,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5771183031,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,
2822667531,2,32,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-06-14T23:37:31.815Z,2025-06-14T23:37:32Z,,,,,5771265009,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667529,2,32,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-06-14T23:37:31.815Z,2025-06-14T23:37:31Z,,,,,5771264997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667583,3,1,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,50.2,49.3,2025-06-14T23:37:31.816Z,2025-06-14T23:37:37Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5771265295,56,Back,5771265303,213,3.13,5771265301,212,26.6,5771265299,141,49.6,5771265297,140,24.9,5771265305,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667589,4,1,1,0,5,5qfq6cwtrgzd2szijivns7rjl,0,27.2,48.2,2025-06-14T23:37:37.255Z,2025-06-14T23:37:38Z,2wufroeor0e7k6hvatj1ltwfe,L. Wyke,,,5771265333,157,,5771265343,213,6.18,5771265345,1,,5771265337,140,73.7,5771265339,141,41.0,5771265341,212,49.1,5771265335,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667591,3,12,1,0,6,bu5w8wprynlj9mvphvy8sd94f,1,20.3,24.4,2025-06-14T23:37:38.512Z,2025-06-14T23:37:45Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5771265353,140,32.0,5771265369,15,,5771265355,141,5.2,5771265359,213,5.47,5771265351,56,Back,5771265357,212,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667639,5,1,1,0,11,5qfq6cwtrgzd2szijivns7rjl,1,65.7,81.7,2025-06-14T23:37:42.959Z,2025-06-14T23:37:54Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5771265619,56,Center,5771265623,141,67.2,5771265625,212,14.8,5771265621,140,76.2,5771265627,213,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667673,6,1,1,0,12,5qfq6cwtrgzd2szijivns7rjl,0,78.4,79.1,2025-06-14T23:37:43.888Z,2025-06-14T23:42:43Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5771277377,156,,5771265765,212,6.2,5771265767,213,2.77,5771265759,56,Left,5771265763,141,82.4,5771265761,140,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822667675,5,1,1,0,14,bu5w8wprynlj9mvphvy8sd94f,0,27.6,15.9,2025-06-14T23:37:46.679Z,2025-06-14T23:37:48Z,eqge8se9qvv9oqyivp267l016,T. Zárate,,,5771265775,212,15.3,5771265773,141,38.0,5771265771,140,24.9,5771265777,213,1.76,5771265769,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
