id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2788866217,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-03-16T00:05:48.440Z,2025-03-16T05:34:48Z,,,,,5584856711,197,24964,5584628737,59,"1, 2, 3, 6, 4, 5, 8, 10, 91, 29, 19, 13, 17, 14, 15, 9, 44, 70, 34",5584628739,130,7,5584628735,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5584628741,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5584628743,194,8pwslovfo5ostdhvpx53cxclw,5584628745,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584628731,30,"7y56spdjsagw833hgo5ranvf9, 9xjixcn3jhf7m75dl49u0qe7e, e076q290ab1o6qz9vthl2c0a2, 74rnjizxzn5a0oag6sue0ja7e, 8pwslovfo5ostdhvpx53cxclw, 2p7o7pd4vfw3mvp5o8euss6xg, 6ahu72g0u39bxbjiz7ggefai1, 74bhj4xi5zgq6evsr4c766p04, 4x3md4d2zvyvxlhtqp0ocvmqx, 6naqq6f6acfec3zh2msuxrmqd, 2lpjr3oys0s0u2pnhut8epqwa, cdaayu6d9xzn4gyn5jg5p6vl6, 39jhew6iao7uriko5shx2tnje, 7lzda1yh1eixs7rqn46y1ulpm, cxm5xmc7zajd0j1zirav6q2qy, c0of0cn2tec0yn2vtwdqgxxpl, a5h691d1wvz871qz9t1cmi68k, wkmy6d72qnd2c9ibbq3iihas, 3csngjh4kjgpkfayppiwfbw2c",,,,,,,,,,,,,,,,,,,,,,,,,,,
2788868655,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-03-16T00:10:42.626Z,2025-03-16T05:33:56Z,,,,,5584643801,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5584643811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584643807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584868927,197,18652,5584643803,59,"23, 24, 16, 5, 3, 25, 8, 30, 11, 14, 10, 1, 18, 12, 7, 13, 20, 21, 50, 66",5584643805,130,13,5584643809,194,8gy9wgqywaqi9uy6i31i0q21h,5584643799,30,"8y556fvv7asmfouaica4nbai1, 1jhs3g95t0ah1hx3fwlo14kmi, 6fgxgq77v66va16tcuqvyn6x, 2dbik29e0m9bil2ofn2yhrget, 2mxaagzu9rb92z9880yjllbzd, 8gy9wgqywaqi9uy6i31i0q21h, 7ajceczjsu9ci4nqv9gg2860a, c4g35kho1qirnu4q420knnl9m, 9lucpehmfe4z2vdlica1kc9d6, cqmvrx028gh19yh8qh7w01y0a, 2mgcta30puk8kuwb5mo4zvcnp, cuw4kvdf0bazq87mh3dwv71ii, 7ll9dqayz9698v71x2pvgrspg, 7vs1eqm82fwwuhwfqodb3dyw9, 9hqo1ykdlw9iv4tlo8d3vu9ec, 3lndo247f4br8t6xxdvlij4a2, cywd7q1m77lwe5q2dof7rvf9w, dowfebdy2qnsz8hkj0ilrux62, 6bypbwfkdebw240ddjg774ems, 5a6sqqiyle6aj7zh8ozwikqok",,,,,,,,,,,,,,,,,,,,,,,,,,,
2788909663,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-03-16T01:07:01.796Z,2025-03-16T01:07:03Z,,,,,5584870107,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788909653,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-03-16T01:07:01.796Z,2025-03-16T01:07:02Z,,,,,5584870005,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788909673,3,1,1,0,0,5h878vnmkbuy2ummddprusxgq,1,49.6,50.7,2025-03-16T01:07:01.797Z,2025-03-16T01:08:09Z,9lucpehmfe4z2vdlica1kc9d6,T. Moshobane,,,5584870159,212,16.2,5584870161,213,2.34,5584870153,56,Back,5584870155,140,38.9,5584870157,141,67.9,5584870163,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788909681,4,1,1,0,2,5h878vnmkbuy2ummddprusxgq,1,42.0,55.1,2025-03-16T01:07:04.677Z,2025-03-16T01:09:52Z,c4g35kho1qirnu4q420knnl9m,R. Coronado,,,5584870197,56,Back,5584870201,141,76.7,5584870199,140,27.9,5584870205,213,2.36,5584870203,212,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788909713,5,1,1,0,4,5h878vnmkbuy2ummddprusxgq,1,27.9,76.7,2025-03-16T01:07:05.882Z,2025-03-16T01:07:08Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5584870369,213,0.59,5584870365,212,11.5,5584870357,140,37.0,5584870361,141,86.2,5584870353,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788909719,6,1,1,0,6,5h878vnmkbuy2ummddprusxgq,0,37.3,85.0,2025-03-16T01:07:08.393Z,2025-03-16T01:09:54Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5584870413,141,73.6,5584870415,212,35.3,5584870419,1,,5584870407,155,,5584870417,213,6.06,5584870409,56,Center,5584870411,140,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788909729,3,12,1,0,8,2iwybwokic7nmr1t33abdbjoq,1,20.9,23.8,2025-03-16T01:07:10.181Z,2025-03-16T01:07:15Z,8pwslovfo5ostdhvpx53cxclw,P. Boye,,,5584870483,212,12.7,5584870485,213,0.42,5584870477,56,Back,5584870479,140,31.9,5584870481,141,31.4,5584870511,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788909755,7,61,1,0,11,5h878vnmkbuy2ummddprusxgq,1,64.2,69.7,2025-03-16T01:07:12.815Z,2025-03-16T01:11:46Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5584870635,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
