id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2823703983,1,34,16,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-06-21T22:14:58.981Z,2025-06-21T23:05:37Z,,,,,5777087601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777087593,30,"9l35nvd07jhy457u1yehm3gx6, ea8jgqvyafx5wvgd5d70mgx9m, 7y9k549gjh2183ylplvwg2q5l, bgxiot2ugkc6t5jchxewen4k5, b7hyxpaqt3ymfbuah1yop5rai, 5u1uufcs8jlvvkzodpi5ykovd, 579n2n7oiogy83epzcfrxtd5h, 2054x8z63k74or3inr9sl0bu1, 9lqozbr0ghw2fhep938p8snah, do8svqsgqomasmzdwwsgg7qlm, 271x0k4dhjqn4h7ecmt44pzo5, cc7jk41tn9qi5px4pb9l4bn8q, 1ntf3x9ay255qut54al2mt0q, t8bq7sttljbcrrspxz5tnm5l, 8qjls72u1tvwuxas420p8ed5g, c7xfrcywzfkh6ysuhv3bk8fvu, dwyatw1wz3nrh1fcwu27ie8ve, 9r38gjqqpwb3jue2rna0nwdsl, 6e7vgxyzx00c79hw1wg4d01sk, 113mck575esofosg0reheh7je",5777128117,197,3421,5777087605,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777087603,194,bgxiot2ugkc6t5jchxewen4k5,5777087599,130,17,5777087597,59,"1, 2, 22, 4, 6, 5, 19, 96, 11, 10, 8, 3, 7, 17, 20, 21, 23, 43, 55, 99",5777087595,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2823704293,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-06-21T22:16:38.834Z,2025-06-22T01:47:17Z,,,,,5777089493,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5777089503,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777089495,59,"22, 15, 3, 6, 24, 14, 21, 5, 10, 12, 17, 2, 8, 11, 13, 18, 19, 80",5777089491,30,"a3l8f3a6rr93qyyaxhdfqq1yi, f472o0229a6xev8qudf1tyf6y, eg5pbxm7emj77mdcub4xp6m3u, 3tb7ycl6z32sevjo8rxa590, c8svt3yazcfaq478j0cpbmbfu, bug5x187ehj0apzl11lrl3ip6, 711t32tk6qwl567dngcldfw15, couplbg5c1wzrb14ycd8f7h0p, 449e2muutlpvx9lhv1t2tcsmh, 8pqvmz8g1yhe7hqqc1d68c4mi, dltmx3e4llkcszs22cbfz92xg, amqkkery2iviorex40t7yi3xm, 2gsbai5bpg1fbullzvngv2l1w, 9ch7zgxlcjiio0xbo2hhl2yvo, 3o4uxnvpnf3cwjs3srwegxp90, 4vdbw63j0s7npezknabq6p7xm, 9nkrr0mwqni0mehkgw6nk5gfe, 5o2437unwy8z2k2k2ers86dbd",5777089501,194,couplbg5c1wzrb14ycd8f7h0p,5777128235,197,29762,5777089497,130,11,5777089499,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711483,2,32,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-06-21T23:06:32.486Z,2025-06-21T23:06:33Z,,,,,5777129689,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711479,2,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-06-21T23:06:32.486Z,2025-06-21T23:06:32Z,,,,,5777129683,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711491,3,1,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,50.2,49.9,2025-06-21T23:06:32.487Z,2025-06-21T23:06:35Z,do8svqsgqomasmzdwwsgg7qlm,C. Parano,,,5777129705,212,17.5,5777129709,279,S,5777129707,213,4.06,5777129701,140,40.1,5777129699,56,Back,5777129703,141,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711511,4,1,1,0,3,7neuneh44n9rtsfsh6r0sb9no,1,41.4,30.4,2025-06-21T23:06:36.366Z,2025-06-21T23:10:50Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,,5777129781,157,,5777129789,212,37.7,5777129787,141,62.3,5777129791,213,0.61,5777129785,140,70.8,5777129783,56,Center,5777129793,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711523,5,44,1,0,6,7neuneh44n9rtsfsh6r0sb9no,1,68.8,69.0,2025-06-21T23:06:39.028Z,2025-06-21T23:06:44Z,2054x8z63k74or3inr9sl0bu1,L. Fernandes,,,5777129835,286,,5777129833,56,Center,5777129851,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711515,3,44,1,0,6,daicfonrbj124lu2la2rctxck,0,31.2,31.0,2025-06-21T23:06:39.029Z,2025-06-21T23:06:45Z,couplbg5c1wzrb14ycd8f7h0p,G. Stoneman,,,5777129801,285,,5777129861,233,5,5777129799,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711547,6,1,1,0,6,7neuneh44n9rtsfsh6r0sb9no,0,70.7,61.2,2025-06-21T23:06:39.452Z,2025-06-21T23:06:44Z,2054x8z63k74or3inr9sl0bu1,L. Fernandes,,,5777129965,3,,5777129973,212,7.5,5777129969,140,77.5,5777129967,56,Center,5777129971,141,57.9,5777129975,213,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711531,4,12,1,0,7,daicfonrbj124lu2la2rctxck,1,18.1,48.3,2025-06-21T23:06:40.236Z,2025-06-21T23:10:13Z,c8svt3yazcfaq478j0cpbmbfu,K. Yao,,,5777129873,213,5.87,5777129865,56,Back,5777129869,141,39.3,5777129867,140,31.3,5777129871,212,15.2,5777129877,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
