id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value
2809850593,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-03T22:07:22.630Z,2025-05-04T02:13:50Z,,,,,5700106625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700106623,194,c4va4gt5g10zm05qtucgyt889,5700106613,30,"a9lytq2ddavywxo7ib8uzbj6x, 8pli7fk5kjmt0f9pl6sjsltuy, cxrjwzo1fmvgcw8i820hwn07p, 3g0rdzkjns986gn34vg3umiqy, 1445ppxg007udzcj6t20ceyju, c8nk2hg1xy4h4646ajpq65dnu, 1l26kd7tulii6x999b3fdxi0a, 6jsu34146kbtoeco3ue1a7ok4, c4va4gt5g10zm05qtucgyt889, 5h4ldsd3uwkk4wxr9iqi5kqy2, 9jfh2t3w4aqc4o4rvjfk7xey1, 6emdaopgvgmxzmuj4bu1tz7my, aqqbh1ugeh2f8jjiq8fu2qwru, 364a445zm6p8fzqxia2myj7dg, d3b8yjlx6aitma59vlpen39m2, 2d1vmwon9o35lzpkdwxgv12lm, 6omt3lirajdcqxcbhzk9sobmx, 9tbzso59dbmu47ovroulv9rf8, 2bhgif1020mgkwuzkjebaf6s4",5700106619,130,18,5700270181,197,23590,5700106621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5700106617,59,"1, 3, 8, 5, 16, 28, 15, 42, 2, 4, 9, 6, 10, 17, 18, 20, 23, 31, 70",5700106615,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,
2809854765,1,34,16,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-05-03T22:12:21.008Z,2025-05-04T02:17:29Z,,,,,5700264645,197,28571,5700126733,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5700126737,130,13,5700126735,59,"1, 14, 10, 55, 27, 66, 44, 15, 7, 8, 13, 9, 11, 16, 17, 19, 20, 24, 26",5700126739,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5700275381,194,411grh3cytippnnanb767qvsa,5700126731,30,"ac5zpx8c09rtmidm654e67xsl, 411grh3cytippnnanb767qvsa, 4l0iztasx0cae3j4f15d8gd4a, 6a6bagymcckyt43w6b31irsvd, 6jdsh8ubirqphhurw5rr7kz8q, vg3ha8h2d35wgexer2i6ao0k, 8e6kj3506n4gum041dok8v1ex, 1tsiml56f2xxym8h4tfjmho2c, 6u93ok0drr4byri2lu5g6rq0a, 7ejohb009byubwiqv36vag5jo, 69wq859yz6wzirpbvpnt3n8bt, 4avmtni30rahy4h40ffg89q6t, blkq1t8y0wnos6jxb0uwowwk5, ecipfh5r0gqsf0skgvgpu8cbu, f21web74a70mly9i28jpa1yvp, 68lho3sxw1cm1acgk4phg9wtm, bjdoqj8tsm1wlxiqaavduwo9h, 18g5ilv70mq7igiooy5yb8sno, 3cj2fww973bv21rfjlnu15yc4",5700126741,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2809883063,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-03T23:10:38.265Z,2025-05-03T23:10:41Z,,,,,5700282267,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883055,2,32,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-05-03T23:10:38.265Z,2025-05-03T23:10:38Z,,,,,5700282237,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883083,3,1,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,50.1,49.9,2025-05-03T23:10:38.266Z,2025-05-03T23:10:42Z,69wq859yz6wzirpbvpnt3n8bt,L. Perez,,,5700282415,279,S,5700282407,140,27.5,5700282413,213,3.14,5700282405,56,Back,5700282411,212,23.7,5700282409,141,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883097,4,1,1,0,3,6597wqy6gmpv3zjx7rp8cdj46,0,25.9,45.8,2025-05-03T23:10:41.562Z,2025-05-03T23:10:43Z,1tsiml56f2xxym8h4tfjmho2c,M. Maldonado,,,5700282501,213,5.87,5700282503,1,,5700282493,56,Right,5700282491,157,,5700282495,140,70.9,5700282497,141,15.3,5700282499,212,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883099,3,1,1,0,5,224tl8u2smnbyliroayk69nt0,0,25.2,81.7,2025-05-03T23:10:43.494Z,2025-05-03T23:10:44Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5700282509,140,51.4,5700282507,56,Center,5700282513,212,28.9,5700282505,3,,5700282511,141,68.7,5700282515,213,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883135,5,1,1,0,9,6597wqy6gmpv3zjx7rp8cdj46,0,38.6,9.4,2025-05-03T23:10:47.328Z,2025-05-03T23:10:48Z,vg3ha8h2d35wgexer2i6ao0k,F. Sundstrom,,,5700282731,140,47.5,5700282733,141,0.0,5700282729,56,Back,5700282727,3,,5700282737,213,5.63,5700282735,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883169,4,5,1,0,10,224tl8u2smnbyliroayk69nt0,1,49.8,101.5,2025-05-03T23:10:48.743Z,2025-05-04T01:45:32Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5700282983,233,6,5700282941,347,,5700282939,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883147,6,5,1,0,10,6597wqy6gmpv3zjx7rp8cdj46,0,50.2,-1.5,2025-05-03T23:10:48.743Z,2025-05-04T01:45:33Z,vg3ha8h2d35wgexer2i6ao0k,F. Sundstrom,,,5700282781,347,,5700282775,56,Right,5700282991,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883187,5,1,1,0,14,224tl8u2smnbyliroayk69nt0,1,46.8,100.0,2025-05-03T23:10:52.923Z,2025-05-03T23:10:56Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5700283031,212,13.7,5700283025,56,Back,5700283027,140,36.0,5700283033,213,3.74,5700283029,141,90.6,5700283023,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883221,6,1,1,0,17,224tl8u2smnbyliroayk69nt0,1,31.2,85.4,2025-05-03T23:10:55.828Z,2025-05-03T23:11:00Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5700283225,56,Back,5700283227,140,25.1,5700283231,212,14.1,5700283229,141,66.9,5700283233,213,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883231,7,1,1,0,21,224tl8u2smnbyliroayk69nt0,0,24.8,60.8,2025-05-03T23:10:59.947Z,2025-05-03T23:11:02Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5700283307,141,33.1,5700283311,213,5.98,5700283305,140,81.2,5700283309,212,62.1,5700283303,56,Center,5700283313,1,,5700283301,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883269,7,1,1,0,26,6597wqy6gmpv3zjx7rp8cdj46,0,22.4,69.0,2025-05-03T23:11:04.575Z,2025-05-03T23:11:06Z,6a6bagymcckyt43w6b31irsvd,T. Hodge,,,5700283501,3,,5700283503,56,Back,5700283509,212,16.5,5700283507,141,82.6,5700283505,140,35.4,5700283511,213,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883291,8,1,1,0,27,224tl8u2smnbyliroayk69nt0,1,63.9,26.8,2025-05-03T23:11:06.115Z,2025-05-03T23:11:09Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5700283655,212,17.6,5700283657,213,3.29,5700283653,141,23.0,5700283651,140,47.3,5700283649,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809883339,9,1,1,0,30,224tl8u2smnbyliroayk69nt0,1,44.3,20.6,2025-05-03T23:11:08.843Z,2025-05-03T23:11:14Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5700283915,213,2.20,5700283911,141,43.3,5700283913,212,19.0,5700283907,56,Back,5700283909,140,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
