id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2822644109,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-06-14T22:15:49.499Z,2025-06-15T02:10:28Z,,,,,5771137431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5771157837,197,23268,5771137435,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771137423,30,"1rknkp6cfxg6powoea2tttoiy, bezle40rjwnkdskjbf9yg4sq2, 2wj1w4opn7f0jyz1ps6ebvc6i, 1b9b97pxox77ia41cilqqm4iy, 6pqyqf9v6g60ci7jjggalqsq1, 16ndalf4kfr7e6rd9mwj7gfmc, cf36p7zpnrtxhebod6rtsmr1m, khvgxqohya7mawca1qx5q590, 5m3bxdstyhzoplpzam8c94t90, csx9pmpibyblftludnkd6j36x, 1xpjec3sk3ykvgcg67jkxtzo, rtercnq9nn7y0814ghe7wo2x, 7ryen5rxs6y6uk93saq7vyd7u, 97rumgrdtahzassy8weq13dyi, cc7auv8d89ohifqg7qwz62mwa, 2l6v8ab245wzmb1litvkir1ii, 2yflerah2shma2hzhm99msez9, 7oxivwr2b7bq70t35dgsjloiy",5771137429,130,8,5771137427,59,"31, 12, 24, 8, 6, 5, 23, 3, 33, 11, 71, 14, 15, 16, 22, 27, 80, 83",5771137433,194,csx9pmpibyblftludnkd6j36x,5771137425,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822644287,1,34,16,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-06-14T22:16:18.157Z,2025-06-14T22:42:33Z,,,,,5771175583,197,29742,5771138423,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5771138431,194,cvdn34vl3zje5uq54nvg77sut,5771138421,30,"zczt4alpawz5522hff8x39p1, 2o86bp6u8hbr8q43mea7srco9, 9za3fwnri7qk1dutb4iwmh6g9, 4fbaxgikw7z9sfhuz6vvnfmxh, 9imj5ig0i01uljnd3gd2cz1m, cvdn34vl3zje5uq54nvg77sut, bhzsz7pbe6pbwojtc1mi8m28l, djau5chcmoyiyq28jt9ypzh4a, 3nvijn3ctkplajtt1dd23wycp, ew8oodr9hiuqve7xlz24xznfu, 7b346y8ad54mkc0h1343ybs2x, bosdsb16w79aihfktvp4cjvje, 18iz45ww0nara0xdaleg72ort, 5i0d3n5jzz85wi8p2sfajdbf8, 1iyhipdn84for8bbxb07kw4x5, 52rcg38mijjjusfwqxa2l7hex, g31cspu8sa8eohwakxm28ne2, akgtib8zyv5lrvh9mxunj2rdg",5771138433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771138425,59,"1, 16, 3, 6, 12, 22, 11, 15, 10, 8, 9, 7, 13, 18, 23, 24, 25, 27",5771138427,130,8,5771138429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657545,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-06-14T23:07:29.370Z,2025-06-14T23:08:11Z,,,,,5771211573,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657543,2,32,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-06-14T23:07:29.370Z,2025-06-14T23:07:29Z,,,,,5771211571,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657551,3,1,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,50.3,50.6,2025-06-14T23:07:29.371Z,2025-06-14T23:07:31Z,3nvijn3ctkplajtt1dd23wycp,M. Gaines,,,5771211595,213,2.81,5771211591,141,57.6,5771211589,140,37.2,5771211587,56,Back,5771211597,279,S,5771211593,212,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657575,4,1,1,0,1,bk3zg8yaj5uoqhxzwons3bo8a,1,37.2,57.6,2025-06-14T23:07:31.049Z,2025-06-14T23:07:34Z,4fbaxgikw7z9sfhuz6vvnfmxh,G. Zelalem,,,5771211713,212,29.9,5771211709,140,33.6,5771211707,56,Back,5771211711,141,14.0,5771211715,213,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657581,5,1,1,0,5,bk3zg8yaj5uoqhxzwons3bo8a,1,34.6,13.7,2025-06-14T23:07:34.815Z,2025-06-14T23:07:36Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5771211767,56,Right,5771211769,140,73.7,5771211775,213,6.26,5771211771,141,12.5,5771211777,1,,5771211773,212,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657595,6,1,1,0,7,bk3zg8yaj5uoqhxzwons3bo8a,1,73.8,12.3,2025-06-14T23:07:36.767Z,2025-06-14T23:07:39Z,bhzsz7pbe6pbwojtc1mi8m28l,M. Akale,,,5771211857,56,Back,5771211859,140,39.3,5771211867,1,,5771211861,141,9.7,5771211865,213,3.19,5771211863,212,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657629,7,1,1,0,10,bk3zg8yaj5uoqhxzwons3bo8a,1,39.2,9.5,2025-06-14T23:07:39.423Z,2025-06-14T23:07:45Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5771212031,212,20.9,5771212025,56,Back,5771212033,213,2.08,5771212029,141,36.4,5771212027,140,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657641,8,1,1,0,16,bk3zg8yaj5uoqhxzwons3bo8a,1,30.3,34.6,2025-06-14T23:07:45.671Z,2025-06-14T23:07:48Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5771212081,141,69.4,5771212085,213,1.79,5771212077,56,Back,5771212079,140,25.2,5771212083,212,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
