id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2788818587,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-03-15T22:35:43.427Z,2025-03-16T03:46:28Z,,,,,5584365913,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5584526801,197,23488,5584365909,59,"1, 17, 3, 15, 24, 12, 21, 8, 11, 10, 23, 99, 5, 9, 18, 19, 20, 77",5584365915,194,arrnspfznjcs9fmng4finp87p,5584365917,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584365911,130,10,5584365905,30,"arrnspfznjcs9fmng4finp87p, dltmx3e4llkcszs22cbfz92xg, eg5pbxm7emj77mdcub4xp6m3u, f472o0229a6xev8qudf1tyf6y, c8svt3yazcfaq478j0cpbmbfu, 8pqvmz8g1yhe7hqqc1d68c4mi, 711t32tk6qwl567dngcldfw15, 2gsbai5bpg1fbullzvngv2l1w, 9ch7zgxlcjiio0xbo2hhl2yvo, 449e2muutlpvx9lhv1t2tcsmh, duad6xilu5s6c7ul48b7gab1m, 3o4uxnvpnf3cwjs3srwegxp90, couplbg5c1wzrb14ycd8f7h0p, 2w38gs56nefz2s67peyzb10q1, 4vdbw63j0s7npezknabq6p7xm, 9nkrr0mwqni0mehkgw6nk5gfe, 9txqixk3uycvort3ntzkva1g5, 1diaoqi51gzx23j4d5f8xc8b8",5584365907,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788822123,1,34,16,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-03-15T22:43:47.163Z,2025-03-15T23:35:10Z,,,,,5584385083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584385075,130,8,5584385071,59,"56, 7, 62, 6, 5, 16, 42, 91, 26, 80, 19, 1, 4, 8, 9, 11, 17, 22, 23, 36",5584385063,30,"ect3pxkbjycux4simxmzp9jze, 6692w96w6qmvgcpo02dehq4iy, aur71sievd8d2fnrumu3xf6c, 5tyrfuxsp7s9thsmhfqevuoyx, ani26vxlo22iw1u9oexptml05, 98l6i78kwuwnt2sbcucssgjfu, f1gj1qng7x6nxfi8lbxa7tvpx, 94zkjopy373mgso15ljxmhd04, caoq1dpq6lz1btrd75s9xuz56, dmbqkvvaray373vy9eiq4l1ck, 5jigl7kp5d2i5ws1602jm7n1m, 5htuxrszecd448kld1yguwpas, 14oq6mvlh5e51d9y20nbpok4p, ecjt2cd0xn1qyeyboapqwxbvu, 21y2ogvprtdai47j36w9m22cq, ax8t5jhq9kz6ff2sji3p90kr8, 22p6n3oird085u2kbkiqp4pg, 3s1a50dskuehneuuy9b1nxg4, eur2vbdzfmcxyfathakjghyqc, 5t1wvh34lm993otbc3469uzxm",5584385079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584385067,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5584385081,194,ani26vxlo22iw1u9oexptml05,5584527137,197,27037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788850167,2,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-03-15T23:37:54.746Z,2025-03-15T23:37:55Z,,,,,5584540139,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788850179,2,32,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-03-15T23:37:54.746Z,2025-03-15T23:37:58Z,,,,,5584540187,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788850225,3,1,1,0,0,daicfonrbj124lu2la2rctxck,1,50.0,50.0,2025-03-15T23:37:54.747Z,2025-03-15T23:37:59Z,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,,,5584540421,279,S,5584540413,141,51.8,5584540417,213,3.01,5584540411,140,41.4,5584540415,212,9.1,5584540409,56,Back,5584540423,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788850233,4,1,1,0,2,daicfonrbj124lu2la2rctxck,0,41.4,51.8,2025-03-15T23:37:56.787Z,2025-03-15T23:37:59Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,,5584540469,140,68.4,5584540487,1,,5584540475,141,100.0,5584540483,213,0.87,5584540457,157,,5584540463,56,Left,5584540479,212,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788850301,3,5,1,0,2,e3k8yw2rbmphyfu5htn4yi5jk,1,28.9,-1.4,2025-03-15T23:37:57.659Z,2025-03-16T01:45:25Z,6692w96w6qmvgcpo02dehq4iy,L. Blackstock,,,5584540883,347,,5584540881,56,Back,5584540903,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788850245,5,5,1,0,2,daicfonrbj124lu2la2rctxck,0,71.1,101.4,2025-03-15T23:37:57.659Z,2025-03-16T01:45:26Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,,5584540543,56,Left,5584540911,233,3,5584540545,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788850319,4,1,1,0,10,e3k8yw2rbmphyfu5htn4yi5jk,1,22.5,0.0,2025-03-15T23:38:05.650Z,2025-03-15T23:38:07Z,6692w96w6qmvgcpo02dehq4iy,L. Blackstock,,,5584540943,213,0.91,5584540933,107,,5584540939,141,11.6,5584540937,140,29.0,5584540941,212,11.1,5584540935,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788850333,5,1,1,0,12,e3k8yw2rbmphyfu5htn4yi5jk,1,29.0,11.6,2025-03-15T23:38:06.786Z,2025-03-15T23:38:08Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5584540985,213,3.38,5584540981,212,13.1,5584540979,141,7.0,5584540975,56,Back,5584540977,140,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
