id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value
2803489395,1,34,16,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-04-19T22:41:24.797Z,2025-04-20T03:54:58Z,,,,,5665029599,30,"a3k4grlhkn63p3xfb2rzslkdm, aomjkj5s52jkzgk3ljsz0osiy, cla0i94uyddjw7jzqoyfsplre, 42hi96pvzz8f69ixlcncn0549, e2rv433ve4ytatjl94dcz1hm2, 9gvsswyf0gzxekrjdkpuqrh0p, d2ny0huv78m4m6p65y8eou7oq, 15jb2rb0mvhaz492ii7yqrk6h, 35bpd9cmuep6cqczngaqpc19m, achy1l1rfq2d4ftn6l1esht9m, 3hb6yji6u8ftefif91lfrbtre, cxscznjyygtsgbajv08q04sq2, 1xb2wmuzlhgo6vt7f9yl2rnkk, hglsr5ybsi6bsl178ge0c31m, 7f1q3d59u9n16v9xrskfxqsq1, aj5x0l6jpxl7s8pfmhgc4060a, 5rdtu4wmswu65eqjjw38uao0k, 486r7pszrdk085ot7cy2008dm",5665029601,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5665029609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5665029607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5665198269,197,18847,5665090579,194,42hi96pvzz8f69ixlcncn0549,5665029605,130,13,5665029603,59,"1, 15, 2, 32, 5, 4, 17, 31, 9, 16, 25, 7, 8, 12, 13, 23, 24, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803493051,1,34,16,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-04-19T22:49:26.844Z,2025-04-20T02:10:05Z,,,,,5665051509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5665051501,59,"1, 14, 33, 5, 2, 3, 7, 17, 28, 9, 8, 10, 18, 21, 26, 34, 41, 36",5665051499,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5665051497,30,"dp8j7znd4eavuoy3faqpamoa2, dbjysa6qhf203jmpjedz8pgph, bpkzxcqtmvei7lqkqzuvzelsl, 4l1wyg8j3u42b87477y3zm54a, du5dg5x7as3ub1iemjuwdd6uh, 87rpg135z1k0ir74kdczwo2y1, ch01b74i78nggnffi81875ld6, 5s5sc7zxuw8cr7vyzeofb8hnu, c08hvq1hplcct8kxrxucfpqp6, 6mrzod8fbjpv5s30eyypfyv2t, 7ao58e6608lb8eu3dmk17jisp, 4ua2bfowedufy5hilbxb3cul1, e13oeez12fwnzyf2qkizwflec, te1unnk7afru8djvu92vs00k, 374euncv00zs2oy6ux1u519be, 5eptcbetmcxxwzhed6i5rl0r8, 3gzatxlefe9axcrqyllbtrzmc, lp6scacgnnb3d9uxypl2cn4k",5665182927,197,22486,5665051507,194,bpkzxcqtmvei7lqkqzuvzelsl,5665051505,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5665051503,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520135,2,32,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-04-19T23:36:55.349Z,2025-04-19T23:36:57Z,,,,,5665206703,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520149,2,32,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-04-19T23:36:55.349Z,2025-04-19T23:36:56Z,,,,,5665206773,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520173,3,1,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,50.3,49.7,2025-04-19T23:36:55.350Z,2025-04-19T23:38:51Z,5s5sc7zxuw8cr7vyzeofb8hnu,D. Crisostomo,,,5665206943,213,2.85,5665206935,56,Back,5665206945,279,S,5665206941,212,25.1,5665206939,141,60.5,5665206937,140,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520205,4,1,1,0,2,5qfq6cwtrgzd2szijivns7rjl,1,27.5,60.3,2025-04-19T23:36:58.149Z,2025-04-19T23:37:01Z,4l1wyg8j3u42b87477y3zm54a,C. MacPherson,,,5665207167,212,16.1,5665207163,140,26.0,5665207165,141,83.8,5665207161,56,Back,5665207169,213,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520237,5,1,1,0,5,5qfq6cwtrgzd2szijivns7rjl,1,25.6,86.5,2025-04-19T23:37:01.084Z,2025-04-19T23:37:03Z,87rpg135z1k0ir74kdczwo2y1,F. Lasso,,,5665207339,141,63.9,5665207341,212,47.5,5665207337,140,68.4,5665207333,155,,5665207343,213,5.95,5665207345,1,,5665207335,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520243,6,1,1,0,8,5qfq6cwtrgzd2szijivns7rjl,0,68.3,63.0,2025-04-19T23:37:03.669Z,2025-04-19T23:37:04Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5665207371,56,Center,5665207383,212,2.5,5665207379,141,65.7,5665207385,213,2.31,5665207367,3,,5665207375,140,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520339,4,1,1,0,11,83cpn99fh7ulkwe8nezy8a3mx,1,22.2,23.6,2025-04-19T23:37:07.317Z,2025-04-19T23:37:13Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5665207915,212,44.4,5665207913,141,17.4,5665207907,155,,5665207917,213,6.19,5665207911,140,64.3,5665207909,56,Right,5665207919,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803520429,7,43,1,0,22,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-04-19T23:37:17.637Z,2025-04-19T23:37:28Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5665208949,144,5,5665208385,56,Back,5665208387,347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
