id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value
2822237639,1,34,16,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-11T23:04:02.816Z,2025-06-12T02:28:18Z,,,,,5768877539,30,"a3k4grlhkn63p3xfb2rzslkdm, cla0i94uyddjw7jzqoyfsplre, 7f1q3d59u9n16v9xrskfxqsq1, 42hi96pvzz8f69ixlcncn0549, e2rv433ve4ytatjl94dcz1hm2, 9gvsswyf0gzxekrjdkpuqrh0p, achy1l1rfq2d4ftn6l1esht9m, d2ny0huv78m4m6p65y8eou7oq, 35bpd9cmuep6cqczngaqpc19m, 15jb2rb0mvhaz492ii7yqrk6h, cxscznjyygtsgbajv08q04sq2, 2g5s1bd38e3v7j8h11xq3uo6h, hglsr5ybsi6bsl178ge0c31m, aomjkj5s52jkzgk3ljsz0osiy, aj5x0l6jpxl7s8pfmhgc4060a, 3hb6yji6u8ftefif91lfrbtre, 486r7pszrdk085ot7cy2008dm, 4f03usm5tnljkqleajmz9kmol, cf744cscgw47rjb18w08wstuc, 2ekg8ntkxc3szd8d9bnv20npw",5768877547,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5768877551,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5768877549,194,42hi96pvzz8f69ixlcncn0549,5768877573,197,30133,5768877545,130,11,5768877541,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5768877543,59,"1, 2, 13, 32, 5, 4, 16, 17, 9, 31, 7, 3, 12, 15, 23, 25, 27, 53, 80, 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822237905,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-06-11T23:08:45.751Z,2025-06-12T02:43:04Z,,,,,5768879037,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5768879039,194,couplbg5c1wzrb14ycd8f7h0p,5768910161,197,29763,5768879035,130,16,5768879031,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5768879029,30,"a3l8f3a6rr93qyyaxhdfqq1yi, f472o0229a6xev8qudf1tyf6y, eg5pbxm7emj77mdcub4xp6m3u, couplbg5c1wzrb14ycd8f7h0p, c8svt3yazcfaq478j0cpbmbfu, bug5x187ehj0apzl11lrl3ip6, 8pqvmz8g1yhe7hqqc1d68c4mi, 9txqixk3uycvort3ntzkva1g5, 449e2muutlpvx9lhv1t2tcsmh, 4vdbw63j0s7npezknabq6p7xm, 1diaoqi51gzx23j4d5f8xc8b8, 3tb7ycl6z32sevjo8rxa590, 2gsbai5bpg1fbullzvngv2l1w, 9ch7zgxlcjiio0xbo2hhl2yvo, 3o4uxnvpnf3cwjs3srwegxp90, dltmx3e4llkcszs22cbfz92xg, 711t32tk6qwl567dngcldfw15, 5o2437unwy8z2k2k2ers86dbd",5768879041,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5768879033,59,"22, 15, 3, 5, 24, 14, 12, 20, 10, 18, 77, 6, 8, 11, 13, 17, 21, 80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243451,2,32,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-12T00:08:52.251Z,2025-06-12T00:08:53Z,,,,,5768909997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243449,2,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-06-12T00:08:52.251Z,2025-06-12T00:08:52Z,,,,,5768909995,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243457,3,1,1,0,0,daicfonrbj124lu2la2rctxck,1,50.0,50.0,2025-06-12T00:08:52.252Z,2025-06-12T00:08:55Z,4vdbw63j0s7npezknabq6p7xm,J. Brito,,,5768910027,56,Back,5768910033,212,24.5,5768910029,140,26.7,5768910035,213,3.18,5768910031,141,48.5,5768910037,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243465,4,1,1,0,3,daicfonrbj124lu2la2rctxck,1,26.7,48.5,2025-06-12T00:08:55.450Z,2025-06-12T00:09:01Z,a3l8f3a6rr93qyyaxhdfqq1yi,J. Lee,,,5768910077,212,53.1,5768910079,213,6.05,5768910071,56,Center,5768910075,141,30.2,5768910069,157,,5768910081,1,,5768910073,140,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243473,5,44,1,0,6,daicfonrbj124lu2la2rctxck,1,74.0,42.0,2025-06-12T00:08:58.849Z,2025-06-12T02:31:18Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5768910101,56,Center,5768910113,233,3,5768910103,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243463,3,44,1,0,6,83cpn99fh7ulkwe8nezy8a3mx,0,26.0,58.0,2025-06-12T00:08:58.850Z,2025-06-12T02:31:18Z,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,,,5768910067,285,,5768910065,56,Back,5768910117,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243475,6,1,1,0,7,daicfonrbj124lu2la2rctxck,0,75.9,30.2,2025-06-12T00:08:59.308Z,2025-06-12T00:13:07Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5768910129,212,16.5,5768910123,56,Center,5768910131,213,0.78,5768910125,140,87.1,5768910127,141,47.3,5768910121,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243479,5,1,1,0,13,83cpn99fh7ulkwe8nezy8a3mx,1,12.6,46.2,2025-06-12T00:09:05.474Z,2025-06-12T00:09:08Z,a3k4grlhkn63p3xfb2rzslkdm,D. Las,,,5768910157,213,5.15,5768910155,212,15.3,5768910151,140,18.8,5768910149,56,Back,5768910153,141,25.8,5768910147,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243483,6,1,1,0,16,83cpn99fh7ulkwe8nezy8a3mx,1,23.2,34.7,2025-06-12T00:09:08.753Z,2025-06-12T00:09:10Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5768910181,212,11.3,5768910175,56,Back,5768910183,213,2.76,5768910179,141,40.9,5768910177,140,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243487,7,1,1,0,18,83cpn99fh7ulkwe8nezy8a3mx,1,14.1,41.3,2025-06-12T00:09:10.377Z,2025-06-12T00:09:14Z,a3k4grlhkn63p3xfb2rzslkdm,D. Las,,,5768910219,213,6.04,5768910217,212,54.6,5768910213,140,64.5,5768910209,157,,5768910221,1,,5768910211,56,Center,5768910215,141,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243489,8,61,1,0,21,83cpn99fh7ulkwe8nezy8a3mx,0,64.5,22.0,2025-06-12T00:09:14.186Z,2025-06-12T00:10:13Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5768910227,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243821,29,61,1,0,22,daicfonrbj124lu2la2rctxck,1,48.9,56.8,2025-06-12T00:09:14.461Z,2025-06-12T00:17:40Z,c8svt3yazcfaq478j0cpbmbfu,K. Yao,,,5768913937,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243495,7,1,1,0,24,daicfonrbj124lu2la2rctxck,1,55.7,55.7,2025-06-12T00:09:16.259Z,2025-06-12T02:16:28Z,a3l8f3a6rr93qyyaxhdfqq1yi,J. Lee,,,5768910263,141,31.0,5768910261,140,51.3,5768910265,212,17.4,5768910269,1,,5768910257,157,,5768910267,213,4.44,5768910259,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243761,27,61,1,0,25,daicfonrbj124lu2la2rctxck,1,54.0,30.1,2025-06-12T00:09:17.467Z,2025-06-12T00:18:23Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,,5768911855,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243985,33,43,1,0,25,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-06-12T00:09:17.749Z,2025-06-12T00:18:20Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,,5768914505,144,61,5768914219,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243499,8,1,1,0,26,daicfonrbj124lu2la2rctxck,0,51.3,31.0,2025-06-12T00:09:19.019Z,2025-06-12T02:16:30Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,,5768910283,140,78.7,5768910281,56,Right,5768910285,141,20.3,5768910289,213,6.04,5768910279,3,,5768910287,212,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243501,9,1,1,0,27,83cpn99fh7ulkwe8nezy8a3mx,1,32.0,65.3,2025-06-12T00:09:20.017Z,2025-06-12T00:18:29Z,e2rv433ve4ytatjl94dcz1hm2,Arturo Ordóñez,,,5768910299,213,1.36,5768910293,140,33.7,5768910291,56,Back,5768910297,212,8.6,5768910295,141,77.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243503,10,1,1,0,29,83cpn99fh7ulkwe8nezy8a3mx,0,33.4,82.4,2025-06-12T00:09:21.976Z,2025-06-12T00:09:24Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5768910315,1,,5768910311,212,35.6,5768910307,140,65.0,5768910313,213,0.37,5768910309,141,100.0,5768910305,56,Left,5768910303,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243507,9,5,1,0,32,daicfonrbj124lu2la2rctxck,1,38.9,-1.4,2025-06-12T00:09:24.394Z,2025-06-12T01:09:04Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,,5768910323,347,,5768910327,233,11,5768910321,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243505,11,5,1,0,32,83cpn99fh7ulkwe8nezy8a3mx,0,61.1,101.4,2025-06-12T00:09:24.394Z,2025-06-12T01:09:04Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5768910317,56,Left,5768910335,233,9,5768910319,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822243545,10,1,1,1,6,daicfonrbj124lu2la2rctxck,1,50.7,0.0,2025-06-12T00:09:58.589Z,2025-06-12T00:20:11Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5768910553,56,Right,5768910561,213,0.38,5768910555,140,71.7,5768910551,107,,5768910563,1,,5768910559,212,23.8,5768910557,141,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
