id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/13/value
2823653155,1,34,16,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-06-21T19:02:15.747Z,2025-06-21T22:35:58Z,,,,,5776806091,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5776806099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5776806093,59,"28, 2, 4, 5, 13, 21, 30, 8, 9, 10, 26, 3, 7, 11, 12, 18, 19, 22",5776904011,197,29739,5776806097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5776806089,30,"9q3w4j10qfsq94svbmyxa879x, 96qlwmkrab9h7xt93jzgl384p, 1460tac94fhhy43lmohs4fj3e, cyignmjprj3whvban361mclm2, eqopj1p3a2ehzpwlj90laswoa, d539xjkdwt1i77f0czbvo8ull, 1xkff6cxd8zycnd3n3odmvai1, fm9i7pzwi2diu6i18kycmx1x, am7umg00yxt40mndzo6e0u3o4, e5nj82ezbq0x6zdzdh4quyxn9, bzs1s1yntau3dvzyvn6t7t785, cvi9u3v3krlkbvwcwjqztzvca, bolmgcfvbdizfyh6n9oz4xjsa, 864l8bcr288r74g3tmt1eqfe2, arrb65a3pfk77637pdxagaxyi, eqge8se9qvv9oqyivp267l016, 3bpj0qbeokaqc33aro8v7qpec, c14ntw6zvozswy685dztldl1x",5776806095,130,8,5776898989,194,e5nj82ezbq0x6zdzdh4quyxn9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823656943,1,34,16,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-06-21T19:14:24.311Z,2025-06-21T23:51:52Z,,,,,5776827093,130,18,5776827087,30,"974nt2pay3nvbe8uyzx0qdhxw, 597hrrj3moomrcd2d95yk12w9, 62d3tsany7t5t2bwm4cx9pbai, 7lnb14nmxv9gggyedv3tydvdg, 28a0n53jofx4bk7vd74yqcb11, b3ktzeb8cz6vl5snbrtnpzw4q, 1nw1tmtpagpr647obkvygwgr9, 7o3vvz5w2ftz08ba23b79mgkq, 9irc1xmfpa2395qef78rfyjje, 70axpxvnx40ax7oxri5pmz9qs, 8d6e9axgsli468lnomdbcgu6t, 7jizpx7yu2zxvcrnf9z4408vd, 6rnuvzwbmj7qv80xlwkjvqnkl, 9jc85hbpruze4v8u1pjzsjt62, cujkrjaqaizwr771ist04uaj9, 63td0sigm6tp2tg8yovf5npm2, 1cqnjzgntshx2ag3crh0p2uzu, 8q0b0qnmebzt9v4he9o3k7rbo",5776827095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5776904829,197,29710,5776827089,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5776827091,59,"21, 13, 3, 30, 5, 4, 39, 8, 10, 11, 7, 2, 6, 12, 23, 24, 32, 91",5776827097,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5776832697,194,28a0n53jofx4bk7vd74yqcb11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823670847,2,32,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-06-21T20:06:48.177Z,2025-06-21T20:06:48Z,,,,,5776904299,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823670845,2,32,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-06-21T20:06:48.177Z,2025-06-21T22:41:02Z,,,,,5776904297,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823670853,3,1,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,50.0,50.0,2025-06-21T20:06:48.178Z,2025-06-21T20:10:12Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5776904337,212,28.5,5776904335,141,77.2,5776904331,56,Back,5776904341,279,S,5776904333,140,29.3,5776904339,213,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823670863,4,1,1,0,1,bu5w8wprynlj9mvphvy8sd94f,1,29.9,77.0,2025-06-21T20:06:50.166Z,2025-06-21T20:06:53Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5776904389,196,,5776904397,212,57.5,5776904401,1,,5776904395,141,8.8,5776904391,56,Right,5776904387,155,,5776904393,140,62.2,5776904399,213,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823670865,5,1,1,0,5,bu5w8wprynlj9mvphvy8sd94f,0,60.9,8.9,2025-06-21T20:06:53.631Z,2025-06-21T20:09:22Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5776904411,141,20.1,5776904407,56,Right,5776904405,3,,5776904413,212,11.7,5776904409,140,69.4,5776904415,213,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823670899,4,1,1,0,7,b1rpb2ox52uxcmjrsnqd95pk5,1,31.1,82.7,2025-06-21T20:06:55.799Z,2025-06-21T20:07:03Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5776904601,56,Center,5776904609,213,5.96,5776904603,140,71.7,5776904599,157,,5776904611,1,,5776904607,212,45.0,5776904605,141,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823670903,5,61,1,0,15,b1rpb2ox52uxcmjrsnqd95pk5,0,89.7,67.5,2025-06-21T20:07:03.343Z,2025-06-21T20:07:03Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5776904627,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823670931,6,5,1,0,17,bu5w8wprynlj9mvphvy8sd94f,1,-0.6,31.6,2025-06-21T20:07:05.182Z,2025-06-21T20:07:28Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5776904763,233,6,5776904745,56,Back,5776904747,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823670907,6,5,1,0,17,b1rpb2ox52uxcmjrsnqd95pk5,0,100.6,68.4,2025-06-21T20:07:05.182Z,2025-06-21T22:28:05Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5776904629,56,Center,5776904779,233,6,5776904631,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
