id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2823352701,1,34,16,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-06-18T22:10:30.056Z,2025-06-19T01:45:19Z,,,,,5775128083,197,29737,5775128075,59,"28, 2, 4, 5, 13, 21, 30, 8, 9, 10, 26, 7, 11, 18, 19, 22, 25, 34, 12",5775128071,30,"9q3w4j10qfsq94svbmyxa879x, 96qlwmkrab9h7xt93jzgl384p, 1460tac94fhhy43lmohs4fj3e, cyignmjprj3whvban361mclm2, eqopj1p3a2ehzpwlj90laswoa, d539xjkdwt1i77f0czbvo8ull, 1xkff6cxd8zycnd3n3odmvai1, fm9i7pzwi2diu6i18kycmx1x, am7umg00yxt40mndzo6e0u3o4, e5nj82ezbq0x6zdzdh4quyxn9, bzs1s1yntau3dvzyvn6t7t785, bolmgcfvbdizfyh6n9oz4xjsa, 864l8bcr288r74g3tmt1eqfe2, eqge8se9qvv9oqyivp267l016, 3bpj0qbeokaqc33aro8v7qpec, c14ntw6zvozswy685dztldl1x, 7deyffi1b0b76ej9mpgbgr9qs, 9w4hxsqx1uixdvlo4lp47gums, arrb65a3pfk77637pdxagaxyi",5775128085,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5775128081,194,e5nj82ezbq0x6zdzdh4quyxn9,5775128073,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5775128079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5775128077,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823352771,1,34,16,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-06-18T22:11:24.150Z,2025-06-18T22:11:24Z,,,,,5775128469,194,ani26vxlo22iw1u9oexptml05,5775128467,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5775128463,59,"56, 2, 62, 6, 5, 22, 80, 91, 26, 9, 10, 1, 4, 7, 8, 19, 34, 36",5775128471,197,29701,5775128461,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5775128465,130,8,5775128459,30,"ect3pxkbjycux4simxmzp9jze, d8uer29a3oya05ks99q696221, aur71sievd8d2fnrumu3xf6c, 5tyrfuxsp7s9thsmhfqevuoyx, ani26vxlo22iw1u9oexptml05, 3s1a50dskuehneuuy9b1nxg4, dmbqkvvaray373vy9eiq4l1ck, 94zkjopy373mgso15ljxmhd04, caoq1dpq6lz1btrd75s9xuz56, 21y2ogvprtdai47j36w9m22cq, 1h85rt7bnqep3qovatft86pgq, 5htuxrszecd448kld1yguwpas, 14oq6mvlh5e51d9y20nbpok4p, 6692w96w6qmvgcpo02dehq4iy, ecjt2cd0xn1qyeyboapqwxbvu, 5jigl7kp5d2i5ws1602jm7n1m, dw8iyfupgsqkt8ogxssmtss4q, 5t1wvh34lm993otbc3469uzxm",5775128473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355179,2,32,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-06-18T23:06:42.689Z,2025-06-18T23:06:42Z,,,,,5775142647,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355187,2,32,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-06-18T23:06:42.689Z,2025-06-18T23:06:43Z,,,,,5775142669,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355193,3,1,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,49.8,50.0,2025-06-18T23:06:42.690Z,2025-06-18T23:06:45Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5775142691,141,49.6,5775142687,56,Back,5775142689,140,36.4,5775142695,213,3.16,5775142693,212,14.1,5775142697,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355195,4,1,1,0,2,e3k8yw2rbmphyfu5htn4yi5jk,1,36.4,49.6,2025-06-18T23:06:45.550Z,2025-06-18T23:06:47Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5775142713,140,46.8,5775142719,213,5.14,5775142715,141,14.3,5775142717,212,26.4,5775142711,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355199,5,1,1,0,4,e3k8yw2rbmphyfu5htn4yi5jk,1,46.8,14.3,2025-06-18T23:06:46.910Z,2025-06-18T23:06:48Z,d8uer29a3oya05ks99q696221,M. Segbers,,,5775142741,212,14.2,5775142737,140,34.7,5775142739,141,23.7,5775142735,56,Back,5775142743,213,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355213,6,1,1,0,5,e3k8yw2rbmphyfu5htn4yi5jk,1,34.7,23.7,2025-06-18T23:06:48.605Z,2025-06-19T01:57:35Z,ani26vxlo22iw1u9oexptml05,L. Archer,1.0,,5775245947,210,15,5775245949,154,,5775142799,56,Right,5775142797,157,,5775142801,140,84.4,5775142805,212,52.3,5775142803,141,19.4,5775142807,213,6.23,5775142809,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355215,7,15,1,0,11,e3k8yw2rbmphyfu5htn4yi5jk,1,85.2,33.5,2025-06-18T23:06:54.399Z,2025-06-19T01:58:31Z,caoq1dpq6lz1btrd75s9xuz56,C. Jennings,,,5775245663,22,,5775245835,20,,5775245957,29,,5775245977,231,46.9,5775245967,103,19,5775245839,82,,5775245665,63,,5775245973,147,37.7,5775245961,55,6,5775245965,102,51.1,5775245959,154,5775142817,56,Center,5775245979,233,3,5775245969,328,5775245955,78,5775245975,230,96.3,5775245971,146,88.8,,,,,,
2823355221,3,10,1,0,11,bu5w8wprynlj9mvphvy8sd94f,1,11.2,62.3,2025-06-18T23:06:54.499Z,2025-06-19T01:57:36Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5775245983,233,7,5775245611,94,,5775142839,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355223,4,1,1,0,14,bu5w8wprynlj9mvphvy8sd94f,0,10.6,84.5,2025-06-18T23:06:57.498Z,2025-06-18T23:06:58Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5775142847,140,28.3,5775142849,141,100.0,5775142843,157,,5775142855,1,,5775142851,212,21.6,5775142853,213,0.54,5775142845,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355225,5,5,1,0,15,bu5w8wprynlj9mvphvy8sd94f,0,27.0,101.0,2025-06-18T23:06:58.119Z,2025-06-19T01:18:14Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5775142953,233,8,5775142857,56,Back,5775142859,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823355241,8,5,1,0,15,e3k8yw2rbmphyfu5htn4yi5jk,1,73.0,-1.0,2025-06-18T23:06:58.119Z,2025-06-19T01:18:14Z,caoq1dpq6lz1btrd75s9xuz56,C. Jennings,,,5775142933,56,Right,5775142937,233,5,5775142935,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
