id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2815479459,1,34,16,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-05-16T22:03:37.972Z,2025-05-17T00:11:35Z,,,,,5731281619,30,"ac5zpx8c09rtmidm654e67xsl, 411grh3cytippnnanb767qvsa, 4l0iztasx0cae3j4f15d8gd4a, 6a6bagymcckyt43w6b31irsvd, 6jdsh8ubirqphhurw5rr7kz8q, vg3ha8h2d35wgexer2i6ao0k, f21web74a70mly9i28jpa1yvp, 1tsiml56f2xxym8h4tfjmho2c, 4avmtni30rahy4h40ffg89q6t, ecipfh5r0gqsf0skgvgpu8cbu, 7ejohb009byubwiqv36vag5jo, 4t3akio43zpg7pyr3dtmoipnu, 9tknltys66s9j8ljchwu5efv9, blkq1t8y0wnos6jxb0uwowwk5, 69wq859yz6wzirpbvpnt3n8bt, bjdoqj8tsm1wlxiqaavduwo9h, 18g5ilv70mq7igiooy5yb8sno, 3cj2fww973bv21rfjlnu15yc4, 8e6kj3506n4gum041dok8v1ex",5731281627,130,17,5731281633,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5731281625,59,"1, 14, 10, 55, 27, 66, 17, 15, 9, 16, 8, 4, 5, 11, 13, 20, 24, 26, 44",5731281631,197,18636,5731281629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5731281623,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5731448043,194,411grh3cytippnnanb767qvsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815482073,1,34,16,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-05-16T22:12:58.828Z,2025-05-17T01:27:34Z,,,,,5731297353,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5731297351,30,"6j38lv6xa3gnzzsn5x2i35rdh, 24r8fdf8ypk7ejch9t86zjwgk, 6g7v93m80xq6x38o9u3t8y3je, 3xd2kq7cxmvdbqsfzgi644c4q, 2w7w1l7lwhu2u6nhvqg1bnd2h, 4e47ixpbc8x9qzn7l3aeej0tl, ov91zkisppven9tp72gfbjf8, 4jq1xl8ott88bxfdo4bjm47hl, doseo9fbdr1a1srm0jhdqmr55, cxnq0rc4u1efzt82nw3xgk355, cclpvd1z3yyruciida1q3x4o9, 69j92vzo1swgodk0g9g2ksqqy, ei30dsbb51ri88sr7aku2t13p, bogxgfao7j28diagxffy0z9ey, 2j9i9ersvndkywcgqx9pzc9ka, evk0esdocrzt5zxqmv4ostdcl, 629pbkngxk7ucy0qt9mngvkd1, e0879u9ckqe6xv1h2j8bqto9g",5731356605,197,23259,5731297359,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5731297357,130,13,5731297355,59,"1, 88, 7, 3, 15, 33, 18, 12, 11, 10, 9, 2, 4, 6, 22, 25, 35, 45",5731297361,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5731511057,194,4jq1xl8ott88bxfdo4bjm47hl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815492979,2,32,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-05-16T23:07:02.206Z,2025-05-16T23:07:02Z,,,,,5731358215,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815492987,2,32,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-05-16T23:07:02.206Z,2025-05-16T23:07:05Z,,,,,5731358235,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815492991,3,1,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,50.0,50.0,2025-05-16T23:07:02.788Z,2025-05-16T23:07:05Z,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,,,5731358255,212,20.5,5731358257,213,2.72,5731358259,279,S,5731358249,56,Back,5731358253,141,62.4,5731358251,140,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815493027,4,1,1,0,4,b5l2e3csycjb8twvq9ek0j5gq,0,32.4,71.7,2025-05-16T23:07:07.159Z,2025-05-16T23:07:10Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,,5731358435,141,78.5,5731358437,212,37.4,5731358431,56,Center,5731358433,140,67.7,5731358439,213,0.12,5731358441,1,,5731358429,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815493029,3,44,1,0,8,6597wqy6gmpv3zjx7rp8cdj46,1,25.5,24.2,2025-05-16T23:07:10.546Z,2025-05-17T02:16:40Z,411grh3cytippnnanb767qvsa,Rafa Mentzingen,,,5731358447,285,,5731358445,56,Back,5731359667,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815493201,8,44,1,0,8,b5l2e3csycjb8twvq9ek0j5gq,0,74.5,75.8,2025-05-16T23:07:10.547Z,2025-05-17T02:10:45Z,cclpvd1z3yyruciida1q3x4o9,P. Wilson,,,5731359659,286,,5731359693,233,3,5731359657,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815493037,4,1,1,0,8,6597wqy6gmpv3zjx7rp8cdj46,1,28.9,33.1,2025-05-16T23:07:10.833Z,2025-05-17T02:16:42Z,411grh3cytippnnanb767qvsa,Rafa Mentzingen,,,5731358489,213,1.07,5731358483,140,31.8,5731358481,56,Back,5731358479,3,,5731358487,212,6.4,5731358485,141,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815493101,6,61,1,0,9,6597wqy6gmpv3zjx7rp8cdj46,1,42.2,34.3,2025-05-16T23:07:11.440Z,2025-05-16T23:07:44Z,ecipfh5r0gqsf0skgvgpu8cbu,Rodrigo da Costa,,,5731358927,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815493039,5,1,1,0,11,6597wqy6gmpv3zjx7rp8cdj46,0,27.0,39.5,2025-05-16T23:07:13.672Z,2025-05-16T23:07:14Z,1tsiml56f2xxym8h4tfjmho2c,M. Maldonado,,,5731358493,157,,5731358501,212,8.8,5731358503,213,0.82,5731358499,141,49.0,5731358497,140,32.7,5731358495,56,Back,5731358505,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
