id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2788807371,1,34,16,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-03-15T22:06:46.795Z,2025-03-16T02:16:39Z,,,,,5584301131,30,"ac5zpx8c09rtmidm654e67xsl, 411grh3cytippnnanb767qvsa, 4l0iztasx0cae3j4f15d8gd4a, vg3ha8h2d35wgexer2i6ao0k, bjdoqj8tsm1wlxiqaavduwo9h, 6jdsh8ubirqphhurw5rr7kz8q, ecipfh5r0gqsf0skgvgpu8cbu, f21web74a70mly9i28jpa1yvp, 4avmtni30rahy4h40ffg89q6t, 1tsiml56f2xxym8h4tfjmho2c, 69wq859yz6wzirpbvpnt3n8bt, 4t3akio43zpg7pyr3dtmoipnu, 9tknltys66s9j8ljchwu5efv9, 6u93ok0drr4byri2lu5g6rq0a, 68lho3sxw1cm1acgk4phg9wtm, 18g5ilv70mq7igiooy5yb8sno, 3cj2fww973bv21rfjlnu15yc4, 5jo2bkbs00nbvcoik2i3nvuuh, 8e6kj3506n4gum041dok8v1ex, 25yiwywy8abvc42fz2h9p81ec",5584301133,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5584301139,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584324935,194,bjdoqj8tsm1wlxiqaavduwo9h,5584301141,197,18636,5584301135,59,"1, 14, 10, 66, 20, 27, 16, 17, 9, 15, 13, 4, 5, 7, 19, 24, 26, 42, 44, 71",5584301143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584301137,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788808083,1,34,16,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-03-15T22:09:06.614Z,2025-03-15T23:05:44Z,,,,,5584305987,30,"7lmf6beyvhncglhw9avm40qju, 59kky4fyi0w9bdz4ow3gs95yi, 7ehcrcdv82ib5fkpo3498gpgp, db1h2huu8z1quj816wol1wgkp, dek9c2ef9ahynvfrk60d9tm5m, b6t0f1g03ixymivs4fbaiewic, 6j5qn2b7t0165vl1t26v001zo, 87n7hmq7f1q1avazbmwmcg222, 21vmi7qtrujzez3ziux0wa4et, ekzwxb68vg0w7o14zcq8n4vs9, agl19e1fx5123lk28avksxb3e, e2olfsduxvaqsx6rdbaasa356, 8xte0mzawblk2ufasxalijk2y, 3y5650rx37d3hnh3sxzhaz7xl, f0wprovraucxrx9wwd5au2pzo, 1l1r86a2u6fheng6y1j169q1g, e01adcq62lg6avlh5730enx90, da2xipmbg3v2jwwe6twcs1fu2",5584305995,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5584439863,194,87n7hmq7f1q1avazbmwmcg222,5584305997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584305993,130,21,5584305989,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5584305991,59,"23, 3, 6, 4, 5, 24, 7, 12, 10, 14, 11, 8, 15, 20, 30, 35, 88, 99",5584363905,197,23254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832425,2,32,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-03-15T23:07:49.350Z,2025-03-15T23:07:50Z,,,,,5584445093,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832413,2,32,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-03-15T23:07:49.350Z,2025-03-15T23:07:49Z,,,,,5584445037,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832451,3,1,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,50.0,50.0,2025-03-15T23:07:49.351Z,2025-03-15T23:07:54Z,ekzwxb68vg0w7o14zcq8n4vs9,Z. Ryan,,,5584445243,212,28.0,5584445235,56,Back,5584445241,141,49.0,5584445245,213,3.17,5584445247,279,S,5584445239,140,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832495,4,1,1,0,4,5x54jbfk11lrsmipgsx7cdbai,0,25.0,45.7,2025-03-15T23:07:53.977Z,2025-03-15T23:07:59Z,7lmf6beyvhncglhw9avm40qju,H. Fauroux,,,5584445477,157,,5584445481,140,70.1,5584445479,56,Center,5584445487,213,6.23,5584445483,141,41.9,5584445485,212,47.4,5584445489,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832501,5,44,1,0,8,5x54jbfk11lrsmipgsx7cdbai,1,74.3,36.1,2025-03-15T23:07:57.784Z,2025-03-16T00:14:16Z,6j5qn2b7t0165vl1t26v001zo,W. Leggett,,,5584657925,233,3,5584445509,286,,5584445507,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832491,3,44,1,0,8,6597wqy6gmpv3zjx7rp8cdj46,0,25.7,63.9,2025-03-15T23:07:57.785Z,2025-03-16T00:14:16Z,4l0iztasx0cae3j4f15d8gd4a,J. Servania,,,5584445459,285,,5584640083,233,5,5584445457,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832521,6,1,1,0,9,5x54jbfk11lrsmipgsx7cdbai,0,70.1,41.9,2025-03-15T23:07:58.696Z,2025-03-16T01:17:16Z,6j5qn2b7t0165vl1t26v001zo,W. Leggett,,,5584445623,141,44.9,5584445619,56,Center,5584445621,140,65.8,5584445627,213,2.72,5584445617,3,,5584445625,212,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832515,4,44,1,0,11,6597wqy6gmpv3zjx7rp8cdj46,1,32.0,56.9,2025-03-15T23:08:01.294Z,2025-03-16T00:14:15Z,1tsiml56f2xxym8h4tfjmho2c,M. Maldonado,,,5584657891,233,7,5584445583,56,Back,5584445585,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
