id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2818439143,1,34,16,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-05-24T19:03:45.789Z,2025-05-24T23:00:53Z,,,,,5747592831,30,"974nt2pay3nvbe8uyzx0qdhxw, 7jizpx7yu2zxvcrnf9z4408vd, 62d3tsany7t5t2bwm4cx9pbai, 7lnb14nmxv9gggyedv3tydvdg, b3ktzeb8cz6vl5snbrtnpzw4q, 9jc85hbpruze4v8u1pjzsjt62, 63td0sigm6tp2tg8yovf5npm2, 6rnuvzwbmj7qv80xlwkjvqnkl, 9irc1xmfpa2395qef78rfyjje, 3ldhrzekr0tztaxr3sc8mmg2x, 8d6e9axgsli468lnomdbcgu6t, 28a0n53jofx4bk7vd74yqcb11, 70axpxvnx40ax7oxri5pmz9qs, 2axflqcowldpal1ffaf2lw3dg, cujkrjaqaizwr771ist04uaj9, 1cqnjzgntshx2ag3crh0p2uzu, a6nj3s6nhav0ybrnhla1m67mc, 8q0b0qnmebzt9v4he9o3k7rbo",5747592833,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5747592835,59,"21, 2, 3, 30, 4, 12, 24, 6, 10, 9, 7, 5, 11, 14, 23, 32, 45, 91",5747592837,130,18,5747838807,197,29710,5747592839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5747592843,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5747592841,194,7lnb14nmxv9gggyedv3tydvdg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818440513,1,34,16,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-05-24T19:05:31.786Z,2025-05-24T20:01:27Z,,,,,5747600665,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5747839921,197,29701,5747600663,30,"ect3pxkbjycux4simxmzp9jze, 94zkjopy373mgso15ljxmhd04, aur71sievd8d2fnrumu3xf6c, 14oq6mvlh5e51d9y20nbpok4p, dw8iyfupgsqkt8ogxssmtss4q, 3s1a50dskuehneuuy9b1nxg4, dmbqkvvaray373vy9eiq4l1ck, 5tyrfuxsp7s9thsmhfqevuoyx, caoq1dpq6lz1btrd75s9xuz56, 21y2ogvprtdai47j36w9m22cq, 1h85rt7bnqep3qovatft86pgq, 5htuxrszecd448kld1yguwpas, d8uer29a3oya05ks99q696221, 6692w96w6qmvgcpo02dehq4iy, ecjt2cd0xn1qyeyboapqwxbvu, bmuds0h4a4sbhg47zmamnld5h, 5jigl7kp5d2i5ws1602jm7n1m, f1gj1qng7x6nxfi8lbxa7tvpx",5747600669,130,8,5747600675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5747600667,59,"56, 91, 62, 4, 34, 22, 80, 6, 26, 9, 10, 1, 2, 7, 8, 14, 19, 42",5747600673,194,5tyrfuxsp7s9thsmhfqevuoyx,5747600671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484019,2,32,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-05-24T20:06:55.929Z,2025-05-24T20:06:59Z,,,,,5747848981,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484013,2,32,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-05-24T20:06:55.929Z,2025-05-24T23:54:21Z,,,,,5747848947,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484025,3,1,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,49.7,50.3,2025-05-24T20:06:55.930Z,2025-05-24T20:06:58Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5747849019,279,S,5747849009,56,Back,5747849017,213,3.19,5747849011,140,45.3,5747849021,278,,5747849015,212,4.6,5747849013,141,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484033,4,1,1,0,1,b1rpb2ox52uxcmjrsnqd95pk5,1,45.3,50.0,2025-05-24T20:06:57.582Z,2025-05-24T21:09:45Z,9irc1xmfpa2395qef78rfyjje,J. Cedeño,,,5747849065,213,2.09,5747849063,212,24.2,5747849059,140,33.8,5747849061,141,80.9,5747849057,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484041,5,1,1,0,3,b1rpb2ox52uxcmjrsnqd95pk5,1,33.8,80.9,2025-05-24T20:06:59.925Z,2025-05-24T20:07:03Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5747849105,212,21.1,5747849103,141,53.3,5747849101,140,24.6,5747849107,213,4.24,5747849099,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484053,6,1,1,0,7,b1rpb2ox52uxcmjrsnqd95pk5,0,26.3,47.9,2025-05-24T20:07:03.342Z,2025-05-24T20:07:06Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5747849177,140,64.6,5747849179,141,13.8,5747849181,212,46.4,5747849175,56,Right,5747849185,1,,5747849183,213,5.76,5747849173,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484069,3,1,1,0,10,e3k8yw2rbmphyfu5htn4yi5jk,1,22.7,86.5,2025-05-24T20:07:06.760Z,2025-05-24T20:07:09Z,aur71sievd8d2fnrumu3xf6c,N. Dossantos,,,5747849241,140,34.9,5747849237,3,,5747849243,141,71.4,5747849245,212,16.4,5747849239,56,Back,5747849247,213,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484071,4,1,1,0,13,e3k8yw2rbmphyfu5htn4yi5jk,0,34.9,70.5,2025-05-24T20:07:09.110Z,2025-05-24T20:07:09Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5747849259,141,80.8,5747849257,140,37.4,5747849255,56,Back,5747849263,213,1.21,5747849253,3,,5747849261,212,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
