id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2800265761,1,34,16,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-04-12T22:41:11.654Z,2025-04-13T02:52:21Z,,,,,5647243389,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5647243397,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647243393,130,2,5647243391,59,"1, 27, 33, 5, 2, 3, 7, 14, 28, 9, 8, 10, 17, 18, 21, 26, 34, 41",5647243395,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5647243387,30,"dp8j7znd4eavuoy3faqpamoa2, 2wufroeor0e7k6hvatj1ltwfe, bpkzxcqtmvei7lqkqzuvzelsl, 4l1wyg8j3u42b87477y3zm54a, du5dg5x7as3ub1iemjuwdd6uh, 87rpg135z1k0ir74kdczwo2y1, ch01b74i78nggnffi81875ld6, dbjysa6qhf203jmpjedz8pgph, c08hvq1hplcct8kxrxucfpqp6, 6mrzod8fbjpv5s30eyypfyv2t, 7ao58e6608lb8eu3dmk17jisp, 4ua2bfowedufy5hilbxb3cul1, 5s5sc7zxuw8cr7vyzeofb8hnu, e13oeez12fwnzyf2qkizwflec, te1unnk7afru8djvu92vs00k, 374euncv00zs2oy6ux1u519be, 5eptcbetmcxxwzhed6i5rl0r8, 3gzatxlefe9axcrqyllbtrzmc",5647390295,194,bpkzxcqtmvei7lqkqzuvzelsl,5647389317,197,22486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800272887,1,34,16,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-04-12T22:57:59.714Z,2025-04-13T03:03:47Z,,,,,5647285785,130,2,5647319827,194,87n7hmq7f1q1avazbmwmcg222,5647285783,59,"23, 3, 6, 12, 5, 24, 17, 4, 14, 10, 11, 7, 15, 20, 30, 35, 55, 88",5647285787,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5647285781,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5647285779,30,"7lmf6beyvhncglhw9avm40qju, 59kky4fyi0w9bdz4ow3gs95yi, 7ehcrcdv82ib5fkpo3498gpgp, 87n7hmq7f1q1avazbmwmcg222, dek9c2ef9ahynvfrk60d9tm5m, b6t0f1g03ixymivs4fbaiewic, 8bp3sbo230kdhnw76stsw2u39, db1h2huu8z1quj816wol1wgkp, ekzwxb68vg0w7o14zcq8n4vs9, 21vmi7qtrujzez3ziux0wa4et, agl19e1fx5123lk28avksxb3e, 6j5qn2b7t0165vl1t26v001zo, 8xte0mzawblk2ufasxalijk2y, 3y5650rx37d3hnh3sxzhaz7xl, f0wprovraucxrx9wwd5au2pzo, 1l1r86a2u6fheng6y1j169q1g, 7xmkuf6t0h8n9dirv85jx25n8, e01adcq62lg6avlh5730enx90",5647389169,197,23254,5647285789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292609,2,32,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-04-12T23:38:00.530Z,2025-04-12T23:38:02Z,,,,,5647396895,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292589,2,32,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-04-12T23:38:00.530Z,2025-04-12T23:38:00Z,,,,,5647396785,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292663,3,1,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,50.0,50.0,2025-04-12T23:38:00.531Z,2025-04-12T23:38:08Z,ekzwxb68vg0w7o14zcq8n4vs9,Z. Ryan,,,5647397199,213,3.13,5647397195,141,50.3,5647397197,212,27.7,5647397193,140,23.6,5647397191,56,Back,5647397201,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292699,4,1,1,0,7,5x54jbfk11lrsmipgsx7cdbai,0,30.3,44.2,2025-04-12T23:38:07.895Z,2025-04-12T23:38:10Z,7lmf6beyvhncglhw9avm40qju,H. Fauroux,,,5647397401,213,6.21,5647397389,140,85.3,5647397393,141,38.3,5647397397,212,57.9,5647397405,1,,5647397383,157,,5647397385,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292717,3,12,1,0,10,5qfq6cwtrgzd2szijivns7rjl,1,41.2,58.8,2025-04-12T23:38:11.139Z,2025-04-12T23:38:37Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5647397485,213,5.53,5647397483,212,14.7,5647399099,15,,5647397477,56,Center,5647397481,141,44.0,5647397479,140,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292769,5,1,1,0,13,5x54jbfk11lrsmipgsx7cdbai,0,61.5,69.7,2025-04-12T23:38:13.946Z,2025-04-12T23:39:42Z,7ehcrcdv82ib5fkpo3498gpgp,K. Awuah,,,5647397655,213,6.20,5647397643,3,,5647397649,140,79.4,5647397647,56,Center,5647397651,141,67.5,5647397653,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292797,4,12,1,0,14,5qfq6cwtrgzd2szijivns7rjl,1,51.4,53.9,2025-04-12T23:38:15.322Z,2025-04-12T23:38:38Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5647399141,15,,5647397785,56,Center,5647397789,141,49.4,5647397787,140,56.0,5647397793,213,5.72,5647397791,212,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292803,5,44,1,0,16,5qfq6cwtrgzd2szijivns7rjl,1,44.4,44.0,2025-04-12T23:38:17.059Z,2025-04-12T23:38:22Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5647397815,56,Back,5647397847,285,,5647397843,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
