id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value
2785762211,1,34,16,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-03-08T23:13:08.065Z,2025-03-09T02:49:50Z,,,,,5567719779,197,18636,5567608931,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567608927,59,"1, 14, 10, 66, 20, 27, 17, 15, 9, 7, 13, 4, 5, 16, 19, 25, 26, 42, 44, 71",5567608923,30,"ac5zpx8c09rtmidm654e67xsl, 411grh3cytippnnanb767qvsa, 4l0iztasx0cae3j4f15d8gd4a, vg3ha8h2d35wgexer2i6ao0k, bjdoqj8tsm1wlxiqaavduwo9h, 6jdsh8ubirqphhurw5rr7kz8q, f21web74a70mly9i28jpa1yvp, 1tsiml56f2xxym8h4tfjmho2c, 4avmtni30rahy4h40ffg89q6t, 6u93ok0drr4byri2lu5g6rq0a, 69wq859yz6wzirpbvpnt3n8bt, 4t3akio43zpg7pyr3dtmoipnu, 9tknltys66s9j8ljchwu5efv9, ecipfh5r0gqsf0skgvgpu8cbu, 68lho3sxw1cm1acgk4phg9wtm, 7i7ysz3j5bhwh0vzmijx1hgwl, 3cj2fww973bv21rfjlnu15yc4, 5jo2bkbs00nbvcoik2i3nvuuh, 8e6kj3506n4gum041dok8v1ex, 25yiwywy8abvc42fz2h9p81ec",5567608929,130,10,5567608933,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567608925,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5567726649,194,bjdoqj8tsm1wlxiqaavduwo9h,,,,,,,,,,,,,,,,,,,,,,,,,,
2785762741,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-03-08T23:14:42.092Z,2025-03-09T00:57:21Z,,,,,5567611599,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5567722253,197,23590,5567611601,59,"1, 13, 8, 42, 16, 5, 20, 2, 9, 18, 14, 4, 6, 12, 17, 28, 31, 70",5567611597,30,"a9lytq2ddavywxo7ib8uzbj6x, 69pe2d0b9ughzcn3iqarracr8, cxrjwzo1fmvgcw8i820hwn07p, 6jsu34146kbtoeco3ue1a7ok4, 1445ppxg007udzcj6t20ceyju, 3g0rdzkjns986gn34vg3umiqy, 2d1vmwon9o35lzpkdwxgv12lm, c4va4gt5g10zm05qtucgyt889, 9jfh2t3w4aqc4o4rvjfk7xey1, d3b8yjlx6aitma59vlpen39m2, e8rbnbqkrxia3lgt7agaid4kq, 5h4ldsd3uwkk4wxr9iqi5kqy2, 6emdaopgvgmxzmuj4bu1tz7my, b8lkxvf7fa96tvblx4ilcg2ui, 364a445zm6p8fzqxia2myj7dg, c8nk2hg1xy4h4646ajpq65dnu, 9tbzso59dbmu47ovroulv9rf8, 2bhgif1020mgkwuzkjebaf6s4",5567611605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5567611603,130,8,5567611607,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567725757,194,c4va4gt5g10zm05qtucgyt889,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783213,2,32,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-03-09T00:06:59.342Z,2025-03-09T00:06:59Z,,,,,5567723621,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783223,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-03-09T00:06:59.342Z,2025-03-09T00:07:03Z,,,,,5567723693,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783233,3,1,1,0,0,224tl8u2smnbyliroayk69nt0,1,50.3,50.0,2025-03-09T00:06:59.343Z,2025-03-09T00:07:04Z,d3b8yjlx6aitma59vlpen39m2,J. Garcia,,,5567723761,213,3.36,5567723755,140,30.0,5567723757,141,43.0,5567723753,56,Back,5567723759,212,21.8,5567723763,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783253,4,1,1,0,4,224tl8u2smnbyliroayk69nt0,1,30.2,40.4,2025-03-09T00:07:03.576Z,2025-03-09T00:07:07Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5567723877,140,39.6,5567723881,212,25.0,5567723875,56,Back,5567723883,213,5.12,5567723879,141,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783301,5,1,1,0,7,224tl8u2smnbyliroayk69nt0,0,43.9,8.2,2025-03-09T00:07:06.927Z,2025-03-09T00:58:09Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5567724173,213,0.22,5567724165,56,Center,5567724171,212,54.6,5567724163,155,,5567724167,140,94.7,5567724169,141,25.6,5567724175,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783433,3,5,1,0,17,6597wqy6gmpv3zjx7rp8cdj46,1,-1.6,72.1,2025-03-09T00:07:16.390Z,2025-03-09T02:39:17Z,bjdoqj8tsm1wlxiqaavduwo9h,C. Donovan,,,5567725021,346,,5567725023,233,6,5567725019,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783353,6,5,1,0,17,224tl8u2smnbyliroayk69nt0,0,101.6,27.9,2025-03-09T00:07:16.390Z,2025-03-09T02:39:17Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5567725043,233,3,5567724525,56,Center,5567724527,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783473,4,1,1,0,43,6597wqy6gmpv3zjx7rp8cdj46,0,4.8,38.8,2025-03-09T00:07:43.195Z,2025-03-09T00:07:46Z,ac5zpx8c09rtmidm654e67xsl,J. McGuire,,,5567725147,1,,5567725137,56,Center,5567725143,212,53.7,5567725149,74,,5567725139,140,55.1,5567725141,141,24.3,5567725135,124,,5567725145,213,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,
