id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/15/value,qualifier/8/value,qualifier/14/value
2822674151,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-06-14T23:50:46.942Z,2025-06-15T04:12:00Z,,,,,5771300651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771300649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5771393855,197,29753,5771300641,30,"7y56spdjsagw833hgo5ranvf9, 9xjixcn3jhf7m75dl49u0qe7e, d74g09o22jua08rgr8e71x4kq, 39jhew6iao7uriko5shx2tnje, e23yyl43xtcve09dx234uuj8, 3csngjh4kjgpkfayppiwfbw2c, dv155f8jlvq8frvhjcokboiy1, 6ahu72g0u39bxbjiz7ggefai1, 6naqq6f6acfec3zh2msuxrmqd, 74bhj4xi5zgq6evsr4c766p04, c0of0cn2tec0yn2vtwdqgxxpl, cdaayu6d9xzn4gyn5jg5p6vl6, 7lzda1yh1eixs7rqn46y1ulpm, 6m158yzashjy4y3dcbresua22, dt8nthxqalx3bhz723zdty39w, a5h691d1wvz871qz9t1cmi68k, 281ieftii7id7an6dm505owrt, 9j5kxdshj31du1psnt8cp6has, bb524gi3hf6soharvgp7bumtw",5771354895,194,7y56spdjsagw833hgo5ranvf9,5771300643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5771300647,130,7,5771300645,59,"1, 2, 23, 17, 51, 34, 12, 8, 29, 10, 9, 13, 14, 22, 38, 44, 80, 83, 88",,,,,,,,,,,,,,,,,,,,,,,,,,,
2822675547,1,34,16,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-06-14T23:53:46.968Z,2025-06-15T04:00:26Z,,,,,5771308493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5771308495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771410259,197,29717,5771308489,59,"99, 47, 12, 6, 14, 91, 21, 5, 10, 8, 37, 9, 22, 25, 26, 39, 77",5771308491,130,8,5771308485,30,"6j9gbfyvpr5lqp6aak54597ca, 2imizu6je16b3ssheijycxjh1, 64amlcisr3cr924jwy25rjs9h, do5q14naxm61jw8px8qvacn4k, 5ku33b8dbb20fhqdg8h83rdyi, d99eakp27bro9g50wpzti8rca, dks0ibq4b4i2w3bcc05v8rhn8, bw0h202lprp7jzdtp6hv78ixh, 87pe681vhgbb6plpej3tr74oa, 109e64uz1hq4tb3rspek41qll, 441plehxckmdj5gb2mr6y8ne2, 1d20nyyvmp0doobj6heejkowk, 8svvdqi69pc6it7mnin50q68k, ar3kru8u2ahrmouc4db1i9no4, 1e1wh213cg8q6lsqa3kvbjdka, 3me8mlpj9tgn82v2mwyibpkb8, cdyrj15oxu3l5sgzgwof8ohgq",5771419441,194,d99eakp27bro9g50wpzti8rca,5771308487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2822693935,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-06-15T00:37:16.654Z,2025-06-15T00:37:17Z,,,,,5771411067,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822693927,2,32,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-06-15T00:37:16.654Z,2025-06-15T00:37:16Z,,,,,5771411045,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822693943,3,1,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,50.1,50.0,2025-06-15T00:37:16.655Z,2025-06-15T00:37:19Z,dks0ibq4b4i2w3bcc05v8rhn8,A. Dalou,,,5771411109,213,3.83,5771411101,56,Back,5771411111,279,S,5771411103,140,38.5,5771411107,212,15.8,5771411105,141,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822693955,4,1,1,0,2,aj8ytsr2ap33tod0hd8ofzaw9,0,40.0,31.9,2025-06-15T00:37:19.400Z,2025-06-15T00:37:22Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5771411177,56,Left,5771411175,157,,5771411181,141,95.9,5771411185,213,0.72,5771411179,140,86.8,5771411183,212,65.6,5771411187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822693971,3,12,1,0,5,2iwybwokic7nmr1t33abdbjoq,1,20.4,5.8,2025-06-15T00:37:22.283Z,2025-06-15T00:37:38Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5771411279,141,0.0,5771411283,213,6.07,5771411983,167,,5771411281,212,23.1,5771411981,15,,5771411277,140,41.9,5771411275,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822693973,4,5,1,0,8,2iwybwokic7nmr1t33abdbjoq,0,39.6,-1.2,2025-06-15T00:37:24.937Z,2025-06-15T01:41:27Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5771411287,347,,5771411285,56,Back,5771411561,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694013,5,5,1,0,8,aj8ytsr2ap33tod0hd8ofzaw9,1,60.4,101.2,2025-06-15T00:37:24.937Z,2025-06-15T01:41:27Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5771411499,56,Left,5771411501,347,,5771411523,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694049,6,1,1,0,14,aj8ytsr2ap33tod0hd8ofzaw9,0,65.5,100.0,2025-06-15T00:37:30.785Z,2025-06-15T01:37:24Z,64amlcisr3cr924jwy25rjs9h,L. Stauffer,,,5771411689,56,Left,5771411695,212,17.8,5771411693,141,90.2,5771411697,213,5.83,5771411687,107,,5771411691,140,80.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694039,5,8,1,0,16,2iwybwokic7nmr1t33abdbjoq,1,26.8,10.0,2025-06-15T00:37:33.065Z,2025-06-15T00:37:33Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5771411641,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694053,7,50,1,0,16,aj8ytsr2ap33tod0hd8ofzaw9,1,76.4,90.4,2025-06-15T00:37:33.648Z,2025-06-15T00:37:39Z,87pe681vhgbb6plpej3tr74oa,K. ElMedkhar,,,5771411707,286,,5771411705,56,Left,5771411791,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694061,6,7,1,0,16,2iwybwokic7nmr1t33abdbjoq,0,23.6,9.6,2025-06-15T00:37:33.649Z,2025-06-15T00:37:38Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5771411739,285,,5771411737,56,Back,5771411749,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694079,8,1,1,0,18,aj8ytsr2ap33tod0hd8ofzaw9,1,77.3,90.3,2025-06-15T00:37:34.712Z,2025-06-15T00:37:35Z,87pe681vhgbb6plpej3tr74oa,K. ElMedkhar,,,5771411829,141,93.6,5771411833,213,2.71,5771411831,212,5.3,5771411825,56,Left,5771411827,140,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694087,9,1,1,0,18,aj8ytsr2ap33tod0hd8ofzaw9,1,72.7,94.1,2025-06-15T00:37:35.600Z,2025-06-15T00:37:36Z,64amlcisr3cr924jwy25rjs9h,L. Stauffer,,,5771411863,140,68.8,5771411867,212,8.4,5771411861,56,Left,5771411865,141,83.3,5771411869,213,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694121,10,1,1,0,20,aj8ytsr2ap33tod0hd8ofzaw9,1,68.8,83.3,2025-06-15T00:37:36.722Z,2025-06-15T00:37:41Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,5771412075,212,22.2,5771412069,56,Left,5771412077,213,0.31,5771412071,140,88.9,5771412073,141,93.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694131,11,1,1,0,24,aj8ytsr2ap33tod0hd8ofzaw9,1,89.7,82.9,2025-06-15T00:37:41.017Z,2025-06-15T00:37:42Z,109e64uz1hq4tb3rspek41qll,J. Webber,,,5771412129,212,12.6,5771412131,213,4.49,5771412125,140,87.0,5771412127,141,64.8,5771412123,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694141,12,3,1,0,25,aj8ytsr2ap33tod0hd8ofzaw9,0,84.2,67.0,2025-06-15T00:37:42.538Z,2025-06-15T01:41:56Z,87pe681vhgbb6plpej3tr74oa,K. ElMedkhar,,,5771412159,286,,5771412259,233,7,5771412157,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694151,7,7,1,0,25,2iwybwokic7nmr1t33abdbjoq,1,15.8,33.0,2025-06-15T00:37:42.539Z,2025-06-15T01:41:56Z,39jhew6iao7uriko5shx2tnje,J. Scearce,,,5771412191,56,Back,5771412193,285,,5771412239,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694155,8,43,1,0,27,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-06-15T00:37:43.922Z,2025-06-15T00:37:50Z,39jhew6iao7uriko5shx2tnje,J. Scearce,,,5771412207,212,0,5771412203,140,27.1,5771412369,144,1,5771412205,141,27.4,5771412199,155,0,5771412201,56,Back,5771412209,213,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694157,9,43,1,0,27,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-06-15T00:37:43.946Z,2025-06-15T00:37:51Z,39jhew6iao7uriko5shx2tnje,J. Scearce,,,5771412465,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694173,11,1,1,0,27,2iwybwokic7nmr1t33abdbjoq,0,27.1,27.4,2025-06-15T00:37:44.206Z,2025-06-15T00:37:46Z,39jhew6iao7uriko5shx2tnje,J. Scearce,,,5771412297,213,5.99,5771412293,141,15.9,5771412291,140,51.7,5771412295,212,27.0,5771412289,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694175,13,8,1,0,30,aj8ytsr2ap33tod0hd8ofzaw9,1,63.9,71.8,2025-06-15T00:37:46.888Z,2025-06-15T00:37:46Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,,5771412301,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694215,15,1,1,0,31,aj8ytsr2ap33tod0hd8ofzaw9,1,64.6,70.5,2025-06-15T00:37:48.593Z,2025-06-15T00:37:51Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,5771412483,140,78.8,5771412487,212,20.4,5771412481,56,Left,5771412485,141,90.9,5771412489,213,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822694229,16,1,1,0,34,aj8ytsr2ap33tod0hd8ofzaw9,1,77.8,89.6,2025-06-15T00:37:51.576Z,2025-06-15T00:37:55Z,109e64uz1hq4tb3rspek41qll,J. Webber,,,5771412609,56,Left,5771412615,212,14.9,5771412611,140,91.6,5771412617,213,0.22,5771412613,141,94.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
