id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2813063835,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-10T22:36:00.634Z,2025-05-11T02:40:09Z,,,,5717875185,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5717875181,130,13,5717875183,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5717875179,59,"1, 3, 13, 23, 5, 16, 2, 42, 9, 10, 14, 4, 6, 8, 15, 18, 20, 31, 70",5717952399,194,c4va4gt5g10zm05qtucgyt889,5717875177,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5717875175,30,"a9lytq2ddavywxo7ib8uzbj6x, 8pli7fk5kjmt0f9pl6sjsltuy, 69pe2d0b9ughzcn3iqarracr8, 6omt3lirajdcqxcbhzk9sobmx, 3g0rdzkjns986gn34vg3umiqy, 1445ppxg007udzcj6t20ceyju, c4va4gt5g10zm05qtucgyt889, 6jsu34146kbtoeco3ue1a7ok4, 9jfh2t3w4aqc4o4rvjfk7xey1, aqqbh1ugeh2f8jjiq8fu2qwru, e8rbnbqkrxia3lgt7agaid4kq, 5h4ldsd3uwkk4wxr9iqi5kqy2, 6emdaopgvgmxzmuj4bu1tz7my, cxrjwzo1fmvgcw8i820hwn07p, 1l26kd7tulii6x999b3fdxi0a, d3b8yjlx6aitma59vlpen39m2, 2d1vmwon9o35lzpkdwxgv12lm, 9tbzso59dbmu47ovroulv9rf8, 2bhgif1020mgkwuzkjebaf6s4",5718041267,197,23591,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813064379,1,34,16,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-05-10T22:37:01.626Z,2025-05-11T02:52:00Z,,,,5717877977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5717877973,59,"1, 15, 2, 32, 24, 4, 8, 17, 25, 16, 7, 5, 9, 11, 12, 13, 27, 31",5717877971,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5717877969,30,"a3k4grlhkn63p3xfb2rzslkdm, aomjkj5s52jkzgk3ljsz0osiy, cla0i94uyddjw7jzqoyfsplre, 42hi96pvzz8f69ixlcncn0549, 5rdtu4wmswu65eqjjw38uao0k, 9gvsswyf0gzxekrjdkpuqrh0p, 1xb2wmuzlhgo6vt7f9yl2rnkk, d2ny0huv78m4m6p65y8eou7oq, 3hb6yji6u8ftefif91lfrbtre, achy1l1rfq2d4ftn6l1esht9m, cxscznjyygtsgbajv08q04sq2, e2rv433ve4ytatjl94dcz1hm2, 35bpd9cmuep6cqczngaqpc19m, bteydgv4om5ylyoznx9vesogl, hglsr5ybsi6bsl178ge0c31m, 7f1q3d59u9n16v9xrskfxqsq1, 486r7pszrdk085ot7cy2008dm, 15jb2rb0mvhaz492ii7yqrk6h",5717877975,130,13,5718033547,197,18847,5718033545,194,42hi96pvzz8f69ixlcncn0549,5717877979,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094127,2,32,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-05-10T23:36:35.158Z,2025-05-10T23:36:35Z,,,,5718044033,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094133,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-10T23:36:35.158Z,2025-05-10T23:36:38Z,,,,5718044061,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094139,3,1,1,0,0,224tl8u2smnbyliroayk69nt0,1,50.5,50.0,2025-05-10T23:36:35.263Z,2025-05-10T23:36:39Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,5718044095,213,3.49,5718044097,279,S,5718044091,141,38.8,5718044093,212,22.5,5718044087,56,Back,5718044089,140,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094175,4,1,1,0,3,224tl8u2smnbyliroayk69nt0,1,34.7,35.7,2025-05-10T23:36:38.788Z,2025-05-10T23:36:41Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,5718044351,140,45.0,5718044357,213,5.37,5718044353,141,15.2,5718044355,212,17.6,5718044349,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094199,5,1,1,0,6,224tl8u2smnbyliroayk69nt0,1,46.2,15.5,2025-05-10T23:36:41.324Z,2025-05-11T00:32:50Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5718044489,141,14.4,5718044487,140,68.3,5718044493,213,6.25,5718044491,212,23.2,5718044485,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094207,6,1,1,0,9,224tl8u2smnbyliroayk69nt0,1,67.6,14.7,2025-05-10T23:36:44.684Z,2025-05-11T00:33:11Z,aqqbh1ugeh2f8jjiq8fu2qwru,B. Jacquesson,,5718044545,212,12.5,5718044543,141,32.4,5718044547,213,1.31,5718044541,140,70.7,5718262889,168,,5718044539,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094225,7,1,1,0,10,224tl8u2smnbyliroayk69nt0,1,71.0,32.4,2025-05-10T23:36:45.628Z,2025-05-10T23:36:48Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,5718044697,56,Right,5718044705,213,3.82,5718044701,141,20.6,5718044703,212,12.7,5718044699,140,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813094241,8,1,1,0,12,224tl8u2smnbyliroayk69nt0,1,65.7,19.5,2025-05-10T23:36:47.884Z,2025-05-10T23:36:50Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5718044791,56,Right,5718044797,212,10.1,5718044793,140,58.1,5718044795,141,10.4,5718044799,213,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
