id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2821659027,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-06-07T22:00:22.615Z,2025-06-08T01:31:13Z,,,,,5765626955,130,18,5765626953,59,"1, 3, 8, 23, 5, 13, 15, 42, 14, 2, 9, 4, 6, 10, 12, 18, 28, 31, 70",5765626959,194,c4va4gt5g10zm05qtucgyt889,5765673829,197,29757,5765626961,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5765626949,30,"a9lytq2ddavywxo7ib8uzbj6x, 8pli7fk5kjmt0f9pl6sjsltuy, cxrjwzo1fmvgcw8i820hwn07p, 6omt3lirajdcqxcbhzk9sobmx, 3g0rdzkjns986gn34vg3umiqy, 69pe2d0b9ughzcn3iqarracr8, 1l26kd7tulii6x999b3fdxi0a, 6jsu34146kbtoeco3ue1a7ok4, e8rbnbqkrxia3lgt7agaid4kq, c4va4gt5g10zm05qtucgyt889, 9jfh2t3w4aqc4o4rvjfk7xey1, 5h4ldsd3uwkk4wxr9iqi5kqy2, 6emdaopgvgmxzmuj4bu1tz7my, aqqbh1ugeh2f8jjiq8fu2qwru, b8lkxvf7fa96tvblx4ilcg2ui, d3b8yjlx6aitma59vlpen39m2, c8nk2hg1xy4h4646ajpq65dnu, 9tbzso59dbmu47ovroulv9rf8, 2bhgif1020mgkwuzkjebaf6s4",5765626957,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5765626951,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821659443,1,34,16,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-06-07T22:04:30.590Z,2025-06-08T01:33:28Z,,,,,5765629189,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5765629197,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5765629191,59,"21, 2, 3, 30, 4, 12, 45, 6, 23, 7, 9, 10, 11, 13, 14, 24, 91, 99",5765968507,197,29710,5765971187,194,7lnb14nmxv9gggyedv3tydvdg,5765629199,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5765629193,130,12,5765629187,30,"974nt2pay3nvbe8uyzx0qdhxw, 7jizpx7yu2zxvcrnf9z4408vd, 62d3tsany7t5t2bwm4cx9pbai, 7lnb14nmxv9gggyedv3tydvdg, b3ktzeb8cz6vl5snbrtnpzw4q, 9jc85hbpruze4v8u1pjzsjt62, a6nj3s6nhav0ybrnhla1m67mc, 6rnuvzwbmj7qv80xlwkjvqnkl, cujkrjaqaizwr771ist04uaj9, 8d6e9axgsli468lnomdbcgu6t, 3ldhrzekr0tztaxr3sc8mmg2x, 9irc1xmfpa2395qef78rfyjje, 70axpxvnx40ax7oxri5pmz9qs, 597hrrj3moomrcd2d95yk12w9, 2axflqcowldpal1ffaf2lw3dg, 63td0sigm6tp2tg8yovf5npm2, 8q0b0qnmebzt9v4he9o3k7rbo, tc5nl1hz1w06jobp5ckktr3e",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667777,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-06-07T23:07:14.632Z,2025-06-07T23:07:19Z,,,,,5765675971,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667767,2,32,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-06-07T23:07:14.632Z,2025-06-07T23:07:14Z,,,,,5765675943,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667793,3,1,1,0,0,224tl8u2smnbyliroayk69nt0,1,49.7,50.0,2025-06-07T23:07:14.633Z,2025-06-07T23:07:19Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5765676071,213,3.10,5765676067,141,51.3,5765676069,212,22.7,5765676063,56,Back,5765676065,140,28.1,5765676073,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667805,4,1,1,0,3,224tl8u2smnbyliroayk69nt0,1,29.2,46.1,2025-06-07T23:07:17.976Z,2025-06-07T23:07:21Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5765676155,141,21.5,5765676153,140,38.4,5765676159,213,5.24,5765676151,56,Back,5765676157,212,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667827,5,1,1,0,7,224tl8u2smnbyliroayk69nt0,1,58.2,18.6,2025-06-07T23:07:21.777Z,2025-06-07T23:07:25Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5765676269,140,60.0,5765676265,196,,5765676277,1,,5765676271,141,81.2,5765676275,213,1.53,5765676273,212,42.6,5765676267,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667841,6,1,1,0,10,224tl8u2smnbyliroayk69nt0,1,60.1,83.6,2025-06-07T23:07:25.457Z,2025-06-07T23:07:27Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5765676347,140,43.0,5765676353,213,3.15,5765676351,212,18.0,5765676349,141,83.3,5765676345,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667879,7,1,1,0,12,224tl8u2smnbyliroayk69nt0,1,43.7,77.3,2025-06-07T23:07:27.625Z,2025-06-07T23:07:34Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,,5765676539,140,78.6,5765676535,155,,5765676541,141,81.8,5765676547,1,,5765676543,212,36.8,5765676545,213,0.08,5765676537,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667885,8,1,1,0,19,224tl8u2smnbyliroayk69nt0,0,77.2,82.7,2025-06-07T23:07:33.986Z,2025-06-07T23:07:35Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5765676557,56,Left,5765676561,141,100.0,5765676565,213,2.17,5765676563,212,15.9,5765676559,140,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
