id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/14/value
2810725669,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-05-04T22:16:51.651Z,2025-05-05T01:50:21Z,,,,,5704865445,194,1j010cibh247p8kjchww6ny3u,5704865435,30,"isauuse3yqdwymvfne6ci385, f2nxaemhqi8kbtbejnqekgd4a, 1vnfc466lc01fdfhyvzt8fhii, 9x7teazvqgbnj3pnam6rf2xgp, 1j010cibh247p8kjchww6ny3u, b32tamno8dpk5te2oq7d9a6t, djz5cm1g7ouen2y4o7w35jbl6, ewibb8s7p2l6f5sekvkqu4a5m, 7d326gljgym4qtmxvx5t5poq2, 6d45ccicyo6dregi9cm4ad4kq, 2m28wyud6xi78nt8e92p9keay, 2ozy3ijlcknjqk0omzwd58x2i, a8ngovgs2qfu5udzb97kelg16, 6hdas9nshfgbjhj91y3ob8b11, b0zo05bu61v32nw35mriue0yy, 9ij293r1mbtygl6v3u2s43i3u, 19addig7dyotjybbwgbjkft2h, 8bwjj53jwbsi0emx370uka5g4",5705215893,197,28468,5704865447,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5704865441,130,21,5704865437,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5704865443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5704865439,59,"1, 22, 28, 6, 2, 5, 31, 7, 9, 20, 11, 4, 8, 13, 14, 15, 17, 18",,,,,,,,,,,,,,,,,,,,,,,,
2810728285,1,34,16,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-05-04T22:21:45.375Z,2025-05-05T03:01:27Z,,,,,5704988991,197,23577,5704878739,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5704878743,130,2,5704878737,30,"amy6q1u6b1rvlsudoc73mj2ms, 96qlwmkrab9h7xt93jzgl384p, 1460tac94fhhy43lmohs4fj3e, fm9i7pzwi2diu6i18kycmx1x, eqopj1p3a2ehzpwlj90laswoa, d539xjkdwt1i77f0czbvo8ull, bolmgcfvbdizfyh6n9oz4xjsa, cyignmjprj3whvban361mclm2, am7umg00yxt40mndzo6e0u3o4, eqge8se9qvv9oqyivp267l016, e5nj82ezbq0x6zdzdh4quyxn9, cvi9u3v3krlkbvwcwjqztzvca, 864l8bcr288r74g3tmt1eqfe2, arrb65a3pfk77637pdxagaxyi, aqb7f88ta15ve8izh5zy9paz9, 3bpj0qbeokaqc33aro8v7qpec, c14ntw6zvozswy685dztldl1x, bzs1s1yntau3dvzyvn6t7t785, 1xkff6cxd8zycnd3n3odmvai1, 9w4hxsqx1uixdvlo4lp47gums",5704878741,59,"31, 2, 4, 8, 13, 21, 7, 5, 9, 18, 10, 3, 11, 12, 17, 19, 22, 26, 30, 34",5704878747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5705422207,194,e5nj82ezbq0x6zdzdh4quyxn9,5704878745,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2810750315,2,32,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-05-04T23:07:20.353Z,2025-05-04T23:07:20Z,,,,,5704993081,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750319,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-05-04T23:07:20.353Z,2025-05-04T23:07:23Z,,,,,5704993087,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750353,3,1,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,50.2,49.9,2025-05-04T23:07:20.354Z,2025-05-04T23:07:25Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5704993233,212,22.5,5704993237,279,S,5704993231,141,53.1,5704993229,140,28.9,5704993227,56,Back,5704993235,213,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750367,4,1,1,0,4,bu5w8wprynlj9mvphvy8sd94f,1,28.7,53.0,2025-05-04T23:07:25.276Z,2025-05-04T23:15:55Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5704993329,212,17.3,5704993323,56,Back,5704993331,213,4.69,5704993325,140,28.4,5704993327,141,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750389,5,1,1,0,6,bu5w8wprynlj9mvphvy8sd94f,1,28.4,27.6,2025-05-04T23:07:26.852Z,2025-05-04T23:16:23Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5704993435,140,32.0,5704993437,141,7.3,5704993441,213,4.98,5704993433,56,Back,5704993439,212,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750393,6,1,1,0,9,bu5w8wprynlj9mvphvy8sd94f,0,33.4,6.8,2025-05-04T23:07:30.068Z,2025-05-04T23:07:44Z,1460tac94fhhy43lmohs4fj3e,N. Cardona,,,5704993463,56,Right,5704993469,212,23.3,5704993467,141,7.0,5704993471,213,0.01,5704993461,155,,5704993465,140,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750401,3,1,1,0,10,kfq8fhwnmycbtad1u0fyefx0,0,42.8,73.9,2025-05-04T23:07:31.011Z,2025-05-04T23:07:31Z,1vnfc466lc01fdfhyvzt8fhii,S. Guediri,,,5704993515,1,,5704993505,56,Left,5704993509,141,100.0,5704993503,157,,5704993513,213,0.85,5704993507,140,58.3,5704993511,212,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810750405,4,5,1,0,11,kfq8fhwnmycbtad1u0fyefx0,0,57.6,101.5,2025-05-04T23:07:31.640Z,2025-05-05T02:27:51Z,1vnfc466lc01fdfhyvzt8fhii,S. Guediri,,,5704993525,347,,5704994089,233,7,5704993523,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
