id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId
2793034333,1,34,16,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-03-29T19:06:04.783Z,2025-03-29T20:05:30Z,,,,,5607456785,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5607456773,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5607456783,194,42hi96pvzz8f69ixlcncn0549,5607781945,197,18847,5607456775,59,"1, 2, 13, 32, 5, 4, 17, 6, 9, 16, 7, 8, 12, 15, 24, 25, 27, 31, 80",5607456771,30,"a3k4grlhkn63p3xfb2rzslkdm, cla0i94uyddjw7jzqoyfsplre, 7f1q3d59u9n16v9xrskfxqsq1, 42hi96pvzz8f69ixlcncn0549, e2rv433ve4ytatjl94dcz1hm2, 9gvsswyf0gzxekrjdkpuqrh0p, d2ny0huv78m4m6p65y8eou7oq, 869lv47g5aohwwzeyzx9xmt7u, 35bpd9cmuep6cqczngaqpc19m, achy1l1rfq2d4ftn6l1esht9m, cxscznjyygtsgbajv08q04sq2, 1xb2wmuzlhgo6vt7f9yl2rnkk, hglsr5ybsi6bsl178ge0c31m, aomjkj5s52jkzgk3ljsz0osiy, 5rdtu4wmswu65eqjjw38uao0k, 3hb6yji6u8ftefif91lfrbtre, 486r7pszrdk085ot7cy2008dm, 15jb2rb0mvhaz492ii7yqrk6h, cf744cscgw47rjb18w08wstuc",5607456779,130,13,5607456781,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,
2793034947,1,34,16,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-03-29T19:06:36.083Z,2025-03-29T20:05:28Z,,,,,5607781851,197,26575,5607460169,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5607460183,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5607460177,130,18,5607460173,59,"21, 2, 3, 30, 5, 12, 6, 45, 10, 9, 7, 4, 11, 16, 23, 33, 39, 99",5607460165,30,"974nt2pay3nvbe8uyzx0qdhxw, 7jizpx7yu2zxvcrnf9z4408vd, 62d3tsany7t5t2bwm4cx9pbai, 7lnb14nmxv9gggyedv3tydvdg, 28a0n53jofx4bk7vd74yqcb11, 9jc85hbpruze4v8u1pjzsjt62, 6rnuvzwbmj7qv80xlwkjvqnkl, a6nj3s6nhav0ybrnhla1m67mc, 9irc1xmfpa2395qef78rfyjje, 3ldhrzekr0tztaxr3sc8mmg2x, 8d6e9axgsli468lnomdbcgu6t, b3ktzeb8cz6vl5snbrtnpzw4q, 70axpxvnx40ax7oxri5pmz9qs, d69lweta8e4vd3mk83lk0nvt, cujkrjaqaizwr771ist04uaj9, 653qyopyxl1qrfmul2n3m5g16, 1nw1tmtpagpr647obkvygwgr9, tc5nl1hz1w06jobp5ckktr3e",5607460181,194,28a0n53jofx4bk7vd74yqcb11,5607460179,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,
2793092995,2,32,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-03-29T20:06:44.771Z,2025-03-29T20:06:45Z,,,,,5607787619,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093011,2,32,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-03-29T20:06:44.771Z,2025-03-29T20:06:48Z,,,,,5607787719,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093069,3,1,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,49.8,50.4,2025-03-29T20:06:44.772Z,2025-03-29T20:06:49Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5607788057,56,Back,5607788063,212,16.0,5607788065,213,2.80,5607788067,279,S,5607788061,141,58.2,5607788059,140,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093091,4,1,1,0,2,b1rpb2ox52uxcmjrsnqd95pk5,1,35.4,58.2,2025-03-29T20:06:47.565Z,2025-03-29T20:06:50Z,a6nj3s6nhav0ybrnhla1m67mc,M. Polisi,,,5607788215,213,4.56,5607788205,56,Back,5607788207,140,32.6,5607788213,212,18.8,5607788211,141,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093105,5,1,1,0,5,b1rpb2ox52uxcmjrsnqd95pk5,1,34.7,24.4,2025-03-29T20:06:50.597Z,2025-03-29T20:06:52Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5607788299,140,40.4,5607788303,212,6.6,5607788297,56,Back,5607788301,141,28.6,5607788305,213,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093143,6,1,1,0,7,b1rpb2ox52uxcmjrsnqd95pk5,1,43.5,28.8,2025-03-29T20:06:52.317Z,2025-03-29T20:06:55Z,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,,,5607788523,56,Back,5607788531,213,3.72,5607788527,141,21.2,5607788525,140,36.0,5607788529,212,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093173,7,1,1,0,10,b1rpb2ox52uxcmjrsnqd95pk5,1,38.0,20.4,2025-03-29T20:06:55.004Z,2025-03-29T20:06:58Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5607788767,213,2.19,5607788765,212,11.8,5607788759,56,Back,5607788761,140,31.5,5607788763,141,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093201,8,1,1,0,13,b1rpb2ox52uxcmjrsnqd95pk5,1,30.9,38.0,2025-03-29T20:06:58.244Z,2025-03-29T20:07:01Z,28a0n53jofx4bk7vd74yqcb11,S. Carroll,,,5607788957,212,21.4,5607788953,141,69.4,5607788947,56,Back,5607788959,213,1.65,5607788949,140,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
