id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2792914413,1,34,16,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-03-29T17:15:11.760Z,2025-03-29T19:08:48Z,,,,,5606802303,59,"77, 2, 19, 6, 30, 4, 81, 94, 9, 17, 11, 7, 8, 15, 22, 28, 29, 44, 71",5606802301,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5606802299,30,"crhe42indjb3mb7di7yh1zndg, 8qqehla9xvhut6uua4a0zcju2, 6tesoh4ckbbkisphokig9yqz8, 9blzzcpytqe7o9rdte1s6mw6i, 984jr9d6sbi5l5vt9ct1b6cph, 38ghqgck8fwnxap6em08avzs9, lu2g4n0jcfxk41i8ro05ad5g, 6pqwh2z47uwgr9u9y8n79ppzp, 9izknjlz6zunwjpo4u94q855g, 3ei1s8oyub83owfxxbsygmsmi, dkk3twgai2ldi75eh0xr37hbe, b7pzjfl5fuvivmc2x9defzfmx, 16si0dgkuqvahp0x1bjr37xuc, dqvxmefhimxvxstvlz5yd7ysp, c7q476j0dkl7e4fhqqlsp5rai, cjn2oln0v5o7x7unmsk305250, 9ie6oja1bojocjl4fg4wingno, 8ecb1shzu9migh6lv1bnku8es, 5r88subg9jy8zg4y97tzwzxm1",5607099093,197,6212,5606802309,194,38ghqgck8fwnxap6em08avzs9,5606802311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5606802305,130,8,5606802307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792916563,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-03-29T17:17:17.294Z,2025-03-29T20:23:22Z,,,,,5606813797,30,"8y556fvv7asmfouaica4nbai1, 1jhs3g95t0ah1hx3fwlo14kmi, 7vs1eqm82fwwuhwfqodb3dyw9, 2mxaagzu9rb92z9880yjllbzd, 9hqo1ykdlw9iv4tlo8d3vu9ec, 8gy9wgqywaqi9uy6i31i0q21h, 7ctc1xui7wk89o5v00z8ijqw9, 7ajceczjsu9ci4nqv9gg2860a, cqmvrx028gh19yh8qh7w01y0a, 3lndo247f4br8t6xxdvlij4a2, 2mgcta30puk8kuwb5mo4zvcnp, cuw4kvdf0bazq87mh3dwv71ii, 9qjkqhlworzz3lk1o6nc191ih, 9lucpehmfe4z2vdlica1kc9d6, 6fgxgq77v66va16tcuqvyn6x, 7ll9dqayz9698v71x2pvgrspg, dowfebdy2qnsz8hkj0ilrux62, c4g35kho1qirnu4q420knnl9m",5606813805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5606813807,194,8gy9wgqywaqi9uy6i31i0q21h,5606813801,59,"23, 24, 12, 3, 7, 25, 6, 8, 14, 13, 10, 1, 9, 11, 16, 18, 21, 30",5606813799,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5606813809,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5606813803,130,13,5607088597,197,8026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792968101,2,32,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-03-29T18:06:24.304Z,2025-03-29T18:06:27Z,,,,,5607091823,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792968083,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-03-29T18:06:24.304Z,2025-03-29T18:06:24Z,,,,,5607091741,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792968189,3,1,1,0,0,5h878vnmkbuy2ummddprusxgq,1,50.0,50.0,2025-03-29T18:06:24.305Z,2025-03-29T21:13:04Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5607092283,213,3.55,5607092285,279,S,5607092279,141,46.4,5607092287,278,,5607092281,212,6.2,5607092275,56,Back,5607092277,140,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792968191,4,1,1,0,1,5h878vnmkbuy2ummddprusxgq,1,44.6,46.4,2025-03-29T18:06:26.160Z,2025-03-29T18:06:28Z,7ctc1xui7wk89o5v00z8ijqw9,E. Calvillo,,,5607092297,56,Back,5607092307,213,1.73,5607092303,212,11.2,5607092301,141,62.6,5607092299,140,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792968227,5,1,1,0,3,5h878vnmkbuy2ummddprusxgq,1,42.9,62.6,2025-03-29T18:06:27.656Z,2025-03-29T18:06:30Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5607092501,140,41.4,5607092507,213,1.66,5607092503,141,88.0,5607092499,56,Back,5607092505,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792968313,6,1,1,0,5,5h878vnmkbuy2ummddprusxgq,1,41.4,88.0,2025-03-29T18:06:30.113Z,2025-03-29T18:06:34Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5607092997,56,Back,5607093001,141,86.5,5607092999,140,21.5,5607093005,213,3.19,5607093003,212,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792968359,7,1,1,0,9,5h878vnmkbuy2ummddprusxgq,0,31.3,82.3,2025-03-29T18:06:33.849Z,2025-03-29T18:06:35Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,,5607093273,141,83.5,5607093269,56,Left,5607093279,1,,5607093271,140,65.6,5607093267,155,,5607093277,213,0.02,5607093275,212,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792968423,3,43,1,0,14,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-03-29T18:06:38.305Z,2025-03-29T18:06:42Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5607093603,56,Back,5607093605,285,0,5607094089,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
