id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2812274429,1,34,16,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-05-09T22:05:55.922Z,2025-05-09T23:04:53Z,,,,,5713581701,30,"9zolq6c0x4ubmtfusbz2c3xwq, 6o5jqx64vum71hh2olnrb4178, 52qwgcxm3vpgabixc8c2i3aax, f1j8v0figkewc23fmaexubo4p, ds74l5fmanizrflvvfkl42pcl, a2crcglwdookm6m397dxw2qdw, 5nv5d35t6x08kuujy5qptrlec, 8sydisziijh84elb8dprtlduy, 6ydk69km9oe49cg6plrc6u0wk, 3sp46qr51lu5o2213enn5xtjp, 6kp2pv58u27yf5tnclyhnuoh6, k3rif7polxoazy70fu2013op, 1ua1e9ceddhcmq80ywq2ihd6, ersabc33m0ihy01uxccpnon4k, 7d1v02o7kk9guqpn77xzgtvu2, 4eo92l592013pjmwitoxmuyvo, 3461sfmst5pjeiaof78d0efo, 46nav8x1n8s7c9zrmzo5eobje, 2m8m4aavjwesbh6oea1ta1vys",5713581707,130,7,5713581703,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5713581705,59,"1, 3, 23, 19, 5, 20, 11, 4, 17, 6, 7, 9, 10, 13, 14, 21, 24, 31, 33",5713639977,197,24407,5713581711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5713581709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5713638539,194,ds74l5fmanizrflvvfkl42pcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812275261,1,34,16,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-05-09T22:09:12.557Z,2025-05-10T01:27:36Z,,,,,5713586189,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5713586193,197,18636,5713586187,130,13,5713586183,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5713586181,30,"ac5zpx8c09rtmidm654e67xsl, 411grh3cytippnnanb767qvsa, 4l0iztasx0cae3j4f15d8gd4a, vg3ha8h2d35wgexer2i6ao0k, 6jdsh8ubirqphhurw5rr7kz8q, 9tknltys66s9j8ljchwu5efv9, f21web74a70mly9i28jpa1yvp, 1tsiml56f2xxym8h4tfjmho2c, 3cj2fww973bv21rfjlnu15yc4, ecipfh5r0gqsf0skgvgpu8cbu, 7ejohb009byubwiqv36vag5jo, 4avmtni30rahy4h40ffg89q6t, blkq1t8y0wnos6jxb0uwowwk5, 69wq859yz6wzirpbvpnt3n8bt, 68lho3sxw1cm1acgk4phg9wtm, bjdoqj8tsm1wlxiqaavduwo9h, 7i7ysz3j5bhwh0vzmijx1hgwl, 8e6kj3506n4gum041dok8v1ex, 6a6bagymcckyt43w6b31irsvd, 25yiwywy8abvc42fz2h9p81ec",5713586191,194,9tknltys66s9j8ljchwu5efv9,5713586195,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5713586185,59,"1, 14, 10, 66, 27, 5, 17, 15, 26, 16, 8, 9, 11, 13, 19, 20, 25, 44, 55, 71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812285285,2,32,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-05-09T23:08:20.163Z,2025-05-09T23:08:20Z,,,,,5713643725,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812285287,2,32,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-05-09T23:08:20.163Z,2025-05-10T15:48:46Z,,,,,5713643727,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812285291,3,1,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,50.2,50.3,2025-05-09T23:08:20.336Z,2025-05-09T23:09:12Z,f21web74a70mly9i28jpa1yvp,C. Martin,,,5713643739,212,19.7,5713643733,56,Back,5713643737,141,40.4,5713643735,140,32.6,5713643743,279,S,5713643741,213,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812285323,4,1,1,0,3,6597wqy6gmpv3zjx7rp8cdj46,1,32.4,36.7,2025-05-09T23:08:23.415Z,2025-05-09T23:08:28Z,9tknltys66s9j8ljchwu5efv9,P. Craig,,,5713643929,212,43.2,5713643925,140,72.2,5713643921,155,,5713643923,56,Right,5713643927,141,20.7,5713643933,1,,5713643931,213,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812285331,5,61,1,0,6,6597wqy6gmpv3zjx7rp8cdj46,1,71.2,19.8,2025-05-09T23:08:26.889Z,2025-05-10T01:31:31Z,7ejohb009byubwiqv36vag5jo,Pedro Dolabella,,,5713643961,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812301161,352,43,1,0,7,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-05-09T23:08:27.163Z,2025-05-10T15:51:51Z,8sydisziijh84elb8dprtlduy,N. Benalcázar,,,5715839269,144,61,5713735327,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812285517,3,12,1,0,8,cf5r1qpotp6n5i3vdchsp2en1,1,26.6,80.2,2025-05-09T23:08:29.134Z,2025-05-09T23:09:11Z,a2crcglwdookm6m397dxw2qdw,V. Latinovich,,,5713645107,140,58.9,5713645103,56,Left,5713645113,213,0.22,5713645111,212,34.7,5713645109,141,91.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812285355,6,1,1,0,11,6597wqy6gmpv3zjx7rp8cdj46,1,34.2,19.7,2025-05-09T23:08:31.725Z,2025-05-09T23:08:37Z,9tknltys66s9j8ljchwu5efv9,P. Craig,,,5713644089,56,Back,5713644095,212,24.5,5713644091,140,23.9,5713644097,213,2.03,5713644093,141,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
