id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2793031401,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-03-29T19:03:19.875Z,2025-03-29T23:13:51Z,,,,,5607440491,194,arrnspfznjcs9fmng4finp87p,5607440489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5607440487,130,18,5607440493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5607732181,197,23320,5607440483,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5607440485,59,"1, 12, 3, 5, 24, 15, 23, 8, 21, 9, 10, 11, 17, 18, 19, 20, 22, 77",5607440481,30,"arrnspfznjcs9fmng4finp87p, 8pqvmz8g1yhe7hqqc1d68c4mi, eg5pbxm7emj77mdcub4xp6m3u, couplbg5c1wzrb14ycd8f7h0p, c8svt3yazcfaq478j0cpbmbfu, f472o0229a6xev8qudf1tyf6y, duad6xilu5s6c7ul48b7gab1m, 2gsbai5bpg1fbullzvngv2l1w, 711t32tk6qwl567dngcldfw15, 2w38gs56nefz2s67peyzb10q1, 449e2muutlpvx9lhv1t2tcsmh, 9ch7zgxlcjiio0xbo2hhl2yvo, dltmx3e4llkcszs22cbfz92xg, 4vdbw63j0s7npezknabq6p7xm, 9nkrr0mwqni0mehkgw6nk5gfe, 9txqixk3uycvort3ntzkva1g5, a3l8f3a6rr93qyyaxhdfqq1yi, 1diaoqi51gzx23j4d5f8xc8b8",,,,,,,,,,,,,,,,,,,,,,,,,,,
2793044359,1,34,16,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-03-29T19:14:19.657Z,2025-03-29T20:05:10Z,,,,,5607513349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5607513353,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5607513351,197,23254,5607513347,130,8,5607780963,194,87n7hmq7f1q1avazbmwmcg222,5607513343,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5607513341,30,"7lmf6beyvhncglhw9avm40qju, 59kky4fyi0w9bdz4ow3gs95yi, 7ehcrcdv82ib5fkpo3498gpgp, db1h2huu8z1quj816wol1wgkp, dek9c2ef9ahynvfrk60d9tm5m, b6t0f1g03ixymivs4fbaiewic, 3y5650rx37d3hnh3sxzhaz7xl, 87n7hmq7f1q1avazbmwmcg222, ekzwxb68vg0w7o14zcq8n4vs9, 21vmi7qtrujzez3ziux0wa4et, agl19e1fx5123lk28avksxb3e, 6j5qn2b7t0165vl1t26v001zo, 2cu5uohq2rwhe2hy3y72zhc2y, 8xte0mzawblk2ufasxalijk2y, f0wprovraucxrx9wwd5au2pzo, 1l1r86a2u6fheng6y1j169q1g, e01adcq62lg6avlh5730enx90, da2xipmbg3v2jwwe6twcs1fu2, 8bp3sbo230kdhnw76stsw2u39",5607513345,59,"23, 3, 6, 4, 5, 24, 20, 12, 14, 10, 11, 7, 13, 15, 30, 35, 88, 99, 17",,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093699,2,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-03-29T20:07:43.102Z,2025-03-29T20:07:46Z,,,,,5607792147,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093691,2,32,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-03-29T20:07:43.102Z,2025-03-29T20:07:43Z,,,,,5607792099,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093745,3,1,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,50.0,50.0,2025-03-29T20:07:43.103Z,2025-03-29T20:07:47Z,ekzwxb68vg0w7o14zcq8n4vs9,Z. Ryan,,,5607792437,141,50.3,5607792439,212,25.9,5607792443,279,S,5607792435,140,25.3,5607792441,213,3.13,5607792433,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093789,4,1,1,0,3,5x54jbfk11lrsmipgsx7cdbai,0,25.3,50.3,2025-03-29T20:07:46.150Z,2025-03-29T20:07:50Z,7lmf6beyvhncglhw9avm40qju,H. Fauroux,,,5607792709,141,39.7,5607792713,213,6.12,5607792715,1,,5607792707,140,68.2,5607792711,212,45.6,5607792701,157,,5607792705,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093833,3,4,1,0,10,daicfonrbj124lu2la2rctxck,1,31.2,73.5,2025-03-29T20:07:53.215Z,2025-03-29T22:34:32Z,c8svt3yazcfaq478j0cpbmbfu,K. Yao,,,5607923981,285,,5607793143,152,,5607793141,56,Back,5607923977,233,5,5607793145,265,,5607793139,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793093883,5,4,1,0,10,5x54jbfk11lrsmipgsx7cdbai,0,68.8,26.5,2025-03-29T20:07:53.216Z,2025-03-29T23:10:10Z,3y5650rx37d3hnh3sxzhaz7xl,B. Mines,,,5607793497,152,,5607793499,265,,5607793501,286,,5607793495,56,Center,5607793493,13,,5607923993,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793094081,4,1,1,0,27,daicfonrbj124lu2la2rctxck,0,24.4,83.0,2025-03-29T20:08:10.356Z,2025-03-29T20:08:15Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,,5607794739,1,,5607794723,5,,5607794737,213,6.20,5607794725,157,,5607794729,56,Center,5607794733,141,74.9,5607794735,212,63.3,5607794731,140,84.5,5607794727,152,,,,,,,,,,,,,,,,,,,,,,,,,
2793094123,7,12,1,0,29,5x54jbfk11lrsmipgsx7cdbai,1,15.5,15.5,2025-03-29T20:08:12.165Z,2025-03-29T22:29:41Z,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,5607795027,213,5.56,5607795023,141,11.4,5607795021,140,18.5,5607795019,56,Back,5607795025,212,4.2,5607795049,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
