id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818679823,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-25T01:31:14.509Z,2025-05-25T05:38:44Z,,,,,5748933477,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5748933475,30,"cuw4kvdf0bazq87mh3dwv71ii, 7ll9dqayz9698v71x2pvgrspg, 7vs1eqm82fwwuhwfqodb3dyw9, 7ctc1xui7wk89o5v00z8ijqw9, 8gy9wgqywaqi9uy6i31i0q21h, 2mxaagzu9rb92z9880yjllbzd, 7ajceczjsu9ci4nqv9gg2860a, 6fgxgq77v66va16tcuqvyn6x, cqmvrx028gh19yh8qh7w01y0a, 3lndo247f4br8t6xxdvlij4a2, 2mgcta30puk8kuwb5mo4zvcnp, 2dbik29e0m9bil2ofn2yhrget, 9qjkqhlworzz3lk1o6nc191ih, 9lucpehmfe4z2vdlica1kc9d6, 28cixms5w9uu1e38kcc8o2j9w, bl2b89wej9nxdtvqnjqoz85t6, 1jhs3g95t0ah1hx3fwlo14kmi, c4g35kho1qirnu4q420knnl9m",5748933489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5749021905,194,8gy9wgqywaqi9uy6i31i0q21h,5748933485,130,4,5748933481,59,"1, 18, 12, 6, 25, 3, 8, 16, 14, 13, 10, 5, 9, 11, 15, 19, 24, 30",5749038959,197,29713,5748933493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818683033,1,34,16,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-25T01:38:39.486Z,2025-05-25T03:41:06Z,,,,,5748948609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5748948599,30,"470xuwiwevwy86l2ararrkyga, 4nwnrf33mdxscx5rdaw1529cl, 65jctzcct9irz3wre08c2v2wa, 20z2nx7xh9mgty7qp6xur14yy, 3u22kckqpecmgcw7ee3xrdppm, 8i5k1tx7x5hx4kk3qzyvrfj84, 40qi53orb0eur2jevowkvrcb8, 9elhnfsovx9efu5f92mkkls7o, f3ftrudyp33naykboqmua0jro, bnsuxef1oaaye5fise5qlur8q, e6gr1t1rp2x7waywgzlrj8yqx, catp73eq6wn8hxggfcpzks3u2, 613kkjtvfyf7mbvrqt9pcizmd, 8hamv2lpjznz8mettx8dc5tsk, o0a1acp618ig9detdym1m0pg, e7vsajjh4e7t51ciycjg0skd0, a1v4h4gcsepnaknru3jjnwl5g, 6fgrix1m2a1zkn8kvd29nbcvd",5748948605,130,12,5749037917,197,29727,5748948601,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5749133671,194,e6gr1t1rp2x7waywgzlrj8yqx,5748948603,59,"56, 23, 10, 33, 24, 5, 17, 6, 14, 41, 27, 1, 7, 9, 11, 13, 18, 42",5748948607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701293,2,32,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-25T02:36:48.330Z,2025-05-25T02:36:50Z,,,,,5749037953,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701291,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-25T02:36:48.330Z,2025-05-25T02:36:48Z,,,,,5749037949,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701305,3,1,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,50.1,50.0,2025-05-25T02:36:48.331Z,2025-05-25T02:36:53Z,f3ftrudyp33naykboqmua0jro,J. Rodriguez,,,5749037989,56,Back,5749037999,279,S,5749037991,140,37.6,5749037997,213,2.99,5749037993,141,53.0,5749037995,212,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701317,4,1,1,0,6,7c9knuwazz9k9449u5rnuuy5m,0,34.9,56.0,2025-05-25T02:36:54.814Z,2025-05-25T02:36:55Z,9elhnfsovx9efu5f92mkkls7o,C. Pearson,,,5749038069,141,0.0,5749038065,56,Right,5749038071,212,66.0,5749038073,213,5.65,5749038067,140,85.6,5749038063,157,,5749038075,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701355,3,5,1,0,7,5h878vnmkbuy2ummddprusxgq,1,12.3,101.6,2025-05-25T02:36:55.557Z,2025-05-25T04:41:13Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5749038305,233,5,5749038281,56,Back,5749038283,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701319,5,5,1,0,7,7c9knuwazz9k9449u5rnuuy5m,0,87.7,-1.6,2025-05-25T02:36:55.557Z,2025-05-25T04:41:13Z,9elhnfsovx9efu5f92mkkls7o,C. Pearson,,,5749038077,56,Right,5749038317,233,3,5749038079,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701367,4,1,1,0,19,5h878vnmkbuy2ummddprusxgq,1,10.1,100.0,2025-05-25T02:37:08.121Z,2025-05-25T02:37:10Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5749038351,141,97.2,5749038345,107,,5749038353,212,16.3,5749038349,140,25.3,5749038347,56,Back,5749038355,213,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701375,5,1,1,0,21,5h878vnmkbuy2ummddprusxgq,1,25.3,97.2,2025-05-25T02:37:10.129Z,2025-05-25T02:37:13Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5749038389,56,Back,5749038397,213,6.09,5749038395,212,12.9,5749038393,141,93.6,5749038391,140,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
