id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2788833379,1,34,16,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-03-15T23:09:27.470Z,2025-03-16T03:25:14Z,,,,,5584450305,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5584450313,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584450311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5584450309,130,13,5584450307,59,"1, 7, 11, 33, 2, 27, 5, 17, 8, 28, 9, 3, 4, 14, 18, 20, 34, 41",5584630483,197,2772,5584630481,194,bpkzxcqtmvei7lqkqzuvzelsl,5584450303,30,"dp8j7znd4eavuoy3faqpamoa2, ch01b74i78nggnffi81875ld6, 8vcytrkvxzki08gxqpulol3hl, bpkzxcqtmvei7lqkqzuvzelsl, du5dg5x7as3ub1iemjuwdd6uh, 2wufroeor0e7k6hvatj1ltwfe, 4l1wyg8j3u42b87477y3zm54a, 5s5sc7zxuw8cr7vyzeofb8hnu, 7ao58e6608lb8eu3dmk17jisp, c08hvq1hplcct8kxrxucfpqp6, 6mrzod8fbjpv5s30eyypfyv2t, 87rpg135z1k0ir74kdczwo2y1, 56txiyhvsvhudyr1b21rznmjt, dbjysa6qhf203jmpjedz8pgph, e13oeez12fwnzyf2qkizwflec, cbbip5xc4xfipnk6aal6cfywa, 5eptcbetmcxxwzhed6i5rl0r8, 3gzatxlefe9axcrqyllbtrzmc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788841811,1,34,16,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-15T23:22:17.045Z,2025-03-15T23:22:17Z,,,,,5584494659,197,3376,5584494657,194,d99eakp27bro9g50wpzti8rca,5584494655,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5584494653,130,13,5584494651,59,"99, 47, 2, 15, 91, 14, 6, 26, 9, 19, 21, 4, 10, 20, 22, 31, 77, 5",5584494649,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5584494647,30,"6j9gbfyvpr5lqp6aak54597ca, 2imizu6je16b3ssheijycxjh1, dgpphcc9ql3pv3b4chhchml90, 2giowiodzndu5m2gwn79iiui1, d99eakp27bro9g50wpzti8rca, 5ku33b8dbb20fhqdg8h83rdyi, do5q14naxm61jw8px8qvacn4k, 1e1wh213cg8q6lsqa3kvbjdka, 1d20nyyvmp0doobj6heejkowk, 1o7iht0ow216jvo5qm64akup6, dks0ibq4b4i2w3bcc05v8rhn8, 8td51fzpdl6c1yrz6r0igle22, 87pe681vhgbb6plpej3tr74oa, dg0vj3tk1fqeyuocfy4rmyoh6, 8svvdqi69pc6it7mnin50q68k, 4r4a2d3piuh8wusw8ftrsh016, cdyrj15oxu3l5sgzgwof8ohgq, bw0h202lprp7jzdtp6hv78ixh",5584494661,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788866559,2,32,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-03-16T00:06:33.794Z,2025-03-16T00:06:37Z,,,,,5584630919,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788866553,2,32,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-16T00:06:33.794Z,2025-03-16T00:06:34Z,,,,,5584630873,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788866593,3,1,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,49.8,49.9,2025-03-16T00:06:34.388Z,2025-03-16T00:06:38Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5584631059,140,35.6,5584631057,56,Back,5584631065,213,3.43,5584631067,279,S,5584631063,212,15.6,5584631061,141,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788866615,4,1,1,0,3,aj8ytsr2ap33tod0hd8ofzaw9,1,35.6,43.4,2025-03-16T00:06:37.618Z,2025-03-16T00:10:16Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5584631207,141,68.5,5584631209,212,38.7,5584631213,1,,5584631211,213,0.46,5584631205,140,68.7,5584631201,155,,5584631203,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788868055,31,1,1,0,4,aj8ytsr2ap33tod0hd8ofzaw9,0,70.0,64.6,2025-03-16T00:06:38.380Z,2025-03-16T01:08:52Z,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,,5584640373,3,,5584640381,212,2.2,5584640383,213,2.36,5584640375,56,Center,5584640377,140,68.5,5584640379,141,66.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788866627,3,44,1,0,6,5qfq6cwtrgzd2szijivns7rjl,1,46.1,36.2,2025-03-16T00:06:40.335Z,2025-03-16T02:37:57Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5584631515,233,5,5584631245,56,Back,5584631519,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788866619,5,44,1,0,6,aj8ytsr2ap33tod0hd8ofzaw9,0,53.9,63.8,2025-03-16T00:06:40.336Z,2025-03-16T02:37:57Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5584631219,56,Center,5584631527,233,3,5585125379,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788866635,4,1,1,0,7,5qfq6cwtrgzd2szijivns7rjl,0,57.4,39.7,2025-03-16T00:06:41.035Z,2025-03-16T01:10:51Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5584631279,56,Center,5584631277,3,,5584631285,212,8.5,5584631287,213,1.63,5584631283,141,52.2,5584631281,140,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
