id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2790966953,1,34,16,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-03-22T22:06:14.486Z,2025-03-22T22:06:14Z,,,,,5596170937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",5596170935,130,8,5596170943,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596170929,30,"crhe42indjb3mb7di7yh1zndg, 8qqehla9xvhut6uua4a0zcju2, c7q476j0dkl7e4fhqqlsp5rai, 6pqwh2z47uwgr9u9y8n79ppzp, dqvxmefhimxvxstvlz5yd7ysp, 38ghqgck8fwnxap6em08avzs9, b7pzjfl5fuvivmc2x9defzfmx, 9blzzcpytqe7o9rdte1s6mw6i, 9izknjlz6zunwjpo4u94q855g, 3ei1s8oyub83owfxxbsygmsmi, dkk3twgai2ldi75eh0xr37hbe, 16si0dgkuqvahp0x1bjr37xuc, cjn2oln0v5o7x7unmsk305250, 9ie6oja1bojocjl4fg4wingno, 8ecb1shzu9migh6lv1bnku8es, lu2g4n0jcfxk41i8ro05ad5g",5596170933,59,"77, 2, 22, 94, 15, 4, 7, 6, 9, 17, 11, 8, 28, 29, 44, 81",5596170941,197,23583,5596170931,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5",5596170939,194,38ghqgck8fwnxap6em08avzs9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790967345,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-03-22T22:09:28.001Z,2025-03-22T23:12:01Z,,,,,5596173133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5596173129,59,"1, 13, 8, 42, 28, 5, 4, 16, 9, 2, 14, 6, 15, 17, 18, 20, 31, 70, 3",5596173131,130,7,5596173127,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5596173125,30,"a9lytq2ddavywxo7ib8uzbj6x, 69pe2d0b9ughzcn3iqarracr8, cxrjwzo1fmvgcw8i820hwn07p, 6jsu34146kbtoeco3ue1a7ok4, c8nk2hg1xy4h4646ajpq65dnu, 3g0rdzkjns986gn34vg3umiqy, 5h4ldsd3uwkk4wxr9iqi5kqy2, 1445ppxg007udzcj6t20ceyju, 9jfh2t3w4aqc4o4rvjfk7xey1, c4va4gt5g10zm05qtucgyt889, e8rbnbqkrxia3lgt7agaid4kq, 6emdaopgvgmxzmuj4bu1tz7my, 1l26kd7tulii6x999b3fdxi0a, 364a445zm6p8fzqxia2myj7dg, d3b8yjlx6aitma59vlpen39m2, 2d1vmwon9o35lzpkdwxgv12lm, 9tbzso59dbmu47ovroulv9rf8, 2bhgif1020mgkwuzkjebaf6s4, 8pli7fk5kjmt0f9pl6sjsltuy",5596173135,194,c4va4gt5g10zm05qtucgyt889,5596173137,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596235883,197,23590,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978873,2,32,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-03-22T23:07:47.392Z,2025-03-22T23:07:47Z,,,,,5596236713,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978881,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-03-22T23:07:47.392Z,2025-03-24T06:52:32Z,,,,,5596236751,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978891,3,1,1,0,0,224tl8u2smnbyliroayk69nt0,1,50.0,50.0,2025-03-22T23:07:47.697Z,2025-03-22T23:07:50Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5596236809,56,Back,5596236813,140,36.8,5596236827,279,S,5596236825,213,2.89,5596236821,212,14.3,5596236817,141,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978911,4,1,1,0,1,224tl8u2smnbyliroayk69nt0,1,36.8,55.2,2025-03-22T23:07:49.249Z,2025-03-22T23:07:52Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5596236909,140,29.6,5596236907,56,Back,5596236913,212,23.0,5596236911,141,87.2,5596236915,213,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978923,5,1,1,0,4,224tl8u2smnbyliroayk69nt0,1,31.0,81.5,2025-03-22T23:07:52.065Z,2025-03-22T23:07:55Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5596236959,141,37.7,5596236961,212,30.5,5596236957,140,24.8,5596236955,56,Back,5596236963,213,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978931,6,1,1,0,8,224tl8u2smnbyliroayk69nt0,1,25.3,36.3,2025-03-22T23:07:55.665Z,2025-03-22T23:19:52Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5596237017,56,Back,5596237023,212,30.8,5596237019,140,47.2,5596237021,141,6.1,5596237025,213,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978947,7,1,1,0,10,224tl8u2smnbyliroayk69nt0,1,48.9,3.7,2025-03-22T23:07:57.522Z,2025-03-22T23:19:57Z,5h4ldsd3uwkk4wxr9iqi5kqy2,A. O'Toole,,,5596237097,140,25.5,5596237095,56,Back,5596237103,213,3.05,5596237099,141,7.0,5596237101,212,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978963,8,1,1,0,12,224tl8u2smnbyliroayk69nt0,1,29.9,6.6,2025-03-22T23:07:59.841Z,2025-03-22T23:20:13Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5596237191,1,,5596237185,141,55.0,5596237187,212,33.6,5596237189,213,1.78,5596237181,56,Back,5596237183,140,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
