id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2822638815,1,34,16,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-06-14T21:55:15.960Z,2025-06-15T21:52:49Z,,,,,5771202743,197,2754,5771109465,59,"98, 27, 4, 41, 3, 30, 5, 14, 22, 8, 6, 18, 19, 23, 32, 33, 99, 2",5771109467,130,12,5771109469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5771109463,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5771109471,194,9tispdm7tc3te31awsfcmd905,5771109473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771109461,30,"d38osra1p83cgtmrwqt6w60yy, 1lk61nwcvayf0ep21p31xcfzd, 2pka62t1zg04jwkcx6zbc4wlw, 54yx5xkqrktd2hp0sxjx6hm8l, 97d0drjb3zqkh5ozfufg17nys, arxprecroj7kqwx1tmkhhfsdm, e93nozniig2wriw9doit6a4tl, 9tispdm7tc3te31awsfcmd905, 5fhb206czgy2ul5j0tsqeo7ah, 2co6fedrz8anjzy9ise76dplh, blts89a19itip4gjeagcwc1xx, 1nl79aq9il743hgoaijmupmmt, 8delieh6jv1cgaukmgcwfjsic, cv7nd9tnk6j2ixvnlibiip2vp, dr544s11qpyo2mg32cvq6g6vp, 1x95h6xtnycmvpqu7vgu4vh79, d50x000h9o6i8kd8aihie4lx, n6ubi9lw3fjau0xzvd09myqy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822640977,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-06-14T22:04:22.401Z,2025-06-15T02:00:19Z,,,,,5771120801,59,"1, 3, 13, 23, 5, 28, 15, 42, 9, 2, 14, 4, 8, 10, 12, 16, 18, 31",5771202283,197,29757,5771120807,194,c4va4gt5g10zm05qtucgyt889,5771120805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5771120809,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771120803,130,17,5771120797,30,"a9lytq2ddavywxo7ib8uzbj6x, 8pli7fk5kjmt0f9pl6sjsltuy, 69pe2d0b9ughzcn3iqarracr8, 6omt3lirajdcqxcbhzk9sobmx, 3g0rdzkjns986gn34vg3umiqy, c8nk2hg1xy4h4646ajpq65dnu, 1l26kd7tulii6x999b3fdxi0a, 6jsu34146kbtoeco3ue1a7ok4, 9jfh2t3w4aqc4o4rvjfk7xey1, c4va4gt5g10zm05qtucgyt889, e8rbnbqkrxia3lgt7agaid4kq, 5h4ldsd3uwkk4wxr9iqi5kqy2, cxrjwzo1fmvgcw8i820hwn07p, aqqbh1ugeh2f8jjiq8fu2qwru, b8lkxvf7fa96tvblx4ilcg2ui, 1445ppxg007udzcj6t20ceyju, d3b8yjlx6aitma59vlpen39m2, 9tbzso59dbmu47ovroulv9rf8",5771120799,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657267,2,32,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-06-14T23:06:29.854Z,2025-06-15T22:36:07Z,,,,,5771209809,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657273,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-06-14T23:06:29.854Z,2025-06-14T23:06:31Z,,,,,5771209829,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657287,3,1,1,0,0,224tl8u2smnbyliroayk69nt0,1,50.3,50.1,2025-06-14T23:06:29.855Z,2025-06-14T23:06:33Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5771209901,141,49.4,5771209899,140,31.1,5771209903,212,20.2,5771209907,279,S,5771209905,213,3.17,5771209897,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657311,4,1,1,0,3,224tl8u2smnbyliroayk69nt0,0,31.2,48.7,2025-06-14T23:06:32.929Z,2025-06-14T23:06:39Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5771210097,212,46.0,5771210095,141,13.1,5771210089,157,,5771210099,213,5.73,5771210093,140,68.5,5771210101,1,,5771210091,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657305,3,44,1,0,7,8cpjplodpphtkbt0hq8sr8mqs,1,26.5,90.4,2025-06-14T23:06:36.982Z,2025-06-14T23:06:45Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5771210063,56,Back,5771210065,285,,5771210177,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657317,5,44,1,0,7,224tl8u2smnbyliroayk69nt0,0,73.5,9.6,2025-06-14T23:06:36.983Z,2025-06-14T23:06:45Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5771210131,56,Right,5771210207,233,3,5771210133,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657319,4,1,1,0,7,8cpjplodpphtkbt0hq8sr8mqs,0,25.9,88.1,2025-06-14T23:06:37.460Z,2025-06-15T01:10:43Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5771210143,141,100.0,5771210145,212,13.0,5771210147,213,0.72,5771210137,3,,5771210139,56,Back,5771210141,140,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657323,5,5,1,0,9,8cpjplodpphtkbt0hq8sr8mqs,0,29.8,100.8,2025-06-14T23:06:39.572Z,2025-06-15T00:08:52Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5771210163,56,Back,5771210253,233,6,5771210165,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
