id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId
2821727887,1,34,16,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-06-08T01:37:28.115Z,2025-06-08T02:41:11Z,,,,,5766011969,30,"9zolq6c0x4ubmtfusbz2c3xwq, 8sydisziijh84elb8dprtlduy, 52qwgcxm3vpgabixc8c2i3aax, f1j8v0figkewc23fmaexubo4p, ds74l5fmanizrflvvfkl42pcl, a2crcglwdookm6m397dxw2qdw, 6kp2pv58u27yf5tnclyhnuoh6, 7d1v02o7kk9guqpn77xzgtvu2, 4eo92l592013pjmwitoxmuyvo, 3sp46qr51lu5o2213enn5xtjp, 6ydk69km9oe49cg6plrc6u0wk, 7qt4r82kyz05r8kd8cmdh1xqs, k3rif7polxoazy70fu2013op, 3461sfmst5pjeiaof78d0efo, 6wjjjmu5dw9m7chorpc4lcnbo, 46nav8x1n8s7c9zrmzo5eobje, f1hzg65u0b5lvvzj3q1z6qplg, 2m8m4aavjwesbh6oea1ta1vys, 6o5jqx64vum71hh2olnrb4178, b3a87jvzqqtqkse8t19b94kk4",5766011979,130,7,5766011983,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5766011971,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5766071343,194,ds74l5fmanizrflvvfkl42pcl,5766011973,59,"1, 4, 23, 19, 5, 20, 7, 14, 21, 6, 17, 8, 9, 24, 28, 31, 32, 33, 3, 26",5766011987,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5766079541,197,29752,,,,,,,,,,,,,,,,,,,,,,,,,,
2821730767,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-06-08T01:48:38.884Z,2025-06-08T07:00:14Z,,,,,5766028611,59,"1, 2, 34, 17, 51, 5, 38, 8, 29, 10, 9, 6, 12, 13, 14, 23, 44, 80, 83, 88",5766076521,197,29753,5766028617,194,7y56spdjsagw833hgo5ranvf9,5766028615,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5766028619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5766028609,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5766028607,30,"7y56spdjsagw833hgo5ranvf9, 9xjixcn3jhf7m75dl49u0qe7e, 3csngjh4kjgpkfayppiwfbw2c, 39jhew6iao7uriko5shx2tnje, e23yyl43xtcve09dx234uuj8, 2p7o7pd4vfw3mvp5o8euss6xg, dt8nthxqalx3bhz723zdty39w, 6ahu72g0u39bxbjiz7ggefai1, 6naqq6f6acfec3zh2msuxrmqd, 74bhj4xi5zgq6evsr4c766p04, c0of0cn2tec0yn2vtwdqgxxpl, 74rnjizxzn5a0oag6sue0ja7e, dv155f8jlvq8frvhjcokboiy1, cdaayu6d9xzn4gyn5jg5p6vl6, 7lzda1yh1eixs7rqn46y1ulpm, d74g09o22jua08rgr8e71x4kq, a5h691d1wvz871qz9t1cmi68k, 281ieftii7id7an6dm505owrt, 9j5kxdshj31du1psnt8cp6has, bb524gi3hf6soharvgp7bumtw",5766028613,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740781,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-06-08T02:36:39.024Z,2025-06-08T02:36:40Z,,,,,5766086997,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740773,2,32,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-06-08T02:36:39.024Z,2025-06-08T02:36:39Z,,,,,5766086947,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740799,3,1,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,49.9,49.9,2025-06-08T02:36:39.025Z,2025-06-08T02:36:43Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5766087077,141,39.2,5766087075,140,35.0,5766087083,279,S,5766087079,212,17.3,5766087081,213,3.58,5766087073,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821751031,458,43,1,0,4,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-06-08T02:36:43.024Z,2025-06-08T05:05:30Z,3csngjh4kjgpkfayppiwfbw2c,B. Montgomery,,,5766201979,144,45,5766144239,285,0,5766144237,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740815,4,1,1,0,4,2iwybwokic7nmr1t33abdbjoq,1,35.0,39.2,2025-06-08T02:36:43.156Z,2025-06-08T02:36:46Z,e23yyl43xtcve09dx234uuj8,A. Essengue,,,5766087183,1,,5766087179,212,55.0,5766087171,157,,5766087177,141,90.8,5766087175,140,75.3,5766087173,56,Left,5766087181,213,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740819,5,1,1,0,7,2iwybwokic7nmr1t33abdbjoq,0,75.3,90.8,2025-06-08T02:36:46.508Z,2025-06-08T02:36:47Z,c0of0cn2tec0yn2vtwdqgxxpl,I. Sacko,,,5766087197,141,74.1,5766087195,140,48.2,5766087199,212,30.6,5766087193,56,Back,5766087201,213,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740839,3,1,1,0,9,cf5r1qpotp6n5i3vdchsp2en1,0,56.6,20.0,2025-06-08T02:36:48.513Z,2025-06-08T02:36:52Z,7d1v02o7kk9guqpn77xzgtvu2,C. Hegardt,,,5766087263,157,,5766087273,213,0.56,5766087269,141,49.6,5766087265,56,Center,5766087275,1,,5766087271,212,38.0,5766087267,140,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740843,7,1,1,0,13,2iwybwokic7nmr1t33abdbjoq,1,12.2,51.3,2025-06-08T02:36:52.430Z,2025-06-08T02:36:54Z,7y56spdjsagw833hgo5ranvf9,P. Rakovsky,,,5766087305,123,,5766087313,212,31.8,5766087307,56,Back,5766087321,287,,5766087309,140,34.5,5766087315,213,5.54,5766087311,141,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740855,8,1,1,0,17,2iwybwokic7nmr1t33abdbjoq,1,34.5,19.7,2025-06-08T02:36:56.284Z,2025-06-08T02:36:57Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5766087391,212,13.2,5766087389,141,14.6,5766087387,140,46.6,5766087393,213,6.02,5766087385,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
