id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value
2813052283,1,34,16,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-05-10T22:10:11.655Z,2025-05-11T05:59:51Z,,,,5717801053,59,"77, 2, 19, 4, 15, 22, 10, 94, 81, 11, 16, 6, 8, 9, 17, 28, 29, 44, 71",5717801057,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5717801061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5717950801,197,6212,5717801055,130,10,5717801049,30,"crhe42indjb3mb7di7yh1zndg, 8qqehla9xvhut6uua4a0zcju2, 6tesoh4ckbbkisphokig9yqz8, 38ghqgck8fwnxap6em08avzs9, dqvxmefhimxvxstvlz5yd7ysp, c7q476j0dkl7e4fhqqlsp5rai, 7i9qesz7fugndupldntvshwd0, 6pqwh2z47uwgr9u9y8n79ppzp, lu2g4n0jcfxk41i8ro05ad5g, dkk3twgai2ldi75eh0xr37hbe, 4iepghv4p490fxo5s429qeicq, 9blzzcpytqe7o9rdte1s6mw6i, 16si0dgkuqvahp0x1bjr37xuc, 9izknjlz6zunwjpo4u94q855g, 3ei1s8oyub83owfxxbsygmsmi, cjn2oln0v5o7x7unmsk305250, 9ie6oja1bojocjl4fg4wingno, 8ecb1shzu9migh6lv1bnku8es, 5r88subg9jy8zg4y97tzwzxm1",5717801051,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5717801059,194,38ghqgck8fwnxap6em08avzs9,,,,,,,,,,,,,,,,,,,,,,,,
2813055545,1,34,16,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-05-10T22:17:13.412Z,2025-05-11T01:39:48Z,,,,5718173539,194,7lnb14nmxv9gggyedv3tydvdg,5717822619,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5717822623,130,18,5717822627,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5717822625,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5717822621,59,"21, 2, 3, 30, 4, 12, 24, 39, 9, 7, 23, 10, 11, 13, 14, 45, 91, 99",5717950413,197,23580,5717822617,30,"974nt2pay3nvbe8uyzx0qdhxw, 7jizpx7yu2zxvcrnf9z4408vd, 62d3tsany7t5t2bwm4cx9pbai, 7lnb14nmxv9gggyedv3tydvdg, b3ktzeb8cz6vl5snbrtnpzw4q, 9jc85hbpruze4v8u1pjzsjt62, 63td0sigm6tp2tg8yovf5npm2, 1nw1tmtpagpr647obkvygwgr9, 3ldhrzekr0tztaxr3sc8mmg2x, 8d6e9axgsli468lnomdbcgu6t, cujkrjaqaizwr771ist04uaj9, 9irc1xmfpa2395qef78rfyjje, 70axpxvnx40ax7oxri5pmz9qs, 597hrrj3moomrcd2d95yk12w9, 2axflqcowldpal1ffaf2lw3dg, a6nj3s6nhav0ybrnhla1m67mc, 8q0b0qnmebzt9v4he9o3k7rbo, tc5nl1hz1w06jobp5ckktr3e",,,,,,,,,,,,,,,,,,,,,,,,
2813078097,2,32,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-05-10T23:06:25.236Z,2025-05-10T23:06:28Z,,,,5717954471,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078087,2,32,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-05-10T23:06:25.236Z,2025-05-10T23:06:25Z,,,,5717954429,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078115,3,1,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,50.0,50.0,2025-05-10T23:06:25.237Z,2025-05-11T00:03:22Z,4iepghv4p490fxo5s429qeicq,J. Panayotou,,5717954541,56,Back,5717954545,141,33.1,5717954551,279,S,5717954549,213,3.63,5717954547,212,24.3,5717954543,140,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078131,4,1,1,0,2,2n3wgr89m7jl8tmioemit2pgq,0,29.6,33.1,2025-05-10T23:06:27.803Z,2025-05-10T23:06:29Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,5717954631,213,0.37,5717954621,155,,5717954625,140,73.3,5717954629,212,49.2,5717954623,56,Center,5717954627,141,59.1,5717954633,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078181,4,1,1,0,6,b1rpb2ox52uxcmjrsnqd95pk5,1,34.7,38.3,2025-05-10T23:06:31.718Z,2025-05-10T23:06:49Z,63td0sigm6tp2tg8yovf5npm2,D. Gasso,,5717954887,213,4.75,5717954883,141,14.7,5717954885,212,16.1,5717954881,140,35.2,5717954879,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078195,5,1,1,0,9,b1rpb2ox52uxcmjrsnqd95pk5,1,36.4,16.5,2025-05-10T23:06:34.836Z,2025-05-10T23:06:37Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,5717954989,140,12.4,5717954991,141,15.2,5717954995,213,3.18,5717954993,212,25.2,5717954987,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078203,6,50,1,0,11,b1rpb2ox52uxcmjrsnqd95pk5,1,11.4,14.0,2025-05-10T23:06:36.932Z,2025-05-11T00:13:23Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,5717955015,56,Back,5717955017,285,,5717955241,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078239,5,7,1,0,11,2n3wgr89m7jl8tmioemit2pgq,1,88.6,86.0,2025-05-10T23:06:36.933Z,2025-05-11T00:13:23Z,lu2g4n0jcfxk41i8ro05ad5g,A. Obalola,,5717955185,56,Left,5717955217,233,6,5717955187,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078243,6,3,1,0,15,2n3wgr89m7jl8tmioemit2pgq,0,90.9,91.6,2025-05-10T23:06:41.019Z,2025-05-10T23:06:47Z,lu2g4n0jcfxk41i8ro05ad5g,A. Obalola,,5717955355,233,7,5717955197,56,Left,5717955199,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078261,7,7,1,0,15,b1rpb2ox52uxcmjrsnqd95pk5,0,9.1,8.4,2025-05-10T23:06:41.020Z,2025-05-11T00:06:16Z,b3ktzeb8cz6vl5snbrtnpzw4q,S. Wiedt,,5717955293,56,Back,5717955337,233,6,5717955295,285,,5717955291,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078319,7,61,1,0,16,2n3wgr89m7jl8tmioemit2pgq,1,90.7,90.9,2025-05-10T23:06:42.035Z,2025-05-11T00:06:11Z,lu2g4n0jcfxk41i8ro05ad5g,A. Obalola,,5717955601,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078297,8,5,1,0,17,b1rpb2ox52uxcmjrsnqd95pk5,1,9.0,-1.8,2025-05-10T23:06:42.252Z,2025-05-11T00:12:47Z,b3ktzeb8cz6vl5snbrtnpzw4q,S. Wiedt,,5717955495,56,Back,5718153387,233,8,5717955497,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
