id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2800287523,1,34,16,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-04-12T23:27:05.289Z,2025-04-13T03:29:40Z,,,,,5647367215,130,10,5647367213,59,"1, 25, 2, 3, 15, 33, 18, 11, 7, 9, 6, 4, 12, 14, 22, 26, 35, 45, 48, 88",5647496409,197,23854,5647367217,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647367219,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647367209,30,"6j38lv6xa3gnzzsn5x2i35rdh, evk0esdocrzt5zxqmv4ostdcl, 69j92vzo1swgodk0g9g2ksqqy, 3xd2kq7cxmvdbqsfzgi644c4q, 2w7w1l7lwhu2u6nhvqg1bnd2h, 4e47ixpbc8x9qzn7l3aeej0tl, ov91zkisppven9tp72gfbjf8, doseo9fbdr1a1srm0jhdqmr55, 6g7v93m80xq6x38o9u3t8y3je, cclpvd1z3yyruciida1q3x4o9, bogxgfao7j28diagxffy0z9ey, ei30dsbb51ri88sr7aku2t13p, 4jq1xl8ott88bxfdo4bjm47hl, cqhpjp9q1pl5gy4nfrpd7m3h0, 2j9i9ersvndkywcgqx9pzc9ka, 3apux7dih2628a7b7q0dt6bu2, 629pbkngxk7ucy0qt9mngvkd1, e0879u9ckqe6xv1h2j8bqto9g, 97rzxcaw3u0qqov2uci1m4ges, 24r8fdf8ypk7ejch9t86zjwgk",5647967999,194,6j38lv6xa3gnzzsn5x2i35rdh,5647367211,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800287779,1,34,16,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-04-12T23:27:39.989Z,2025-04-13T04:10:44Z,,,,,5647368619,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5647368623,130,13,5647432259,197,3376,5647368627,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647368621,59,"31, 2, 20, 15, 91, 47, 26, 6, 9, 19, 10, 4, 5, 17, 21, 22, 77, 99",5647368617,30,"4r4a2d3piuh8wusw8ftrsh016, dgpphcc9ql3pv3b4chhchml90, dg0vj3tk1fqeyuocfy4rmyoh6, 2giowiodzndu5m2gwn79iiui1, d99eakp27bro9g50wpzti8rca, 2imizu6je16b3ssheijycxjh1, 1e1wh213cg8q6lsqa3kvbjdka, do5q14naxm61jw8px8qvacn4k, 1d20nyyvmp0doobj6heejkowk, 1o7iht0ow216jvo5qm64akup6, 87pe681vhgbb6plpej3tr74oa, 8td51fzpdl6c1yrz6r0igle22, bw0h202lprp7jzdtp6hv78ixh, 9etod4kwf9f5ye7jzc5ez0e3u, dks0ibq4b4i2w3bcc05v8rhn8, 8svvdqi69pc6it7mnin50q68k, cdyrj15oxu3l5sgzgwof8ohgq, 6j9gbfyvpr5lqp6aak54597ca",5647432255,194,d99eakp27bro9g50wpzti8rca,5647368625,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311375,2,32,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-04-13T00:06:46.942Z,2025-04-16T05:45:51Z,,,,,5647502003,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311443,2,32,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-04-13T00:06:46.942Z,2025-04-13T00:07:22Z,,,,,5647502383,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311433,3,1,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,50.1,50.0,2025-04-13T00:06:46.943Z,2025-04-13T00:06:51Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5647502315,140,31.6,5647502323,279,S,5647502319,212,20.4,5647502313,56,Back,5647502321,213,3.46,5647502317,141,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311467,4,1,1,0,3,aj8ytsr2ap33tod0hd8ofzaw9,0,31.6,40.6,2025-04-13T00:06:50.886Z,2025-04-13T00:06:53Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,,5647502485,213,0.79,5647502481,141,100.0,5647502477,56,Left,5647502483,212,57.8,5647502475,157,,5647502479,140,70.3,5647502487,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311531,3,43,1,0,5,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-04-13T00:06:52.350Z,2025-04-13T00:07:24Z,cclpvd1z3yyruciida1q3x4o9,P. Wilson,,,5647502915,56,Center,5647502925,213,5.75,5647504649,144,1,5647502919,141,22.4,5647502917,140,80.5,5647502921,212,37.2,5647502929,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311565,4,5,1,0,6,b5l2e3csycjb8twvq9ek0j5gq,1,27.7,-1.4,2025-04-13T00:06:53.297Z,2025-04-16T09:31:31Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,,5647503085,56,Back,5647516785,233,5,5647503087,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311477,5,5,1,0,6,aj8ytsr2ap33tod0hd8ofzaw9,0,72.3,101.4,2025-04-13T00:06:53.297Z,2025-04-16T09:31:31Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,,5647502517,56,Left,5647502521,347,,5647516799,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311595,5,1,1,0,14,b5l2e3csycjb8twvq9ek0j5gq,1,24.3,0.0,2025-04-13T00:07:01.597Z,2025-04-13T00:23:59Z,4e47ixpbc8x9qzn7l3aeej0tl,K. Greene,,,5647503271,212,14.4,5647503267,140,36.6,5647503263,107,,5647503269,141,7.3,5647503273,213,0.46,5647503265,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
