id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2790927043,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-03-22T20:01:27.539Z,2025-03-22T21:11:05Z,,,,,5595949519,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596043753,197,18652,5595949517,194,8gy9wgqywaqi9uy6i31i0q21h,5595949515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5595949511,59,"1, 24, 16, 5, 7, 25, 13, 30, 14, 6, 10, 3, 9, 11, 12, 19, 20, 21",5595949513,130,11,5595949509,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5595949507,30,"cuw4kvdf0bazq87mh3dwv71ii, 1jhs3g95t0ah1hx3fwlo14kmi, 6fgxgq77v66va16tcuqvyn6x, 2dbik29e0m9bil2ofn2yhrget, 9hqo1ykdlw9iv4tlo8d3vu9ec, 8gy9wgqywaqi9uy6i31i0q21h, 3lndo247f4br8t6xxdvlij4a2, c4g35kho1qirnu4q420knnl9m, cqmvrx028gh19yh8qh7w01y0a, 7ctc1xui7wk89o5v00z8ijqw9, 2mgcta30puk8kuwb5mo4zvcnp, 2mxaagzu9rb92z9880yjllbzd, 9qjkqhlworzz3lk1o6nc191ih, 9lucpehmfe4z2vdlica1kc9d6, 7vs1eqm82fwwuhwfqodb3dyw9, bl2b89wej9nxdtvqnjqoz85t6, cywd7q1m77lwe5q2dof7rvf9w, dowfebdy2qnsz8hkj0ilrux62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790927045,1,34,16,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-03-22T20:01:27.825Z,2025-03-25T11:13:35Z,,,,,5596045801,197,18628,5595994841,194,cvdn34vl3zje5uq54nvg77sut,5595949523,30,"zczt4alpawz5522hff8x39p1, 2o86bp6u8hbr8q43mea7srco9, 52rcg38mijjjusfwqxa2l7hex, djau5chcmoyiyq28jt9ypzh4a, 9imj5ig0i01uljnd3gd2cz1m, cvdn34vl3zje5uq54nvg77sut, bhzsz7pbe6pbwojtc1mi8m28l, bosdsb16w79aihfktvp4cjvje, dxd6p1c8k96armsbg5isjbu95, ew8oodr9hiuqve7xlz24xznfu, 7b346y8ad54mkc0h1343ybs2x, c5xcmwzyq3g1tvtyj8i5ud65m, 4fbaxgikw7z9sfhuz6vvnfmxh, 3nvijn3ctkplajtt1dd23wycp, 18iz45ww0nara0xdaleg72ort, g31cspu8sa8eohwakxm28ne2, akgtib8zyv5lrvh9mxunj2rdg, 85k1701p1ihv5ty1q457tjaqc, 92e2s4yfk06ym5ksu9p8lgc2c",5595949527,59,"1, 16, 24, 15, 12, 22, 11, 7, 17, 8, 9, 4, 6, 10, 13, 25, 27, 42, 47",5595949525,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5595949533,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5595949531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5595949529,130,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945461,2,32,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-03-22T21:07:04.933Z,2025-03-25T10:58:40Z,,,,,5596051891,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945457,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-03-22T21:07:04.933Z,2025-03-22T21:07:05Z,,,,,5596051875,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945463,3,1,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,50.4,50.0,2025-03-22T21:07:04.979Z,2025-03-22T21:07:09Z,dxd6p1c8k96armsbg5isjbu95,G. Hurst,,,5596051893,56,Back,5596051897,141,61.7,5596051895,140,31.6,5596051899,212,21.3,5596051903,279,S,5596051901,213,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945475,4,1,1,0,3,bk3zg8yaj5uoqhxzwons3bo8a,1,31.6,61.7,2025-03-22T21:07:08.730Z,2025-03-22T21:07:10Z,djau5chcmoyiyq28jt9ypzh4a,O. Jabang,,,5596051949,56,Back,5596051955,212,9.0,5596051957,213,2.49,5596051953,141,69.7,5596051951,140,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945493,5,1,1,0,5,bk3zg8yaj5uoqhxzwons3bo8a,1,24.8,69.7,2025-03-22T21:07:10.322Z,2025-03-22T21:07:13Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5596052033,213,4.92,5596052031,212,6.6,5596052029,141,60.2,5596052025,56,Back,5596052027,140,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945545,6,1,1,0,8,bk3zg8yaj5uoqhxzwons3bo8a,1,34.7,43.7,2025-03-22T21:07:13.506Z,2025-03-22T21:07:26Z,djau5chcmoyiyq28jt9ypzh4a,O. Jabang,,,5596052311,140,32.8,5596052313,141,36.6,5596052317,213,4.32,5596052315,212,5.2,5596052309,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945561,7,1,1,0,21,bk3zg8yaj5uoqhxzwons3bo8a,1,49.6,41.8,2025-03-22T21:07:26.202Z,2025-03-22T21:07:30Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5596052389,213,2.07,5596052387,212,11.0,5596052385,141,56.0,5596052383,140,44.6,5596052381,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945579,8,1,1,0,25,bk3zg8yaj5uoqhxzwons3bo8a,1,46.5,58.2,2025-03-22T21:07:30.209Z,2025-03-22T21:07:36Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5596052495,213,4.60,5596052493,212,8.8,5596052491,141,45.4,5596052487,56,Back,5596052489,140,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945591,9,1,1,0,31,bk3zg8yaj5uoqhxzwons3bo8a,1,54.7,37.8,2025-03-22T21:07:36.546Z,2025-03-25T11:19:39Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5596052601,213,1.16,5596052603,1,,5596052599,212,42.6,5596052593,56,Left,5596052591,155,,5596052595,140,70.8,5596052597,141,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945603,10,1,1,0,36,bk3zg8yaj5uoqhxzwons3bo8a,1,64.3,95.0,2025-03-22T21:07:41.649Z,2025-03-22T21:07:45Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5596052643,56,Left,5596052647,141,89.1,5596052645,140,50.4,5596052649,212,15.1,5596052651,213,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945615,11,1,1,0,40,bk3zg8yaj5uoqhxzwons3bo8a,1,52.0,84.8,2025-03-22T21:07:45.082Z,2025-03-22T21:07:48Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5596052709,141,53.3,5596052707,140,49.6,5596052705,56,Back,5596052711,212,21.6,5596052713,213,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945635,12,1,1,0,43,bk3zg8yaj5uoqhxzwons3bo8a,1,54.5,46.9,2025-03-22T21:07:48.488Z,2025-03-22T21:07:51Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5596052807,56,Right,5596052809,140,62.7,5596052813,212,25.4,5596052811,141,11.7,5596052815,213,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945637,13,1,1,0,46,bk3zg8yaj5uoqhxzwons3bo8a,1,64.2,9.1,2025-03-22T21:07:51.801Z,2025-03-22T21:07:53Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5596052819,56,Right,5596052821,140,70.4,5596052823,141,7.7,5596052827,213,6.14,5596052825,212,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945639,14,1,1,0,48,bk3zg8yaj5uoqhxzwons3bo8a,0,70.4,7.7,2025-03-22T21:07:53.745Z,2025-03-22T21:58:27Z,bhzsz7pbe6pbwojtc1mi8m28l,M. Akale,,,5596052901,233,3,5596052905,286,,5596052833,140,70.7,5596052899,236,,5596052831,56,Right,5596052835,141,9.4,5596052837,212,1.2,5596052839,213,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945649,3,74,1,0,48,5h878vnmkbuy2ummddprusxgq,1,25.9,95.3,2025-03-22T21:07:53.746Z,2025-03-25T11:20:17Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5596052909,233,14,5596052895,56,Back,5596052897,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
