id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2823702127,1,34,16,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-06-21T22:06:38.556Z,2025-06-22T01:54:05Z,,,,,5777077077,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5777077079,59,"98, 27, 4, 41, 3, 30, 8, 6, 22, 5, 14, 2, 18, 19, 23, 32, 33, 99",5777152449,197,22472,5777488401,194,9tispdm7tc3te31awsfcmd905,5777077083,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5777077085,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777077075,30,"d38osra1p83cgtmrwqt6w60yy, 1lk61nwcvayf0ep21p31xcfzd, 2pka62t1zg04jwkcx6zbc4wlw, 54yx5xkqrktd2hp0sxjx6hm8l, 97d0drjb3zqkh5ozfufg17nys, arxprecroj7kqwx1tmkhhfsdm, 2co6fedrz8anjzy9ise76dplh, blts89a19itip4gjeagcwc1xx, 5fhb206czgy2ul5j0tsqeo7ah, e93nozniig2wriw9doit6a4tl, 9tispdm7tc3te31awsfcmd905, n6ubi9lw3fjau0xzvd09myqy, 1nl79aq9il743hgoaijmupmmt, 8delieh6jv1cgaukmgcwfjsic, cv7nd9tnk6j2ixvnlibiip2vp, dr544s11qpyo2mg32cvq6g6vp, 1x95h6xtnycmvpqu7vgu4vh79, d50x000h9o6i8kd8aihie4lx",5777077081,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823702697,1,34,16,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-06-21T22:09:22.886Z,2025-06-22T02:32:32Z,,,,,5777080483,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5777080485,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777080475,30,"470xuwiwevwy86l2ararrkyga, 7wbwaew3d712kxl54ztdxe87o, 20z2nx7xh9mgty7qp6xur14yy, 8i5k1tx7x5hx4kk3qzyvrfj84, 4nwnrf33mdxscx5rdaw1529cl, 8p3y7tm4lzwp39tojonnohaay, e6gr1t1rp2x7waywgzlrj8yqx, 6fgrix1m2a1zkn8kvd29nbcvd, f3ftrudyp33naykboqmua0jro, o0a1acp618ig9detdym1m0pg, 40qi53orb0eur2jevowkvrcb8, 9elhnfsovx9efu5f92mkkls7o, 613kkjtvfyf7mbvrqt9pcizmd, 8hamv2lpjznz8mettx8dc5tsk, 3u22kckqpecmgcw7ee3xrdppm, 1o7iht0ow216jvo5qm64akup6, bnsuxef1oaaye5fise5qlur8q, 4wr32d93f1q1v8qjq2ywmnbze",5777121583,197,30018,5777080481,130,19,5777080477,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5777080479,59,"56, 20, 33, 5, 23, 3, 27, 42, 14, 11, 17, 6, 7, 9, 24, 30, 41, 96",5777086663,194,e6gr1t1rp2x7waywgzlrj8yqx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711549,2,32,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-06-21T23:06:44.218Z,2025-06-21T23:06:45Z,,,,,5777129977,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711545,2,32,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-06-21T23:06:44.218Z,2025-06-21T23:09:35Z,,,,,5777129961,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711583,3,1,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,49.9,49.7,2025-06-21T23:06:44.219Z,2025-06-21T23:09:35Z,2co6fedrz8anjzy9ise76dplh,J. Blake,,,5777130165,212,19.8,5777130161,140,31.6,5777130163,141,56.7,5777130159,56,Back,5777130169,279,S,5777130167,213,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711589,4,1,1,0,3,8cpjplodpphtkbt0hq8sr8mqs,0,29.2,52.5,2025-06-21T23:06:48.026Z,2025-06-21T23:09:34Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5777130203,213,5.29,5777130197,140,47.4,5777130199,141,9.7,5777130205,1,,5777130201,212,34.8,5777130195,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823713035,16,79,1,0,5,7c9knuwazz9k9449u5rnuuy5m,0,0.0,0.0,2025-06-21T23:06:50.058Z,2025-06-21T23:10:10Z,,,,,5777137897,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711609,5,1,1,0,5,8cpjplodpphtkbt0hq8sr8mqs,1,52.3,6.4,2025-06-21T23:06:50.130Z,2025-06-22T01:28:20Z,arxprecroj7kqwx1tmkhhfsdm,B. Ofeimu,,,5777130293,213,0.15,5777130285,56,Right,5777130291,212,18.3,5777130287,140,69.5,5777130289,141,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823711631,6,1,1,0,7,8cpjplodpphtkbt0hq8sr8mqs,0,69.5,10.3,2025-06-21T23:06:51.858Z,2025-06-21T23:09:34Z,2co6fedrz8anjzy9ise76dplh,J. Blake,,,5777130405,140,76.0,5777130403,56,Center,5777130407,141,33.3,5777130409,212,17.1,5777130411,213,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823713043,17,79,1,0,7,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-06-21T23:06:52.075Z,2025-06-21T23:10:14Z,,,,,5777137925,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
