id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/14/value
2809846461,1,34,16,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-05-03T22:02:14.427Z,2025-05-04T01:12:32Z,,,,,5700085945,59,"98, 33, 16, 14, 30, 41, 99, 5, 22, 8, 19, 2, 3, 6, 9, 18, 23, 27",5700085941,30,"d38osra1p83cgtmrwqt6w60yy, 1x95h6xtnycmvpqu7vgu4vh79, 637c2iedo7modc3ekt36c2m7d, 9tispdm7tc3te31awsfcmd905, arxprecroj7kqwx1tmkhhfsdm, 54yx5xkqrktd2hp0sxjx6hm8l, d50x000h9o6i8kd8aihie4lx, e93nozniig2wriw9doit6a4tl, 5fhb206czgy2ul5j0tsqeo7ah, 2co6fedrz8anjzy9ise76dplh, 8delieh6jv1cgaukmgcwfjsic, n6ubi9lw3fjau0xzvd09myqy, 97d0drjb3zqkh5ozfufg17nys, blts89a19itip4gjeagcwc1xx, a2bwi8risp0a9q88cno5wlihh, 1nl79aq9il743hgoaijmupmmt, cv7nd9tnk6j2ixvnlibiip2vp, 1lk61nwcvayf0ep21p31xcfzd",5700085951,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700448335,194,9tispdm7tc3te31awsfcmd905,5700085943,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5700085949,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5700279003,197,2754,5700085947,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809854813,1,34,16,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-05-03T22:12:25.395Z,2025-05-04T01:39:21Z,,,,,5700127017,130,18,5700279051,197,23580,5700127019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5700794809,194,28a0n53jofx4bk7vd74yqcb11,5700127013,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5700127021,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700127015,59,"21, 14, 3, 30, 5, 12, 39, 6, 10, 11, 7, 2, 4, 13, 23, 32, 45, 91",5700127011,30,"974nt2pay3nvbe8uyzx0qdhxw, 2axflqcowldpal1ffaf2lw3dg, 62d3tsany7t5t2bwm4cx9pbai, 7lnb14nmxv9gggyedv3tydvdg, 28a0n53jofx4bk7vd74yqcb11, 9jc85hbpruze4v8u1pjzsjt62, 1nw1tmtpagpr647obkvygwgr9, 6rnuvzwbmj7qv80xlwkjvqnkl, 9irc1xmfpa2395qef78rfyjje, 70axpxvnx40ax7oxri5pmz9qs, 8d6e9axgsli468lnomdbcgu6t, 7jizpx7yu2zxvcrnf9z4408vd, b3ktzeb8cz6vl5snbrtnpzw4q, 597hrrj3moomrcd2d95yk12w9, cujkrjaqaizwr771ist04uaj9, 1cqnjzgntshx2ag3crh0p2uzu, a6nj3s6nhav0ybrnhla1m67mc, 8q0b0qnmebzt9v4he9o3k7rbo",,,,,,,,,,,,,,,,,,,,,,,,,,,
2809881513,2,32,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-05-03T23:06:32.668Z,2025-05-03T23:06:36Z,,,,,5700272911,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809881511,2,32,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-05-03T23:06:32.668Z,2025-05-03T23:06:33Z,,,,,5700272895,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809881517,3,1,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,49.8,49.9,2025-05-03T23:06:33.140Z,2025-05-03T23:57:26Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5700272939,140,31.4,5700405725,189,,5700272947,279,S,5700272937,56,Back,5700272943,212,19.5,5700272941,141,53.7,5700272945,213,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809881537,4,1,1,0,2,b1rpb2ox52uxcmjrsnqd95pk5,0,32.6,54.3,2025-05-03T23:06:34.779Z,2025-05-03T23:57:43Z,1nw1tmtpagpr647obkvygwgr9,Ryan Williams,,,5700273079,212,45.8,5700273081,213,0.77,5700273077,141,100.0,5700273083,1,,5700273075,140,63.9,5700273071,155,,5700273217,189,,5700273073,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809881581,3,5,1,0,3,8cpjplodpphtkbt0hq8sr8mqs,1,35.0,-1.4,2025-05-03T23:06:35.701Z,2025-05-04T00:05:30Z,8delieh6jv1cgaukmgcwfjsic,E. Kizza,,,5700273333,347,,5700273349,233,5,5700273331,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809881545,5,5,1,0,3,b1rpb2ox52uxcmjrsnqd95pk5,0,65.0,101.4,2025-05-03T23:06:35.701Z,2025-05-04T00:05:30Z,1nw1tmtpagpr647obkvygwgr9,Ryan Williams,,,5700273109,347,,5700273361,233,3,5700273107,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809881607,4,1,1,0,12,8cpjplodpphtkbt0hq8sr8mqs,1,35.9,0.0,2025-05-03T23:06:44.740Z,2025-05-03T23:06:49Z,1x95h6xtnycmvpqu7vgu4vh79,H. White,,,5700273505,141,9.5,5700273501,56,Back,5700273499,107,,5700273503,140,42.6,5700273509,213,0.84,5700273507,212,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809881613,5,3,1,0,15,8cpjplodpphtkbt0hq8sr8mqs,1,45.8,14.8,2025-05-03T23:06:47.892Z,2025-05-04T00:05:14Z,5fhb206czgy2ul5j0tsqeo7ah,E. Amoh,,,5700273531,56,Back,5700273533,286,,5700273549,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
