id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/11/value
2822682681,1,34,16,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-06-15T00:11:20.811Z,2025-06-15T05:00:17Z,,,,5771348991,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771348989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771348983,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5771348987,130,7,5771638375,197,3377,5771348985,59,"1, 3, 33, 13, 4, 5, 20, 22, 21, 27, 11, 6, 7, 9, 15, 18, 19, 25, 32, 34",5771348981,30,"duuhalibp64gdz6nub5ub0ovd, 2h53fzt0ubszmkuwfnez8n622, 39t59x9q2xumbn2hphk7urp7u, bjm0d2f9er34ymm41sulmkout, dv0qqd4mx117y4al165nsdic4, 7i29w1zl3m6xdnurdll08jsvd, cfx7vo0kbjvcly2nf1b7papsk, 6eqvj5hboqw5c21ofhsgo4p9l, cnqxbvy77blk2ulx06t65it49, 3ljxfq84ubqzlooixppmpfdd6, dio84sg1k4gsedcpordxs69lg, 6oj55tf7cdnnnft350f9fyhnt, ody1ty0csq2lnatvjwdrrv11, b74yslq3huyhvwrhrebz0o3ys, eokcgp51j8ukeclqxis10b2ms, 3djjepgynp4qnhgvvqh9oa1ka, bym89mq8vrfb8756rddemyzh0, dokvihfznn6m11rcoonhp589g, ew3qxbn1ev1qv7wi0iwoc642c, 6lehq7bt5okf4y9lbxan577x1",5771645345,194,7i29w1zl3m6xdnurdll08jsvd,,,,,,,,,,,,,,,,,,,,,,,
2822683163,1,34,16,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-06-15T00:12:16.097Z,2025-06-15T04:31:09Z,,,,5771351627,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5771351625,30,"6j38lv6xa3gnzzsn5x2i35rdh, evk0esdocrzt5zxqmv4ostdcl, 6g7v93m80xq6x38o9u3t8y3je, 2w7w1l7lwhu2u6nhvqg1bnd2h, ei30dsbb51ri88sr7aku2t13p, 4e47ixpbc8x9qzn7l3aeej0tl, e0879u9ckqe6xv1h2j8bqto9g, 4jq1xl8ott88bxfdo4bjm47hl, cxnq0rc4u1efzt82nw3xgk355, doseo9fbdr1a1srm0jhdqmr55, cclpvd1z3yyruciida1q3x4o9, 3xd2kq7cxmvdbqsfzgi644c4q, 777irocsl9y6fja05sevniy95, bogxgfao7j28diagxffy0z9ey, 2j9i9ersvndkywcgqx9pzc9ka, 653qyopyxl1qrfmul2n3m5g16, aa8wxd6orgx3wa187n63htjpw, 24r8fdf8ypk7ejch9t86zjwgk",5771351629,59,"1, 25, 7, 15, 4, 33, 45, 12, 10, 11, 9, 3, 5, 6, 22, 30, 60, 88",5771638019,194,4jq1xl8ott88bxfdo4bjm47hl,5771638021,197,23259,5771351635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771351631,130,13,5771351633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,
2822734887,2,32,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-06-15T01:47:08.660Z,2025-06-15T01:47:11Z,,,,5771641583,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822734861,2,32,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-06-15T01:47:08.660Z,2025-06-15T01:47:08Z,,,,5771641447,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822734883,3,1,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,49.8,50.1,2025-06-15T01:47:08.661Z,2025-06-15T01:48:33Z,bjm0d2f9er34ymm41sulmkout,S. Echevarria,,5771641571,279,S,5771641569,213,2.80,5771641563,140,34.1,5771641567,212,17.5,5771641565,141,58.7,5771641561,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822734895,4,1,1,0,2,ak0rmms5xl49w57i2rvid1tk9,0,34.1,58.7,2025-06-15T01:47:11.091Z,2025-06-15T01:48:57Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,5771641639,1,,5771641633,141,18.9,5771641637,213,5.71,5771641635,212,49.6,5771641631,140,73.7,5771641629,56,Right,5771641627,157,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822734937,3,1,1,0,5,b5l2e3csycjb8twvq9ek0j5gq,1,31.8,77.5,2025-06-15T01:47:13.826Z,2025-06-15T01:47:16Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,5771641859,141,78.2,5771641853,3,,5771641857,140,40.9,5771641855,56,Back,5771641863,213,0.05,5771641861,212,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822734957,5,1,1,0,7,b5l2e3csycjb8twvq9ek0j5gq,1,41.6,77.3,2025-06-15T01:47:16.264Z,2025-06-15T01:47:17Z,cclpvd1z3yyruciida1q3x4o9,P. Wilson,,5771641939,140,41.1,5771641937,56,Back,5771641943,212,4.2,5771641945,213,4.59,5771641941,141,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822734975,6,1,1,0,8,b5l2e3csycjb8twvq9ek0j5gq,1,41.1,71.1,2025-06-15T01:47:17.518Z,2025-06-15T01:47:19Z,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,,5771642027,56,Back,5771642029,140,49.4,5771642033,212,8.8,5771642031,141,73.0,5771642035,213,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822734979,7,61,1,0,10,b5l2e3csycjb8twvq9ek0j5gq,0,53.4,73.6,2025-06-15T01:47:19.438Z,2025-06-15T01:47:19Z,cclpvd1z3yyruciida1q3x4o9,P. Wilson,,5771642057,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
