id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2823356197,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-06-18T23:18:07.291Z,2025-06-18T23:18:12Z,,,,,5775148497,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5775148499,59,"1, 2, 33, 20, 3, 13, 15, 8, 9, 17, 7, 6, 10, 19, 21, 27, 43, 57",5775148503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5775148505,194,3yd4f60qwxrbs2rch6uobxqsp,5775148525,197,29697,5775148495,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, beq6yluq1raxsrvxo77qlrf56, bxlh35ww96wgrsgfc8blou50p, 9i7vyapra7fjdtv6xd9sms2ne, 3yd4f60qwxrbs2rch6uobxqsp, 5uv1a9rj5wot3wcgefjoxhkdm, dhi7890xe8zsmzhw2cad7sul1, 272w5ezobn1o53b3yxnbgjckq, 2rsduabh7r8i29f9i6znwbfu1, 9etod4kwf9f5ye7jzc5ez0e3u, 7drelguz6c1htw10sq7zyxh0q, b708ir5u7r34j9oemje8f8z1m, dglf4uhg5wnc68cg8ijovfmy1, e6uww9a9ssp0n20ksoolesa8l, 7xe0ov84ztwduks4x3utn05ck, cbjd834y2hdx5jr3bda1zz6ga, 357vd87hv0jvljqtt2qf4vmz8, 2ig362xub2syd45v3usgymbkk",5775148501,130,11,5775148507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823356597,1,34,16,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-06-18T23:24:26.581Z,2025-06-19T02:08:16Z,,,,,5775150921,30,"9l35nvd07jhy457u1yehm3gx6, ea8jgqvyafx5wvgd5d70mgx9m, cc7jk41tn9qi5px4pb9l4bn8q, bgxiot2ugkc6t5jchxewen4k5, 5u1uufcs8jlvvkzodpi5ykovd, 6e7vgxyzx00c79hw1wg4d01sk, 579n2n7oiogy83epzcfrxtd5h, 7y9k549gjh2183ylplvwg2q5l, 9lqozbr0ghw2fhep938p8snah, t8bq7sttljbcrrspxz5tnm5l, 8qjls72u1tvwuxas420p8ed5g, b7hyxpaqt3ymfbuah1yop5rai, 1ntf3x9ay255qut54al2mt0q, 271x0k4dhjqn4h7ecmt44pzo5, do8svqsgqomasmzdwwsgg7qlm, c7xfrcywzfkh6ysuhv3bk8fvu, dwyatw1wz3nrh1fcwu27ie8ve, 9r38gjqqpwb3jue2rna0nwdsl, 2054x8z63k74or3inr9sl0bu1, 113mck575esofosg0reheh7je",5775150929,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5775150927,130,13,5775150923,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5775150931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5775196313,197,23592,5775196213,194,bgxiot2ugkc6t5jchxewen4k5,5775150925,59,"1, 2, 3, 4, 5, 55, 19, 22, 11, 17, 20, 6, 7, 8, 10, 21, 23, 43, 96, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823358623,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-06-19T00:06:46.802Z,2025-06-19T00:06:47Z,,,,,5775162937,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823358625,2,32,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-06-19T00:06:46.802Z,2025-06-19T00:06:48Z,,,,,5775162941,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823358635,3,1,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,50.0,50.0,2025-06-19T00:06:46.803Z,2025-06-19T00:13:46Z,9lqozbr0ghw2fhep938p8snah,R. Cicerone,,,5775162991,140,35.0,5775162999,279,S,5775162997,213,3.36,5775162989,56,Back,5775162993,141,44.8,5775168747,189,,5775162995,212,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823358639,4,1,1,0,1,7neuneh44n9rtsfsh6r0sb9no,0,35.0,44.8,2025-06-19T00:06:48.686Z,2025-06-19T00:13:36Z,9l35nvd07jhy457u1yehm3gx6,D. Vitiello,,,5775163029,1,,5775163021,140,62.4,5775163017,157,,5775163025,212,48.3,5775163019,56,Left,5775163027,213,0.93,5775163023,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823358629,3,5,1,0,2,c9xffml4i7ihblp1qhus9w3fu,1,37.2,-1.8,2025-06-19T00:06:48.967Z,2025-06-19T01:03:46Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5775162957,347,,5775162955,56,Back,5775168603,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823358641,5,5,1,0,2,7neuneh44n9rtsfsh6r0sb9no,0,62.8,101.8,2025-06-19T00:06:48.967Z,2025-06-19T01:03:46Z,9l35nvd07jhy457u1yehm3gx6,D. Vitiello,,,5775163033,347,,5775168617,233,3,5775163031,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823358631,4,1,1,0,3,c9xffml4i7ihblp1qhus9w3fu,1,34.8,0.0,2025-06-19T00:06:50.459Z,2025-06-19T00:13:41Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5775162961,56,Back,5775162969,213,2.23,5775162967,212,12.0,5775162959,107,,5775162963,140,27.8,5775162965,141,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823358637,5,1,1,0,6,c9xffml4i7ihblp1qhus9w3fu,0,29.5,13.1,2025-06-19T00:06:53.131Z,2025-06-19T00:06:54Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5775163013,213,0.27,5775163005,56,Center,5775163003,155,,5775163015,1,,5775163009,141,30.0,5775163011,212,43.6,5775163007,140,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
