id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2813102755,1,34,16,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-05-10T23:49:28.156Z,2025-05-11T03:24:31Z,,,,,5718093211,59,"1, 88, 7, 3, 15, 33, 18, 12, 10, 9, 11, 2, 4, 6, 22, 26, 35, 45",5718247781,197,23854,5718093217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5718093209,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5718093215,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5718093207,30,"6j38lv6xa3gnzzsn5x2i35rdh, 24r8fdf8ypk7ejch9t86zjwgk, 6g7v93m80xq6x38o9u3t8y3je, 3xd2kq7cxmvdbqsfzgi644c4q, 2w7w1l7lwhu2u6nhvqg1bnd2h, 4e47ixpbc8x9qzn7l3aeej0tl, ov91zkisppven9tp72gfbjf8, 4jq1xl8ott88bxfdo4bjm47hl, cxnq0rc4u1efzt82nw3xgk355, cclpvd1z3yyruciida1q3x4o9, doseo9fbdr1a1srm0jhdqmr55, 69j92vzo1swgodk0g9g2ksqqy, ei30dsbb51ri88sr7aku2t13p, bogxgfao7j28diagxffy0z9ey, 2j9i9ersvndkywcgqx9pzc9ka, 3apux7dih2628a7b7q0dt6bu2, 629pbkngxk7ucy0qt9mngvkd1, e0879u9ckqe6xv1h2j8bqto9g",5718093213,130,18,5718273515,194,4jq1xl8ott88bxfdo4bjm47hl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813104027,1,34,16,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-05-10T23:51:41.657Z,2025-05-11T03:18:37Z,,,,,5718100681,194,ks7omik17xov44i4hhjrldyh,5718100671,30,"h4nbagq5dsdltn9x62oi0t05, euesmrqkdyvekqtpk81ln7uqy, c481wk3de3opu190d8z99w8yy, ks7omik17xov44i4hhjrldyh, 9izvs4qd03gfmqukkk5csxxxw, 4o1ryjpzoxzpi3ex53cmayui1, bzu3rjr0r2qmxluguyseq5sdl, bfdes5ft117ggu7ue5tnu5hm2, 4695nvcz8lcrklltxvalcizmd, 61rlxmejof8zjv8uw3sk1l045, zd582wgzhdcz8n6oipywt3vt, 4ceaxb019rb6flsigsqo80rca, 2ug51dfg4oerpnbudnkw497je, 4g4zufvyime7qp4ks4badls0k, 57h9hd13z846qsj0bqpdoegb8, 8gxutqok71ycyk3ojmudrqtck, 4g3kwdb70mz44rezcwxdghb10, 1le9ot9v8ql9q57huwmu4vu38, 8pg5wiwxujx3hnir5wie9xgfe",5718100679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5718276179,197,3383,5718100675,59,"1, 32, 4, 3, 6, 21, 18, 8, 17, 94, 10, 7, 9, 11, 13, 14, 52, 55, 70",5718100677,130,13,5718100683,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5718100673,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135449,2,32,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-05-11T00:39:14.196Z,2025-05-11T00:39:17Z,,,,,5718281613,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135433,2,32,1,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-05-11T00:39:14.196Z,2025-05-11T00:39:14Z,,,,,5718281543,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135489,3,1,1,0,0,87c66ubwpzykovmkaf1t46bis,1,50.1,49.6,2025-05-11T00:39:14.197Z,2025-05-11T00:39:18Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5718281793,279,S,5718281785,140,25.1,5718281787,141,55.5,5718281791,213,2.99,5718281783,56,Back,5718281789,212,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135513,4,1,1,0,4,87c66ubwpzykovmkaf1t46bis,1,24.2,56.1,2025-05-11T00:39:18.316Z,2025-05-11T00:39:20Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,,5718281917,56,Back,5718281919,140,37.5,5718281921,141,92.4,5718281923,212,28.4,5718281925,213,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135533,5,1,1,0,6,87c66ubwpzykovmkaf1t46bis,1,35.7,92.4,2025-05-11T00:39:20.701Z,2025-05-11T00:39:22Z,c481wk3de3opu190d8z99w8yy,N. Flores,,,5718282049,141,79.0,5718282043,56,Back,5718282047,140,27.3,5718282055,213,3.94,5718282053,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135557,6,1,1,0,8,87c66ubwpzykovmkaf1t46bis,1,27.2,77.2,2025-05-11T00:39:22.611Z,2025-05-11T00:39:26Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,,5718282173,212,14.5,5718282175,213,0.94,5718282167,56,Back,5718282171,141,94.4,5718282169,140,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135609,7,1,1,0,11,87c66ubwpzykovmkaf1t46bis,1,31.1,87.8,2025-05-11T00:39:25.965Z,2025-05-11T00:39:29Z,c481wk3de3opu190d8z99w8yy,N. Flores,,,5718282421,140,31.0,5718282427,213,4.70,5718282425,212,13.6,5718282419,56,Back,5718282423,141,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135625,8,1,1,0,15,87c66ubwpzykovmkaf1t46bis,1,31.0,67.8,2025-05-11T00:39:29.661Z,2025-05-11T00:39:51Z,bfdes5ft117ggu7ue5tnu5hm2,N. Hernandez,,,5718282525,213,2.46,5718282523,212,14.5,5718282521,141,81.2,5718282519,140,20.2,5718282517,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
