id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2800270649,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-04-12T22:51:52.981Z,2025-04-12T23:42:30Z,,,,,5647271633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5647271629,59,"1, 13, 8, 42, 28, 5, 15, 16, 9, 2, 14, 3, 4, 6, 17, 18, 20, 31, 70",5647271631,130,8,5647271625,30,"a9lytq2ddavywxo7ib8uzbj6x, 69pe2d0b9ughzcn3iqarracr8, cxrjwzo1fmvgcw8i820hwn07p, 6jsu34146kbtoeco3ue1a7ok4, c8nk2hg1xy4h4646ajpq65dnu, 3g0rdzkjns986gn34vg3umiqy, 1l26kd7tulii6x999b3fdxi0a, 1445ppxg007udzcj6t20ceyju, 9jfh2t3w4aqc4o4rvjfk7xey1, c4va4gt5g10zm05qtucgyt889, e8rbnbqkrxia3lgt7agaid4kq, 8pli7fk5kjmt0f9pl6sjsltuy, 5h4ldsd3uwkk4wxr9iqi5kqy2, 6emdaopgvgmxzmuj4bu1tz7my, 364a445zm6p8fzqxia2myj7dg, d3b8yjlx6aitma59vlpen39m2, 2d1vmwon9o35lzpkdwxgv12lm, 9tbzso59dbmu47ovroulv9rf8, 2bhgif1020mgkwuzkjebaf6s4",5647383667,194,c4va4gt5g10zm05qtucgyt889,5647271635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647271627,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5647390821,197,24408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800271367,1,34,16,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-04-12T22:53:43.805Z,2025-04-13T02:55:03Z,,,,,5647276015,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647275999,30,"ect3pxkbjycux4simxmzp9jze, 94zkjopy373mgso15ljxmhd04, aur71sievd8d2fnrumu3xf6c, 14oq6mvlh5e51d9y20nbpok4p, ani26vxlo22iw1u9oexptml05, 3s1a50dskuehneuuy9b1nxg4, dmbqkvvaray373vy9eiq4l1ck, 5tyrfuxsp7s9thsmhfqevuoyx, caoq1dpq6lz1btrd75s9xuz56, 21y2ogvprtdai47j36w9m22cq, ecjt2cd0xn1qyeyboapqwxbvu, 5htuxrszecd448kld1yguwpas, d8uer29a3oya05ks99q696221, 6692w96w6qmvgcpo02dehq4iy, ax8t5jhq9kz6ff2sji3p90kr8, 2otorwje8a8xv14x9o898db84, 22p6n3oird085u2kbkiqp4pg, 5jigl7kp5d2i5ws1602jm7n1m, eur2vbdzfmcxyfathakjghyqc, 5t1wvh34lm993otbc3469uzxm",5647276007,130,8,5647399801,197,13051,5647276011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647276001,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5647276013,194,ani26vxlo22iw1u9oexptml05,5647276003,59,"56, 91, 62, 4, 5, 22, 80, 6, 26, 9, 8, 1, 2, 7, 11, 12, 17, 19, 23, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292313,2,32,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-04-12T23:37:27.532Z,2025-04-12T23:37:31Z,,,,,5647395041,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292303,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-04-12T23:37:27.532Z,2025-04-12T23:37:27Z,,,,,5647394989,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292347,3,1,1,0,0,224tl8u2smnbyliroayk69nt0,1,49.4,49.1,2025-04-12T23:37:27.533Z,2025-04-12T23:37:31Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5647395251,279,S,5647395245,141,55.0,5647395247,212,26.2,5647395249,213,2.99,5647395241,56,Back,5647395243,140,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292361,4,1,1,0,3,224tl8u2smnbyliroayk69nt0,1,28.2,51.7,2025-04-12T23:37:30.933Z,2025-04-12T23:37:33Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5647395335,213,4.83,5647395327,56,Back,5647395333,212,16.6,5647395329,140,30.1,5647395331,141,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292395,5,1,1,0,5,224tl8u2smnbyliroayk69nt0,1,31.9,20.4,2025-04-12T23:37:33.469Z,2025-04-12T23:37:36Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5647395527,56,Back,5647395535,213,1.92,5647395531,141,34.6,5647395533,212,10.3,5647395529,140,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292419,6,1,1,0,8,224tl8u2smnbyliroayk69nt0,1,25.8,32.6,2025-04-12T23:37:36.389Z,2025-04-13T00:31:46Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5647395647,141,53.1,5647395651,213,1.38,5647395645,140,28.3,5647395643,56,Back,5647395649,212,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292443,7,1,1,0,11,224tl8u2smnbyliroayk69nt0,1,26.9,61.2,2025-04-12T23:37:38.886Z,2025-04-13T00:31:48Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5647395857,212,10.4,5647395855,141,72.0,5647395853,140,33.9,5647395851,56,Back,5647395859,213,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292457,8,1,1,0,16,224tl8u2smnbyliroayk69nt0,0,33.5,84.7,2025-04-12T23:37:43.702Z,2025-04-13T00:31:53Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5647395989,140,87.4,5647395997,1,,5647395995,213,0.02,5647395985,155,,5647395991,141,86.6,5647395993,212,56.6,5647395987,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
